> Measurement made Fri Aug 16 17:31:13 2024
> Main magnet sweep  0.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at    6.000 K, T1:   5.997 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.438980 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 90 degree from perp
Rotator Setting 630
6K 0-6T

>BEGIN
  
      
      4.1503677      -0.0292064       -0.130893       0.0320079      0.00011921 
      4.1510276      -0.0293852       -0.130416       0.0318291    -0.000417234 
      4.1516815      -0.0299216       -0.129939       0.0314119    -0.000417234 
      4.1524314       -0.030637       -0.130058       0.0311139    -5.96051e-05 
      4.1531813      -0.0307562        -0.13125       0.0308754     0.000298025 
      4.1539312      -0.0304581       -0.132323       0.0308754     0.000536445 
      4.1545851      -0.0308754        -0.13286       0.0315907     0.000476841 
       4.155245      -0.0311139       -0.133396       0.0311139      0.00154973 
      4.1558989       -0.030935       -0.133694       0.0302793      0.00286104 
      4.1566488      -0.0308158       -0.133933       0.0296832      0.00375511 
      4.1573087      -0.0310543       -0.134171       0.0299813      0.00327827 
      4.1579627      -0.0312927       -0.134052       0.0297428      0.00333787 
      4.1586166      -0.0315907       -0.133635       0.0291468      0.00381473 
      4.1592765      -0.0318291       -0.133098       0.0287296      0.00423196 
      4.1599304      -0.0317695       -0.133038       0.0287296      0.00357629 
      4.1605843      -0.0318887       -0.132919       0.0292064      0.00262262 
      4.1613342      -0.0320079         -0.1328       0.0296832      0.00178815 
      4.1620841      -0.0318291       -0.133694        0.029564      0.00208618 
       4.162744      -0.0317099       -0.134648        0.029862       0.0023246 
      4.1633979      -0.0317099       -0.134827       0.0302793      0.00196697 
      4.1641478      -0.0322463       -0.135065       0.0305178      0.00178815 
      4.1648077      -0.0324848       -0.135065       0.0302793      0.00166894 
      4.1655576       -0.032902       -0.134409       0.0302197       0.0011325 
      4.1663075      -0.0333788       -0.134231        0.029862     0.000894073 
      4.1669614      -0.0338557       -0.134469       0.0296832      0.00107289 
      4.1677113      -0.0339153       -0.134231       0.0294448      0.00268222 
      4.1683652      -0.0341537       -0.133635       0.0290872      0.00482801 
      4.1690251      -0.0343325       -0.133873       0.0288488      0.00566247 
       4.169775      -0.0346901       -0.133992       0.0288488      0.00578168 
      4.1705249       -0.034869       -0.134409       0.0290276      0.00512603 
      4.1711788       -0.034869       -0.135542       0.0290276      0.00381473 
      4.1719287      -0.0348093       -0.136138       0.0287892      0.00345708 
      4.1725826      -0.0350478       -0.136078       0.0284315      0.00405314 
      4.1733325       -0.035465       -0.135721       0.0284911      0.00435117 
      4.1739924      -0.0355842       -0.135542       0.0287892      0.00429156 
      4.1746463      -0.0355246       -0.136078        0.028968       0.0036955 
      4.1753962      -0.0354054       -0.137032       0.0294448      0.00309946 
      4.1760561      -0.0347497       -0.137986       0.0299216      0.00208618 
        4.17671      -0.0344517       -0.138164       0.0297428       0.0011921 
      4.1775559      -0.0350478       -0.137628       0.0301601      0.00131131 
      4.1782098      -0.0362995       -0.137449       0.0299813      0.00214578 
      4.1789597      -0.0371339       -0.137628        0.029266      0.00298025 
      4.1797096      -0.0373723       -0.137866       0.0287296      0.00357629 
      4.1803635      -0.0373723       -0.138105       0.0289084      0.00262262 
      4.1810234      -0.0370147       -0.138164       0.0291468      0.00178815 
      4.1816773      -0.0373127       -0.137747        0.029564      0.00166894 
      4.1823312      -0.0379088       -0.137151       0.0302793      0.00172854 
      4.1829911      -0.0384452       -0.136615       0.0306966       0.0012517 
       4.183741      -0.0388029       -0.136198       0.0303985     0.000894073 
      4.1843949      -0.0391009       -0.135542       0.0297428       0.0011325 
      4.1851448      -0.0390413       -0.135244       0.0293256      0.00202657 
      4.1858947      -0.0395181       -0.134946        0.029564      0.00280143 
      4.1866446      -0.0393393       -0.134767       0.0293256      0.00292064 
      4.1873045      -0.0391009        -0.13435        0.029266      0.00208618 
      4.1880544      -0.0395181       -0.133694       0.0298024     0.000536445 
      4.1888043      -0.0395181       -0.133515       0.0303985    -0.000178815 
      4.1894582      -0.0395181       -0.133098       0.0304581      0.00023842 
      4.1902081      -0.0396969       -0.132979       0.0305178     0.000715259 
       4.190958      -0.0401738       -0.132442       0.0305178      0.00137091 
      4.1916119       -0.040591       -0.132264       0.0304581      0.00184775 
      4.1922718      -0.0410678       -0.131668       0.0304581      0.00178815 
      4.1930217      -0.0413063       -0.131191       0.0308754      0.00149012 
      4.1936756      -0.0407698        -0.13125       0.0308158      0.00154973 
      4.1944255      -0.0403526        -0.13137       0.0303389      0.00190736 
      4.1950794       -0.040591        -0.13137       0.0299813      0.00184775 
      4.1958293      -0.0410082       -0.130952       0.0299216      0.00208618 
      4.1965792      -0.0408294       -0.130595       0.0302197      0.00190736 
      4.1972391       -0.040889       -0.130475       0.0305774      0.00178815 
       4.197989      -0.0413063       -0.129999       0.0306966     0.000953682 
      4.1986429      -0.0413063       -0.128985        0.030637    -0.000178815 
      4.1993029      -0.0410082       -0.128628       0.0301601    -0.000774864 
      4.1999568      -0.0410082       -0.129045       0.0294448    -0.000298025 
      4.2007067      -0.0415447       -0.129403       0.0287296       0.0012517 
      4.2014566      -0.0415447       -0.129701       0.0287892      0.00149012 
      4.2022064      -0.0416639       -0.129045        0.029564     0.000715259 
      4.2028604      -0.0417235       -0.128211       0.0296832     0.000655655 
      4.2035203      -0.0420215       -0.127614       0.0295044     0.000953682 
      4.2041742      -0.0418427       -0.127018       0.0293256       0.0012517 
      4.2048281      -0.0419619       -0.126244       0.0293256      0.00166894 
       4.205578      -0.0426772       -0.125826       0.0293852      0.00208618 
      4.2062379      -0.0429156       -0.125946       0.0296832      0.00143052 
      4.2068918      -0.0426176        -0.12523       0.0299216     5.96051e-05 
      4.2076417       -0.042856       -0.124217       0.0299813    -0.000417234 
      4.2083916      -0.0433328       -0.123383       0.0300409    -0.000655655 
      4.2090515      -0.0432732       -0.123383       0.0303985    -0.000774864 
      4.2098014       -0.043452       -0.123681       0.0305178     -0.00101329 
      4.2105513      -0.0430348       -0.123502       0.0299813    -0.000774864 
      4.2112052      -0.0426772       -0.123263       0.0296832    -0.000655655 
      4.2118591      -0.0430348       -0.123263       0.0296236    -5.96051e-05 
       4.212519      -0.0432136       -0.122727       0.0294448     5.96051e-05 
      4.2132689      -0.0435116        -0.12219       0.0293852     5.96051e-05 
      4.2140188      -0.0430348        -0.12225        0.028968     0.000476841 
      4.2146727      -0.0426176       -0.122369       0.0283123      0.00059605 
      4.2153266      -0.0424983       -0.122548       0.0278951      0.00059605 
      4.2160765      -0.0424387       -0.123025       0.0279547     0.000715259 
      4.2168264      -0.0420215       -0.122667       0.0283719     0.000894073 
      4.2174863      -0.0420811       -0.121475       0.0288488     0.000774864 
      4.2182362      -0.0429752       -0.120759       0.0293256      0.00059605 
      4.2188901       -0.043154       -0.120759        0.029862      0.00011921 
        4.21955      -0.0426772       -0.120998       0.0299813    -0.000298025 
      4.2202039      -0.0423195       -0.120819       0.0303389    -0.000655655 
      4.2209538      -0.0424387       -0.120342       0.0306966      -0.0011921 
      4.2217037      -0.0430348       -0.119567       0.0308754     -0.00190736 
      4.2223576      -0.0426176       -0.119508       0.0302197     -0.00208618 
      4.2231075      -0.0424387       -0.119627       0.0296832     -0.00143052 
      4.2237674      -0.0421407       -0.119865        0.028968    -0.000655655 
      4.2245173      -0.0419023       -0.120044       0.0287296    -0.000178815 
      4.2252672      -0.0417831       -0.119925       0.0287892     -0.00011921 
      4.2260171      -0.0414255       -0.120044       0.0293256      -0.0011921 
       4.226671      -0.0410678       -0.120223        0.029564     -0.00202657 
      4.2273249      -0.0407698       -0.120759       0.0293256     -0.00149012 
      4.2279848      -0.0410678       -0.120104       0.0290872    -0.000476841 
      4.2286387      -0.0413063       -0.119269       0.0284911      0.00059605 
      4.2292986      -0.0412466       -0.118912       0.0287296     0.000774864 
      4.2300485      -0.0413659       -0.118614       0.0284911       0.0012517 
      4.2307984      -0.0413659       -0.117481       0.0285507       0.0011921 
      4.2314523      -0.0414851       -0.116945       0.0288488               0 
      4.2321063      -0.0415447       -0.116885        0.029564     -0.00137091 
      4.2327662      -0.0412466       -0.117362       0.0296236     -0.00196697 
      4.2335161       -0.041187       -0.117362       0.0292064     -0.00184775 
        4.23417       -0.041187       -0.116945       0.0290872     -0.00178815 
      4.2349199      -0.0410082       -0.117302       0.0291468      -0.0012517 
      4.2355738      -0.0406506       -0.118554       0.0290276     -0.00137091 
      4.2362337      -0.0399353       -0.119627       0.0293852     -0.00154973 
      4.2369836      -0.0402334       -0.119687       0.0293256     -0.00131131 
      4.2376375      -0.0405314       -0.119091       0.0292064     -0.00107289 
      4.2383874      -0.0407698       -0.118256       0.0296236      -0.0012517 
      4.2390473       -0.040889       -0.117243       0.0295044     -0.00154973 
      4.2397012      -0.0410678       -0.116885       0.0289084     -0.00107289 
      4.2404511      -0.0407102       -0.117243        0.028968    -0.000774864 
       4.241105      -0.0405314         -0.1176       0.0290276    -0.000834469 
      4.2418549      -0.0404122       -0.118018       0.0288488    -0.000894073 
      4.2426048      -0.0406506       -0.118316       0.0292064    -0.000834469 
      4.2432647      -0.0404122       -0.118435       0.0299216     -0.00131131 
      4.2440146      -0.0402334       -0.118435       0.0303389     -0.00202657 
      4.2447645      -0.0398757       -0.118554       0.0303985     -0.00214578 
      4.2454184      -0.0397565       -0.118494       0.0308158      -0.0023842 
      4.2460723      -0.0398757       -0.118494       0.0311139     -0.00298025 
      4.2468222      -0.0396373       -0.118673       0.0309946     -0.00303985 
