> Measurement made Fri Aug 16 14:47:24 2024
> Main magnet sweep  6.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at    6.000 K, T1:   5.999 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 16.646300 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 36 degree from perp
Rotator Setting 880
6K 0-6T

>BEGIN
      
      4.5006004      -0.0321867       0.0362995     -0.00888115      -0.0550749 
      4.4999405      -0.0319483       0.0364783     -0.00888115      -0.0555518 
      4.4992865      -0.0321867       0.0369551     -0.00882155       -0.055671 
      4.4985366       -0.032902       0.0373127     -0.00894075      -0.0557306 
      4.4978827      -0.0334384       0.0373127     -0.00917917      -0.0556114 
      4.4972228      -0.0337961       0.0376108      -0.0095368      -0.0553133 
      4.4965689      -0.0339153       0.0377896     -0.00995403      -0.0545981 
       4.495909      -0.0339153       0.0377896      -0.0100136      -0.0544193 
      4.4952551      -0.0334384       0.0371339     -0.00965601      -0.0547769 
      4.4946012      -0.0329616       0.0368359     -0.00941759      -0.0554326 
      4.4938513       -0.032604       0.0365379     -0.00905996      -0.0556114 
      4.4931914      -0.0325444       0.0362995     -0.00888115      -0.0550749 
      4.4924415      -0.0324252       0.0361206     -0.00900036      -0.0548365 
      4.4916916      -0.0327232       0.0363591     -0.00917917      -0.0547769 
      4.4910377      -0.0327232       0.0365975     -0.00917917      -0.0548365 
      4.4902878      -0.0324848       0.0364187     -0.00923878      -0.0550153 
      4.4896339      -0.0323656       0.0370147     -0.00941759      -0.0551345 
       4.488884      -0.0324848       0.0371339     -0.00941759      -0.0552537 
      4.4881341      -0.0323656       0.0368955      -0.0095368      -0.0551941 
      4.4874742       -0.032604       0.0369551      -0.0094772      -0.0549557 
      4.4867243         -0.0332       0.0371935     -0.00965601      -0.0551345 
      4.4859744      -0.0333192       0.0371339     -0.00941759      -0.0559094 
      4.4852245      -0.0330212       0.0370147     -0.00911957      -0.0561478 
      4.4844746      -0.0329616       0.0372531     -0.00923878      -0.0559094 
      4.4838207      -0.0330808       0.0372531     -0.00941759      -0.0561478 
      4.4830708      -0.0330808       0.0371339     -0.00965601       -0.056267 
      4.4823209       -0.032902       0.0370743     -0.00971562      -0.0560882 
       4.481661      -0.0328424       0.0369551      -0.0095368      -0.0556114 
      4.4810071      -0.0329616       0.0366571      -0.0095368       -0.055671 
      4.4802572      -0.0333192       0.0362399      -0.0095368      -0.0558498 
      4.4795073      -0.0331404        0.036061     -0.00941759      -0.0554326 
      4.4788534       -0.032902       0.0358822     -0.00923878      -0.0552537 
      4.4781935      -0.0327232       0.0356438     -0.00911957      -0.0553729 
      4.4774436      -0.0322463       0.0353458     -0.00917917      -0.0553729 
      4.4766937      -0.0322463        0.035167     -0.00917917      -0.0557902 
      4.4760398      -0.0328424       0.0358226     -0.00917917      -0.0561478 
      4.4752899      -0.0332596       0.0366571     -0.00929838      -0.0559094 
       4.474636      -0.0333788       0.0365975     -0.00917917      -0.0556114 
      4.4738861      -0.0330212       0.0362399      -0.0095368       -0.055969 
      4.4732262      -0.0327828       0.0359418     -0.00917917      -0.0563266 
      4.4724763       -0.032604       0.0355246     -0.00888115      -0.0558498 
      4.4718224      -0.0324252       0.0355842     -0.00858313      -0.0554326 
      4.4710725      -0.0323656       0.0359418     -0.00852352      -0.0553729 
      4.4704126      -0.0324848       0.0363591     -0.00888115      -0.0553133 
      4.4697587       -0.032902       0.0362399     -0.00923878      -0.0554326 
      4.4690088      -0.0330808       0.0361206     -0.00923878      -0.0559094 
      4.4683549      -0.0329616       0.0363591     -0.00900036      -0.0561478 
       4.467695      -0.0327828       0.0361206     -0.00888115      -0.0560882 
      4.4670411       -0.032902       0.0360014     -0.00870234      -0.0556114 
      4.4663872      -0.0329616       0.0358822     -0.00852352      -0.0550749 
      4.4656373      -0.0330212       0.0357034     -0.00858313      -0.0550749 
      4.4649774      -0.0330212       0.0360014     -0.00864273       -0.055671 
      4.4643234       -0.032902       0.0368955     -0.00870234       -0.055969 
      4.4636635      -0.0327828       0.0376704     -0.00882155      -0.0563862 
      4.4630096      -0.0328424       0.0380876     -0.00888115       -0.056267 
