> Measurement made Tue Aug 13 18:17:55 2024
> Main magnet sweep  2.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.81341 T 
> ITC set at  100.000 K, T1:  99.800 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 15.983550 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
100K
-
-

>BEGIN
      2.0000126     -0.00590089       0.0036955     0.000894073      0.00309946 
       2.000044      -0.0060201      0.00375511       0.0011921      0.00351669 
      2.0000933      -0.0060797      0.00399354       0.0011325      0.00309946 
      2.0001715     -0.00613931      0.00435117      0.00107289      0.00184775 
       2.000272     -0.00625852      0.00399354      0.00131131      0.00131131 
      2.0003942     -0.00590089      0.00345708      0.00131131      0.00131131 
      2.0005191     -0.00578168      0.00351669     0.000894073      0.00184775 
        2.00068     -0.00548366      0.00381473      0.00101329      0.00160933 
      2.0008605     -0.00512603      0.00429156     0.000894073      0.00149012 
        2.00106     -0.00524524      0.00387433     0.000834469      0.00149012 
      2.0012779     -0.00542405      0.00387433     0.000655655      0.00208618 
      2.0015134     -0.00554326      0.00452998     0.000834469      0.00226499 
      2.0017661     -0.00536445       0.0047088       0.0011921       0.0023842 
      2.0020354     -0.00524524      0.00500682      0.00160933       0.0023246 
      2.0023206     -0.00530484      0.00518563      0.00154973      0.00226499 
       2.002582     -0.00554326       0.0047088       0.0011325      0.00214578 
      2.0028958     -0.00530484      0.00381473     0.000953682      0.00202657 
      2.0032242     -0.00524524      0.00262262     0.000894073      0.00226499 
      2.0035665     -0.00518563      0.00226499     0.000894073      0.00184775 
      2.0038762     -0.00506642      0.00274183     0.000894073      0.00178815 
      2.0042436     -0.00506642      0.00309946     0.000715259       0.0023246 
      2.0046237     -0.00542405      0.00387433      0.00059605      0.00256301 
      2.0049685     -0.00572208      0.00405314     0.000655655      0.00208618 
      2.0053715     -0.00572208      0.00345708      0.00101329      0.00202657 
       2.005786     -0.00584128       0.0036359     0.000953682       0.0023246 
      2.0061566     -0.00554326       0.0036955       0.0011325       0.0023842 
      2.0065917     -0.00536445      0.00458959      0.00149012      0.00196697 
      2.0069797     -0.00548366      0.00536445      0.00190736      0.00154973 
      2.0073791     -0.00548366      0.00518563      0.00149012       0.0012517 
      2.0078423     -0.00560287      0.00500682       0.0011325       0.0012517 
       2.008315     -0.00578168      0.00530484     0.000774864      0.00137091 
      2.0087347     -0.00613931      0.00518563     0.000536445      0.00172854 
      2.0092244     -0.00637773       0.0047088      0.00059605      0.00214578 
      2.0096626     -0.00619891      0.00447038     0.000655655      0.00268222 
      2.0101684     -0.00572208      0.00464919     0.000894073      0.00298025 
       2.010616     -0.00542405      0.00464919       0.0011921      0.00256301 
      2.0110697     -0.00530484      0.00452998     0.000953682      0.00149012 
      2.0115335     -0.00530484      0.00452998       0.0011325     0.000298025 
