> Measurement made Wed Aug 14 11:00:14 2024
> Main magnet sweep  2.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.00000 T 
> ITC set at   10.000 K, T1:   9.994 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.204820 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
10K
-
-

>BEGIN
      5.9999904      0.00905996      -0.0137091       0.0211002      -0.0581148 
      5.9999621      0.00876194      -0.0135899       0.0211598      -0.0583532 
      5.9999151      0.00870234      -0.0132323       0.0211598      -0.0584724 
      5.9998398      0.00894075      -0.0139475       0.0211598      -0.0576975 
      5.9997421      0.00929838      -0.0142456        0.020981      -0.0576379 
      5.9996391      0.00959641      -0.0138283       0.0205637      -0.0576379 
      5.9995013      0.00941759      -0.0130535       0.0208021      -0.0573399 
      5.9993644      0.00911957      -0.0122786        0.021279      -0.0578167 
      5.9992111      0.00905996      -0.0124574       0.0215174      -0.0581744 
      5.9990444      0.00911957      -0.0128151       0.0214578      -0.0584724 
      5.9988359      0.00941759      -0.0129343        0.021577      -0.0587108 
      5.9986375      0.00929838      -0.0127555       0.0216366      -0.0589492 
      5.9983956      0.00917917      -0.0128747       0.0211598        -0.05883 
      5.9981708      0.00911957      -0.0127555       0.0207425      -0.0581744 
      5.9978976      0.00917917      -0.0120998       0.0207425      -0.0576379 
      5.9976465      0.00905996      -0.0116826       0.0206233      -0.0571611 
      5.9973811      0.00917917      -0.0120998       0.0206829      -0.0572803 
      5.9970655      0.00941759      -0.0123382       0.0208021      -0.0581744 
      5.9967355      0.00935799       -0.012517       0.0208617      -0.0587108 
      5.9964363      0.00905996      -0.0127555       0.0205041      -0.0587108 
      5.9961267      0.00852352      -0.0129939       0.0201465      -0.0580552 
      5.9957594      0.00816589      -0.0132919       0.0200869      -0.0578763 
      5.9954256      0.00798708      -0.0134707       0.0203253      -0.0580552 
      5.9950854      0.00804669      -0.0131727       0.0205637      -0.0585916 
      5.9947328      0.00834471      -0.0129939       0.0208021        -0.05883 
      5.9943745      0.00876194      -0.0133515       0.0210406       -0.058532 
      5.9940077      0.00870234      -0.0135899       0.0208617      -0.0580552 
      5.9936289      0.00870234      -0.0137091       0.0203253      -0.0579359 
      5.9931886      0.00864273      -0.0138879       0.0201465      -0.0581744 
      5.9927379      0.00870234      -0.0134111       0.0200869      -0.0589492 
      5.9923367      0.00894075      -0.0126362       0.0200869       -0.059128 
      5.9918677      0.00882155      -0.0123382       0.0199081      -0.0584128 
       5.991451      0.00888115      -0.0116826       0.0198485      -0.0579359 
      5.9910235      0.00923878      -0.0113249       0.0200869      -0.0578167 
      5.9905294      0.00935799      -0.0115634       0.0203253      -0.0579359 
      5.9900916       0.0094772       -0.012517       0.0206829      -0.0579956 
      5.9895819      0.00923878      -0.0129939       0.0210406      -0.0581148 
