> Measurement made Thu Aug 15 09:21:22 2024
> Main magnet sweep  0.00000 to  2.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at  130.000 K, T1: 129.950 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 15.550140 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
130K 0-3T
-
-

>BEGIN
   9.563596e-06    -0.000715259     -0.00184775    -0.000774864     -0.00220539 
  3.8227231e-05    -0.000774864     -0.00166894    -0.000715259     -0.00190736 
  9.3273777e-05    -0.000953682     -0.00178815    -0.000834469     -0.00149012 
  0.00016019142     -0.00101329      -0.0023246    -0.000655655     -0.00178815 
  0.00025793344     -0.00107289      -0.0023246     -0.00023842     -0.00190736 
  0.00036091917      -0.0011921     -0.00220539    -0.000298025      -0.0011921 
  0.00049873322     -0.00149012     -0.00196697    -0.000476841     -0.00107289 
  0.00063689654     -0.00154973     -0.00214578    -0.000655655    -0.000834469 
  0.00081247603     -0.00160933      -0.0023842    -0.000774864     -0.00107289 
   0.0010071848      -0.0012517     -0.00202657    -0.000655655     -0.00143052 
   0.0011920856     -0.00035763     -0.00149012    -0.000417234     -0.00107289 
    0.001390638               0      -0.0011921     -0.00023842    -0.000715259 
   0.0016044479               0      -0.0011921     -0.00011921    -0.000894073 
   0.0018292391               0     -0.00137091               0      -0.0012517 
   0.0021023803     -0.00011921     -0.00137091      0.00011921    -0.000834469 
   0.0023914013     -0.00035763     -0.00178815     0.000178815    -0.000178815 
    0.002695773    -0.000178815     -0.00220539     -0.00035763               0 
   0.0029759118    -0.000178815     -0.00286104    -0.000774864    -0.000178815 
   0.0033077724    -0.000536445     -0.00292064    -0.000953682     -0.00035763 
   0.0036535568    -0.000953682     -0.00315906    -0.000834469    -0.000476841 
   0.0040128013      -0.0012517     -0.00292064    -0.000774864     -0.00035763 
   0.0043366979    -0.000953682     -0.00214578    -0.000774864    -0.000417234 
   0.0047199462    -0.000715259     -0.00262262      -0.0011921     -0.00101329 
   0.0051154068     -0.00107289     -0.00262262     -0.00137091      -0.0011921 
   0.0054698978     -0.00131131     -0.00250341     -0.00154973    -0.000774864 
   0.0058871368     -0.00137091      -0.0023246     -0.00149012    -0.000536445 
    0.006315456      -0.0012517     -0.00190736      -0.0011921    -0.000655655 
   0.0067012489    -0.000894073      -0.0012517    -0.000894073    -0.000655655 
   0.0071494094    -0.000774864      -0.0011325    -0.000834469    -0.000536445 
   0.0075484199    -0.000834469     -0.00131131     -0.00059605     -0.00101329 
   0.0080151206    -0.000715259     -0.00137091     -0.00059605     -0.00107289 
   0.0084912539    -0.000894073     -0.00131131    -0.000834469    -0.000953682 
   0.0089765057    -0.000834469     -0.00154973    -0.000953682     -0.00059605 
     0.00940685     -0.00101329    -0.000894073    -0.000536445      -0.0011921 
