> Measurement made Thu Aug 15 09:51:11 2024
> Main magnet sweep  0.00000 to  2.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at  140.000 K, T1: 139.860 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 15.517570 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
140K 0-3T
-
-

>BEGIN
  1.2559254e-05     -0.00011921     -0.00166894     -0.00011921    -0.000476841 
  4.3954064e-05    -0.000476841     -0.00202657    -0.000178815     -0.00023842 
  0.00010200698    -0.000476841     -0.00184775     -0.00023842     -0.00023842 
  0.00018310376    -0.000417234     -0.00184775    -0.000417234     -0.00023842 
  0.00028647686     -0.00035763     -0.00131131    -0.000417234    -0.000298025 
   0.0004113843    -0.000476841    -0.000476841    -0.000417234    -0.000298025 
  0.00055710882    -0.000655655    -0.000834469    -0.000476841    -0.000476841 
  0.00072295704    -0.000655655     -0.00131131     -0.00023842    -0.000476841 
  0.00090825867    -0.000655655     -0.00154973    -0.000476841    -0.000774864 
   0.0010852126    -0.000476841     -0.00220539    -0.000774864    -0.000774864 
   0.0012760493     -0.00035763     -0.00321867    -0.000715259    -0.000834469 
   0.0015114668    -0.000536445     -0.00333787    -0.000655655     -0.00149012 
   0.0017640205    -0.000894073     -0.00280143    -0.000715259     -0.00172854 
   0.0019999891    -0.000834469     -0.00214578    -0.000834469     -0.00149012 
   0.0022460956      -0.0011325     -0.00149012    -0.000715259      -0.0011921 
   0.0025820118     -0.00149012     -0.00166894    -0.000536445    -0.000953682 
   0.0028958204     -0.00154973      -0.0023246    -0.000655655    -0.000894073 
   0.0032241542    -0.000834469      -0.0023246    -0.000774864    -0.000774864 
   0.0035665294    -0.000655655     -0.00208618    -0.000894073    -0.000834469 
   0.0039224782     -0.00035763      -0.0023246     -0.00107289    -0.000715259 
   0.0042915486     -0.00023842      -0.0023246     -0.00131131    -0.000774864 
   0.0046237458    -0.000298025      -0.0024438      -0.0012517     -0.00107289 
   0.0050162162     -0.00011921     -0.00226499    -0.000715259      -0.0012517 
   0.0054205917      0.00011921     -0.00178815     -0.00011921     -0.00107289 
   0.0057859748    -0.000178815     -0.00178815               0    -0.000774864 
   0.0062116689     -0.00011921     -0.00178815    -0.000178815    -0.000953682 
   0.0066481614    -0.000178815     -0.00208618    -0.000476841      -0.0011921 
   0.0070950927    -0.000536445     -0.00214578     -0.00023842     -0.00154973 
   0.0075521152     -0.00107289      -0.0023246    -0.000476841     -0.00149012 
   0.0080188926     -0.00107289     -0.00196697    -0.000476841     -0.00178815 
   0.0084951001    -0.000774864     -0.00154973     -0.00035763     -0.00166894 
   0.0089804236    -0.000655655     -0.00178815     -0.00023842    -0.000715259 
   0.0094108286    -0.000894073     -0.00184775    -5.96051e-05    -0.000298025 
   0.0099124088    -0.000476841     -0.00208618    -0.000178815     -0.00023842 
