> Measurement made Wed Aug 14 15:20:32 2024
> Main magnet sweep  0.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at   15.000 K, T1:  15.011 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.793970 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
15K 0-3T
-
-

>BEGIN
  1.2559254e-05      -0.0011921     -0.00208618     -0.00101329     -0.00208618 
  4.9677676e-05      -0.0011921     -0.00154973    -0.000774864     -0.00131131 
  0.00011053725     -0.00131131     -0.00137091    -0.000655655     -0.00101329 
   0.0001943472     -0.00154973     -0.00059605    -0.000715259      -0.0011921 
  0.00030034311     -0.00131131    -0.000476841    -0.000953682     -0.00131131 
   0.0004113843     -0.00131131    -0.000476841      -0.0011921     -0.00196697 
   0.0005373187     -0.00107289    -0.000834469    -0.000953682     -0.00184775 
  0.00067862097     -0.00101329      -0.0011325    -0.000953682     -0.00131131 
  0.00085900512     -0.00149012     -0.00131131    -0.000894073    -0.000953682 
   0.0010583585     -0.00137091      -0.0011921     -0.00101329     -0.00143052 
   0.0012489786      -0.0011921    -0.000655655    -0.000834469     -0.00190736 
   0.0014823005     -0.00131131    -0.000536445    -0.000476841     -0.00184775 
   0.0017328283     -0.00143052    -0.000178815    -0.000476841     -0.00172854 
   0.0019999891      -0.0012517    -0.000476841    -0.000536445     -0.00178815 
   0.0022832288    -0.000715259     -0.00023842    -0.000536445     -0.00196697 
   0.0025429183    -0.000476841    -5.96051e-05    -0.000476841     -0.00184775 
    0.002854832               0     -0.00023842    -0.000417234     -0.00202657 
   0.0031387446               0     -0.00011921    -0.000655655     -0.00214578 
   0.0034361792    -0.000178815     -0.00011921    -0.000834469      -0.0023246 
   0.0037870781     -0.00023842     5.96051e-05    -0.000953682     -0.00256301 
   0.0041512669     -0.00023842     -0.00011921    -0.000774864      -0.0023842 
   0.0044793402    -0.000417234    -0.000417234    -0.000655655     -0.00220539 
   0.0048200376    -0.000655655    -0.000476841    -0.000476841     -0.00160933 
   0.0052185585    -0.000774864    -0.000655655    -0.000298025     -0.00143052 
   0.0056287831     -0.00101329    -0.000834469    -0.000476841     -0.00143052 
   0.0059957463    -0.000894073      -0.0011325    -0.000953682     -0.00137091 
   0.0064268421    -0.000655655      -0.0011325    -0.000953682     -0.00166894 
   0.0068685565    -0.000774864     -0.00107289     -0.00101329     -0.00160933 
   0.0073205358    -0.000774864    -0.000834469    -0.000715259     -0.00101329 
    0.007782438    -0.000953682    -0.000655655    -0.000774864     -0.00035763 
   0.0082539327     -0.00131131    -0.000476841     -0.00107289    -0.000834469 
   0.0087347003      -0.0011921     -0.00107289     -0.00107289    -0.000834469 
    0.009224432     -0.00101329     -0.00107289     -0.00131131     -0.00107289 
   0.0097228293    -0.000834469    -0.000417234     -0.00149012    -0.000894073 
