> Measurement made Tue Aug 13 15:23:42 2024
> Main magnet sweep  2.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.00000 T 
> ITC set at  200.000 K, T1: 199.900 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 15.694400 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
200K
-
-

>BEGIN
      2.0000126     5.96051e-05     -0.00250341     -0.00035763     0.000298025 
       2.000044      0.00011921     -0.00208618    -0.000476841     0.000298025 
      2.0000933     0.000178815     -0.00178815    -0.000536445     -0.00011921 
      2.0001715      0.00035763     -0.00202657     -0.00035763    -0.000655655 
      2.0002579      0.00035763      -0.0023842     -0.00023842    -0.000834469 
      2.0003619      0.00023842     -0.00256301     -0.00011921     -0.00131131 
      2.0004999     5.96051e-05     -0.00298025     -0.00011921     -0.00178815 
      2.0006369     -0.00011921     -0.00298025     -0.00035763     -0.00190736 
      2.0008125               0     -0.00274183     -0.00023842     -0.00190736 
      2.0009812     0.000178815     -0.00208618     -0.00035763     -0.00172854 
      2.0011921    -0.000298025     -0.00214578    -0.000178815    -0.000774864 
      2.0014209    -0.000715259      -0.0023246    -0.000476841    -0.000536445 
      2.0016366    -0.000715259     -0.00196697    -0.000715259     -0.00101329 
      2.0018633    -0.000536445     -0.00160933    -0.000655655      -0.0012517 
      2.0021385    -0.000417234      -0.0012517    -0.000715259     -0.00137091 
      2.0023938     -0.00035763     -0.00107289    -0.000536445     -0.00131131 
      2.0026983    -5.96051e-05     -0.00154973    -0.000715259      -0.0011921 
      2.0029759      0.00023842     -0.00202657     -0.00107289      -0.0011325 
      2.0033078     0.000178815      -0.0023246      -0.0011921    -0.000536445 
      2.0036536     0.000178815     -0.00280143     -0.00107289     0.000298025 
      2.0039661     5.96051e-05     -0.00298025    -0.000834469     0.000476841 
      2.0043367    -5.96051e-05     -0.00315906    -0.000894073      0.00011921 
      2.0047199    -0.000178815      -0.0024438    -0.000894073    -0.000417234 
      2.0051154     0.000178815      -0.0023246    -0.000536445     -0.00107289 
      2.0055227     0.000298025      -0.0023842     -0.00059605     -0.00166894 
      2.0058905    -5.96051e-05      -0.0023842    -0.000536445     -0.00131131 
      2.0063189    -0.000298025     -0.00226499    -0.000894073    -0.000536445 
       2.006758      0.00023842     -0.00220539     -0.00131131      0.00011921 
      2.0071494      0.00059605     -0.00208618     -0.00143052    -5.96051e-05 
      2.0076076     0.000715259     -0.00160933      -0.0011921     -0.00011921 
      2.0080151     0.000655655     -0.00154973    -0.000953682     0.000178815 
      2.0084913     0.000655655     -0.00143052    -0.000774864    -0.000178815 
      2.0089765     0.000417234     -0.00178815     -0.00035763    -0.000536445 
      2.0094108     -0.00011921      -0.0023246     -0.00023842     -0.00035763 
      2.0099124    -0.000655655      -0.0023246     -0.00035763     -0.00011921 
