> Measurement made Wed Aug 14 15:46:27 2024
> Main magnet sweep  0.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at   30.000 K, T1:  29.200 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.453800 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
30K 0-3T
-
-

>BEGIN
      2.9999904      0.00745061     -0.00524524      0.00423196     -0.00101329 
      2.9999564      0.00745061     -0.00542405      0.00405314    -0.000774864 
      2.9998985      0.00715259     -0.00584128      0.00399354    -0.000476841 
      2.9998285       0.0072718     -0.00566247      0.00411275    -0.000536445 
       2.999728       0.0073314     -0.00518563      0.00458959    -0.000536445 
      2.9996058      0.00745061      -0.0047088      0.00488761     -0.00023842 
      2.9994821      0.00774866     -0.00405314      0.00482801               0 
      2.9993214      0.00810629     -0.00387433      0.00452998      0.00059605 
      2.9991652      0.00792748     -0.00452998      0.00411275     0.000476841 
      2.9989928      0.00751021     -0.00542405      0.00393394    -0.000536445 
      2.9988079      0.00721219     -0.00625852      0.00375511    -0.000774864 
      2.9985791      0.00739101     -0.00661614      0.00381473     -0.00035763 
      2.9983329      0.00762945     -0.00625852      0.00405314     0.000417234 
      2.9981045      0.00774866     -0.00590089      0.00429156     0.000417234 
      2.9978274      0.00762945     -0.00572208      0.00458959      0.00011921 
      2.9975345      0.00739101     -0.00560287      0.00452998     0.000894073 
      2.9972264      0.00721219     -0.00518563      0.00429156     0.000417234 
      2.9969431      0.00721219     -0.00518563      0.00387433               0 
      2.9966078       0.0072718     -0.00518563      0.00399354     -0.00011921 
      2.9962586      0.00751021     -0.00524524      0.00405314     0.000715259 
      2.9959432      0.00745061     -0.00542405      0.00411275      0.00149012 
      2.9955694      0.00745061     -0.00530484       0.0036955      0.00172854 
      2.9951831      0.00762945      -0.0047088      0.00345708      0.00143052 
      2.9948331      0.00774866     -0.00441077      0.00381473     0.000774864 
      2.9944244      0.00739101      -0.0047088      0.00411275     0.000476841 
      2.9940586      0.00739101     -0.00494721      0.00405314     0.000476841 
      2.9936289      0.00751021     -0.00452998      0.00405314     0.000715259 
      2.9932455      0.00792748     -0.00458959      0.00375511     0.000715259 
      2.9927961      0.00780827     -0.00464919      0.00393394     0.000715259 
      2.9923367      0.00768906     -0.00500682      0.00381473      0.00035763 
      2.9918677      0.00774866     -0.00548366      0.00381473     5.96051e-05 
      2.9913892      0.00768906     -0.00518563      0.00315906      0.00011921 
      2.9909018      0.00774866     -0.00518563      0.00309946      0.00023842 
      2.9904056       0.0082255     -0.00458959      0.00327827     0.000476841 
      2.9899009      0.00798708     -0.00429156      0.00315906       0.0011325 
      2.9893881      0.00768906     -0.00417235      0.00339748       0.0012517 
      2.9888674      0.00774866     -0.00405314      0.00345708       0.0011325 
       2.988339      0.00792748      -0.0036955      0.00357629     0.000655655 
