> Measurement made Wed Aug 14 09:40:04 2024
> Main magnet sweep  2.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.00000 T 
> ITC set at   40.000 K, T1:  40.000 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 19.223060 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
40K
-
-

>BEGIN
      2.0000096     0.000417234     -0.00774866      0.00864273    -0.000655655 
      2.0000382     0.000417234     -0.00786787      0.00846392    -0.000476841 
      2.0000849     0.000417234      -0.0082851      0.00840431               0 
      2.0001602     0.000417234     -0.00804669      0.00840431     0.000476841 
      2.0002442     0.000417234     -0.00768906      0.00858313     0.000834469 
      2.0003458     0.000655655     -0.00745061      0.00846392     0.000417234 
      2.0004811     0.000536445      -0.0072718      0.00816589      0.00035763 
      2.0006369     0.000298025     -0.00774866      0.00810629     0.000715259 
      2.0007889    -5.96051e-05     -0.00768906      0.00780827     0.000774864 
      2.0009556    -0.000178815     -0.00739101      0.00762945     0.000298025 
      2.0011641    -5.96051e-05     -0.00780827      0.00751021     5.96051e-05 
      2.0013906      0.00011921     -0.00792748      0.00745061     0.000178815 
      2.0016044     0.000298025      -0.0082255      0.00751021      0.00023842 
      2.0018633      0.00011921     -0.00780827      0.00780827     0.000417234 
      2.0021385      0.00023842     -0.00745061      0.00792748     0.000476841 
      2.0024295      0.00035763     -0.00774866      0.00792748     0.000894073 
      2.0027358     0.000476841     -0.00786787       0.0082255      0.00101329 
       2.003015      0.00059605     -0.00810629      0.00846392     0.000298025 
      2.0033485     0.000715259     -0.00798708      0.00858313    -0.000953682 
       2.003696     0.000655655     -0.00792748      0.00846392    -0.000774864 
      2.0040128     0.000476841     -0.00739101      0.00834471     5.96051e-05 
      2.0043367     0.000298025     -0.00715259       0.0082255     0.000417234 
      2.0046702      0.00059605     -0.00721219       0.0082255     0.000834469 
      2.0050641     0.000417234     -0.00715259       0.0082851     0.000894073 
      2.0054206     0.000298025     -0.00762945      0.00792748     0.000894073 
      2.0058365     5.96051e-05     -0.00786787      0.00756982       0.0011921 
      2.0062635     0.000178815     -0.00846392      0.00768906      0.00154973 
      2.0067012     0.000536445     -0.00858313      0.00816589     0.000715259 
      2.0070915     0.000715259     -0.00858313      0.00810629      0.00059605 
      2.0075484     0.000298025      -0.0082851       0.0082255     0.000894073 
      2.0079548               0     -0.00798708       0.0082851     0.000774864 
      2.0083723               0     -0.00774866      0.00804669     0.000715259 
      2.0088553     5.96051e-05     -0.00715259      0.00804669     0.000953682 
      2.0092838      0.00011921     -0.00751021       0.0082255       0.0011325 
      2.0097832     0.000178815     -0.00840431       0.0082851      0.00172854 
       2.010291     0.000417234     -0.00923878      0.00852352       0.0012517 
      2.0107445     0.000536445     -0.00923878      0.00882155     0.000894073 
      2.0112672      0.00059605     -0.00900036      0.00882155     0.000715259 
