> Measurement made Wed Aug 14 12:31:07 2024
> Main magnet sweep  0.00000 to  8.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at    5.000 K, T1:   5.002 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.644910 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
5K 0-8T
-
-

>BEGIN
      7.9999874       0.0223519     -0.00578168       0.0416043      -0.0923281 
      7.9999564        0.022173     -0.00554326       0.0417235      -0.0923877 
      7.9999067       0.0220538     -0.00518563       0.0417831      -0.0925069 
      7.9998285        0.022173     -0.00542405       0.0416639      -0.0926857 
       7.999728       0.0222923      -0.0060201       0.0414255      -0.0928049 
      7.9996226       0.0219942     -0.00590089       0.0411274      -0.0922685 
      7.9994821        0.021875     -0.00578168       0.0406506      -0.0918512 
      7.9993431       0.0220538     -0.00572208       0.0405314      -0.0919704 
      7.9991652       0.0219942     -0.00548366        0.040591      -0.0920896 
      7.9989928       0.0220538     -0.00530484       0.0409486      -0.0926857 
      7.9988079       0.0221134      -0.0047684        0.041187      -0.0929837 
      7.9986075       0.0219346     -0.00452998       0.0412466      -0.0933413 
      7.9983956       0.0221134      -0.0047684       0.0413063      -0.0935798 
      7.9981708       0.0223519     -0.00542405       0.0413063       -0.093997 
      7.9978976       0.0220538     -0.00578168       0.0411274       -0.094295 
      7.9976441        0.021875     -0.00554326       0.0410082      -0.0938182 
      7.9973811       0.0220538     -0.00548366       0.0410082      -0.0928645 
      7.9971067       0.0219942     -0.00548366       0.0409486      -0.0921492 
      7.9967785        0.021875     -0.00548366       0.0409486      -0.0917916 
      7.9964363       0.0215174     -0.00506642        0.040889       -0.091434 
      7.9961238        0.021279     -0.00494721        0.040889       -0.091136 
      7.9958042        0.021577     -0.00542405       0.0410082       -0.091434 
      7.9954717        0.021875     -0.00554326       0.0411274      -0.0920896 
      7.9951328        0.022173     -0.00560287       0.0413063      -0.0929837 
      7.9947328       0.0223519     -0.00524524       0.0416043      -0.0931625 
      7.9943212        0.022173     -0.00500682       0.0417235      -0.0931625 
      7.9938984       0.0224115      -0.0047684       0.0414851      -0.0932221 
      7.9934646       0.0228287     -0.00518563       0.0411274      -0.0932221 
      7.9930777       0.0227095     -0.00524524        0.040889      -0.0928049 
      7.9926795       0.0225903     -0.00530484        0.040889      -0.0921492 
      7.9922176       0.0225307     -0.00548366       0.0411274      -0.0916724 
      7.9918069       0.0224115     -0.00560287       0.0412466      -0.0919704 
      7.9913892       0.0224115     -0.00542405        0.041187      -0.0922089 
      7.9909607       0.0226499     -0.00554326       0.0411274      -0.0921492 
      7.9905294       0.0227691     -0.00631812       0.0413063      -0.0916128 
      7.9900876       0.0227095     -0.00619891       0.0413659      -0.0912552 
      7.9896435       0.0225903     -0.00548366       0.0413063      -0.0911956 
