> Measurement made Tue Aug 13 21:56:27 2024
> Main magnet sweep  2.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.00000 T 
> ITC set at   80.000 K, T1:  80.050 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 16.253290 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  under abiout 55 degree angle
80K
-
-

>BEGIN
      2.0000126     -0.00184775      0.00429156      0.00190736      0.00226499 
       2.000044     -0.00178815      0.00411275      0.00172854      0.00226499 
      2.0020688     -0.00154973      0.00345708      0.00214578      0.00059605 
      2.0023559     -0.00131131      0.00399354       0.0023842     0.000298025 
      2.0026189     -0.00154973      0.00405314       0.0023246     0.000655655 
      2.0028958     -0.00160933      0.00315906       0.0023842     0.000715259 
      2.0032242      -0.0012517      0.00286104       0.0023246      0.00101329 
      2.0035219     -0.00131131      0.00298025       0.0023842       0.0011921 
      2.0038762      -0.0011921      0.00375511      0.00214578     0.000655655 
      2.0041958      -0.0011325      0.00357629      0.00184775     0.000536445 
      2.0045744     -0.00131131      0.00375511      0.00178815     0.000476841 
      2.0049653      -0.0011921      0.00429156      0.00190736     0.000536445 
      2.0053192     -0.00131131       0.0036955      0.00214578     0.000715259 
      2.0056788      -0.0011921      0.00339748      0.00220539       0.0012517 
      2.0061016     -0.00131131      0.00351669       0.0023246      0.00137091 
      2.0065354      -0.0011921      0.00375511      0.00256301     0.000774864 
      2.0069258      -0.0012517      0.00435117       0.0024438     0.000536445 
      2.0073205     -0.00149012      0.00441077      0.00256301      0.00143052 
      2.0080151     -0.00160933      0.00572208       0.0024438      0.00131131 
      2.0084913     -0.00137091      0.00548366      0.00226499     0.000953682 
      2.0089178     -0.00149012      0.00482801      0.00220539     0.000774864 
      2.0094108     -0.00178815      0.00452998      0.00202657      0.00149012 
      2.0098477     -0.00178815      0.00381473      0.00214578      0.00154973 
      2.0103565     -0.00190736       0.0036955      0.00214578      0.00202657 
      2.0108734     -0.00184775      0.00321867      0.00184775      0.00220539 
      2.0113346     -0.00154973      0.00387433      0.00202657      0.00137091 
      2.0119301     -0.00154973      0.00411275       0.0023246     0.000774864 
      2.0124044     -0.00160933      0.00482801      0.00226499      0.00149012 
      2.0129499     -0.00166894      0.00464919       0.0023246      0.00160933 
      2.0134312     -0.00149012      0.00435117       0.0023842      0.00154973 
      2.0139893      -0.0012517      0.00429156       0.0023246     0.000894073 
      2.0144812     -0.00107289      0.00387433       0.0024438    -0.000476841 
       2.015051    -0.000774864      0.00256301       0.0024438     -0.00107289 
      2.0165039    -0.000715259      0.00375511      0.00226499     5.96051e-05 
      2.0179865     -0.00154973      0.00464919      0.00262262     0.000894073 
      2.0191242     -0.00220539      0.00441077       0.0024438      0.00143052 
      2.0204272     -0.00220539      0.00458959      0.00292064     0.000953682 
      2.0215993     -0.00154973      0.00429156      0.00315906     0.000655655 
