> Measurement made Thu Jan  4 16:12:02 2024
> Main magnet sweep  3.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.01335 T 
> ITC set at   10.000 K, T1:  10.004 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 389.176300 Ohm corresponds to T = 10.014409 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 24.973190 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
10 K  
Original linear polarization
-

>BEGIN
      3.0000097      0.00250341     -0.00274183     -0.00655654      0.00989443 
       3.000044      0.00298025     -0.00274183     -0.00596049       0.0104905 
       3.000102      0.00357629     -0.00298025     -0.00631812       0.0100136 
      3.0001831      0.00321867     -0.00250341     -0.00631812      0.00929838 
       3.000272      0.00286104     -0.00178815     -0.00643733      0.00858313 
      3.0003774       0.0023842     -0.00131131     -0.00655654      0.00762945 
      3.0005179       0.0023842    -0.000834469     -0.00679496      0.00679496 
      3.0006786      0.00298025    -0.000834469     -0.00703338      0.00691417 
      3.0008363       0.0036955     -0.00143052     -0.00810629      0.00774866 
      3.0010072      0.00309946     -0.00166894     -0.00858313      0.00846392 
      3.0012204       0.0023842     -0.00178815     -0.00786787      0.00846392 
      3.0014515      0.00226499     -0.00143052     -0.00703338      0.00798708 
      3.0016691      0.00298025    -0.000476841     -0.00655654      0.00774866 
      3.0018976       0.0036955               0      -0.0072718      0.00762945 
      3.0021385      0.00429156    -0.000834469     -0.00810629      0.00774866 
      3.0023938      0.00417235     -0.00166894     -0.00834471      0.00751021 
      3.0026585      0.00381473     -0.00202657     -0.00798708      0.00751021 
      3.0029759      0.00405314     -0.00143052     -0.00679496      0.00751021 
      3.0033078      0.00488761     -0.00035763     -0.00643733      0.00786787 
      3.0036988      0.00429156    -0.000715259      -0.0072718      0.00846392 
      3.0040128       0.0036955     -0.00131131     -0.00810629      0.00870234 
      3.0043367      0.00321867     -0.00143052      -0.0082255      0.00846392 
      3.0047199      0.00345708     -0.00154973     -0.00762945      0.00810629 
      3.0050673      0.00393394     -0.00154973     -0.00715259       0.0082255 
      3.0054206      0.00417235     -0.00107289     -0.00691417      0.00858313 
      3.0058365      0.00464919     -0.00131131     -0.00691417      0.00858313 
      3.0062635      0.00548366     -0.00166894      -0.0072718       0.0082255 
      3.0067012      0.00524524     -0.00143052      -0.0072718      0.00762945 
      3.0071494      0.00548366     -0.00166894     -0.00774866      0.00774866 
      3.0076076      0.00512603      -0.0023842     -0.00810629      0.00774866 
      3.0080755      0.00464919     -0.00226499     -0.00751021      0.00751021 
      3.0085529      0.00429156     -0.00178815     -0.00643733       0.0082255 
      3.0090393      0.00381473     -0.00178815     -0.00596049      0.00846392 
      3.0095344      0.00452998     -0.00143052     -0.00643733      0.00858313 
      3.0100381      0.00512603     -0.00143052     -0.00655654      0.00929838 
        3.01055      0.00512603     -0.00202657     -0.00691417      0.00917917 
      3.0110697      0.00524524     -0.00226499      -0.0072718      0.00917917 
      3.0115972      0.00584128     -0.00214578     -0.00679496      0.00905996 
      3.0121321      0.00548366     -0.00143052     -0.00643733      0.00858313 
      3.0126087      0.00500682     -0.00107289      -0.0060797      0.00810629 
      3.0131568      0.00452998     -0.00131131     -0.00548366      0.00810629 
      3.0137116      0.00405314     -0.00202657     -0.00584128      0.00858313 
      3.0142008      0.00452998     -0.00274183     -0.00631812      0.00846392 
      3.0146947      0.00500682     -0.00286104     -0.00631812      0.00858313 
      3.0151979      0.00536445      -0.0023842     -0.00596049      0.00905996 
      3.0157011      0.00524524     -0.00214578     -0.00619891      0.00929838 
      3.0162086      0.00441077     -0.00202657     -0.00643733      0.00917917 
      3.0167251      0.00441077     -0.00190736     -0.00655654      0.00905996 
      3.0173172       0.0047684     -0.00214578     -0.00643733      0.00870234 
      3.0178377      0.00512603     -0.00202657     -0.00560287      0.00870234 
       3.018367      0.00536445     -0.00143052     -0.00524524      0.00917917 
      3.0189731      0.00560287     -0.00107289     -0.00512603      0.00965601 
       3.019584      0.00584128     -0.00131131     -0.00596049      0.00917917 
      3.0201995      0.00584128     -0.00178815     -0.00667575       0.0082255 
      3.0208195      0.00524524     -0.00321867     -0.00691417      0.00762945 
      3.0214439      0.00452998     -0.00357629     -0.00691417      0.00774866 
      3.0219917      0.00381473     -0.00250341     -0.00679496      0.00798708 
      3.0225426       0.0036955     -0.00214578     -0.00679496      0.00798708 
      3.0231016      0.00417235     -0.00202657     -0.00655654      0.00762945 
      3.0237405      0.00417235     -0.00166894     -0.00596049      0.00798708 
       3.024383      0.00464919     -0.00131131     -0.00596049       0.0082255 
      3.0250291       0.0047684     -0.00154973     -0.00584128      0.00810629 
      3.0256787       0.0047684     -0.00262262     -0.00560287      0.00762945 
      3.0263316      0.00488761     -0.00298025     -0.00596049      0.00786787 
      3.0269877      0.00536445     -0.00298025     -0.00643733      0.00774866 
       3.027647      0.00596049     -0.00250341     -0.00715259       0.0082255 
      3.0282243      0.00560287     -0.00154973     -0.00703338      0.00834471 
      3.0288891      0.00560287     -0.00131131     -0.00643733      0.00810629 
      3.0294712      0.00572208     -0.00202657     -0.00584128      0.00810629 
      3.0300607      0.00500682     -0.00298025     -0.00560287      0.00846392 
      3.0306469      0.00452998     -0.00298025     -0.00560287      0.00858313 
      3.0312404       0.0047684     -0.00250341      -0.0060797       0.0082255 
      3.0318305      0.00464919     -0.00286104     -0.00655654      0.00751021 
      3.0324225      0.00417235     -0.00286104     -0.00631812      0.00739101 
      3.0330217      0.00464919     -0.00274183      -0.0060797      0.00762945 
      3.0336172      0.00536445     -0.00250341      -0.0060797      0.00762945 
