> Measurement made Wed Jan  3 14:47:54 2024
> Main magnet sweep  5.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  4.96708 T 
> ITC set at  175.000 K, T1: 174.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 137.130000 Ohm corresponds to T = 176.663875 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.060620 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
175 K  
Original linear polarization
-

>BEGIN
      4.9999874      0.00548366      0.00298025      0.00524524       0.0110865 
       4.999956      0.00572208      0.00405314      0.00584128       0.0116826 
       4.999898      0.00596049      0.00452998      0.00512603       0.0114442 
      4.9998169      0.00691417      0.00464919      0.00429156       0.0109673 
      4.9997135      0.00739101       0.0047684      0.00405314       0.0109673 
      4.9996058      0.00715259      0.00417235      0.00452998       0.0112057 
      4.9994627      0.00631812      0.00333787      0.00488761       0.0110865 
      4.9993214      0.00619891      0.00357629      0.00464919       0.0108481 
      4.9991637      0.00619891      0.00381473      0.00452998       0.0108481 
      4.9989928       0.0060797       0.0036955      0.00417235       0.0103713 
      4.9987796      0.00584128      0.00309946      0.00429156       0.0107289 
      4.9985485      0.00512603      0.00298025      0.00488761       0.0109673 
      4.9983309      0.00524524      0.00405314       0.0047684       0.0109673 
      4.9980678      0.00536445      0.00405314      0.00488761       0.0110865 
      4.9977885      0.00584128      0.00345708      0.00524524       0.0116826 
      4.9975321      0.00536445      0.00321867      0.00500682       0.0115634 
      4.9972239      0.00524524      0.00309946      0.00452998       0.0109673 
       4.996901      0.00548366      0.00321867      0.00417235       0.0108481 
      4.9966078      0.00584128      0.00357629      0.00488761       0.0106097 
      4.9963012      0.00548366      0.00405314      0.00584128       0.0108481 
      4.9959403      0.00596049      0.00512603      0.00643733       0.0108481 
      4.9955664      0.00584128      0.00500682      0.00691417       0.0108481 
      4.9952301      0.00584128      0.00464919      0.00679496       0.0104905 
      4.9948846      0.00596049      0.00417235      0.00631812       0.0106097 
      4.9945268      0.00619891      0.00405314      0.00643733       0.0109673 
      4.9940586      0.00631812      0.00429156      0.00631812       0.0107289 
      4.9936289      0.00679496      0.00512603      0.00596049       0.0104905 
       4.993242      0.00691417       0.0047684      0.00548366       0.0100136 
      4.9927925      0.00619891      0.00429156      0.00560287       0.0102521 
       4.992333      0.00548366      0.00464919      0.00572208       0.0102521 
      4.9918639      0.00524524       0.0047684      0.00524524       0.0102521 
      4.9913854       0.0047684       0.0047684      0.00488761      0.00977522 
      4.9909607      0.00488761       0.0047684      0.00500682       0.0100136 
      4.9904656      0.00512603      0.00429156      0.00488761       0.0101328 
      4.9900228      0.00584128      0.00381473       0.0047684       0.0102521 
      4.9895119      0.00655654       0.0036955      0.00488761       0.0103713 
      4.9890599      0.00703338       0.0036955      0.00488761       0.0107289 
      4.9885343      0.00691417       0.0036955      0.00524524       0.0107289 
      4.9880013      0.00715259      0.00417235      0.00548366       0.0104905 
       4.987461      0.00679496      0.00452998      0.00524524       0.0109673 
      4.9869842      0.00643733      0.00488761      0.00488761       0.0103713 
       4.986431       0.0060797       0.0047684      0.00524524       0.0104905 
      4.9859388      0.00572208      0.00405314      0.00596049       0.0109673 
      4.9853735      0.00536445       0.0036955      0.00584128       0.0108481 
      4.9848021      0.00512603      0.00357629      0.00524524       0.0107289 
      4.9842989      0.00452998       0.0036955      0.00488761       0.0101328 
      4.9837914       0.0047684      0.00381473       0.0047684      0.00989443 
      4.9832041      0.00488761      0.00464919      0.00488761       0.0095368 
      4.9826828      0.00500682      0.00512603      0.00488761       0.0100136 
      4.9820855      0.00596049      0.00488761      0.00536445       0.0108481 
      4.9815605       0.0060797      0.00417235      0.00631812       0.0113249 
      4.9809538      0.00619891      0.00321867      0.00643733       0.0108481 
      4.9803424      0.00560287      0.00262262      0.00643733       0.0108481 
      4.9798005      0.00524524      0.00309946       0.0060797       0.0108481 
      4.9791805      0.00536445      0.00381473      0.00584128       0.0103713 
      4.9786363      0.00572208      0.00429156      0.00536445       0.0107289 
      4.9780889      0.00536445      0.00417235      0.00500682       0.0104905 
      4.9775334      0.00500682       0.0036955      0.00512603       0.0104905 
      4.9768984      0.00536445      0.00321867      0.00584128       0.0103713 
      4.9762595      0.00631812      0.00321867      0.00655654       0.0100136 
       4.975617      0.00655654      0.00357629      0.00715259      0.00965601 
      4.9750538      0.00691417      0.00381473      0.00679496       0.0095368 
      4.9744047      0.00679496      0.00321867      0.00619891      0.00941759 
      4.9738359      0.00643733      0.00309946      0.00536445      0.00905996 
      4.9732594      0.00643733      0.00298025      0.00536445      0.00977522 
      4.9726013      0.00584128      0.00321867      0.00584128       0.0104905 
      4.9720249      0.00596049      0.00405314       0.0060797       0.0110865 
      4.9696061      0.00691417      0.00536445      0.00596049       0.0103713 
      4.9690134      0.00631812      0.00500682      0.00631812       0.0106097 
      4.9683375       0.0060797      0.00441077      0.00584128       0.0107289 
      4.9677461      0.00643733       0.0036955      0.00596049       0.0109673 
      4.9670656      0.00560287      0.00381473       0.0060797       0.0113249 
      4.9664703      0.00524524      0.00452998      0.00584128       0.0114442 
      4.9657856      0.00572208      0.00500682      0.00584128       0.0118018 
      4.9651812       0.0060797       0.0047684      0.00536445       0.0120402 
      4.9644924      0.00548366      0.00405314      0.00536445       0.0115634 
      4.9638902       0.0047684       0.0036955      0.00512603       0.0107289 
      4.9631977      0.00512603      0.00345708      0.00500682       0.0102521 
      4.9625867      0.00619891      0.00321867      0.00488761       0.0101328 
      4.9618906      0.00619891      0.00309946      0.00500682       0.0101328 
