> Measurement made Wed Jan  3 13:05:20 2024
> Main magnet sweep  5.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00000 T 
> ITC set at  225.000 K, T1: 224.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 120.381900 Ohm corresponds to T = 227.512626 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.975670 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 0 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
225 K  
Original linear polarization
-

>BEGIN
      4.9999874     -0.00023842      0.00774866      -0.0101328      -0.0110865 
       4.999956      0.00035763      0.00751021      -0.0106097      -0.0110865 
      4.9999067      0.00023842      0.00751021      -0.0104905      -0.0112057 
      4.9998285     -0.00023842      0.00739101     -0.00941759      -0.0112057 
       4.999728     -0.00023842      0.00786787     -0.00751021      -0.0110865 
      4.9996226    -0.000834469      0.00810629     -0.00786787      -0.0109673 
      4.9994821     -0.00190736      0.00834471     -0.00917917      -0.0104905 
      4.9993214      -0.0023842      0.00846392     -0.00977522     -0.00977522 
      4.9991637     -0.00262262      0.00870234     -0.00941759     -0.00929838 
      4.9989665     -0.00262262      0.00810629     -0.00941759     -0.00989443 
       4.998751     -0.00154973      0.00810629      -0.0095368     -0.00989443 
      4.9985485    -0.000715259      0.00870234     -0.00882155      -0.0095368 
      4.9983002     -0.00023842      0.00870234      -0.0082255     -0.00941759 
        4.99807    -0.000476841      0.00846392     -0.00810629     -0.00929838 
      4.9977908     -0.00131131      0.00798708     -0.00774866     -0.00941759 
      4.9975321     -0.00154973       0.0072718     -0.00786787     -0.00917917 
      4.9972642     -0.00131131      0.00691417     -0.00739101     -0.00929838 
      4.9969431    -0.000834469      0.00703338     -0.00751021     -0.00929838 
      4.9966078    -0.000953682      0.00739101     -0.00786787     -0.00870234 
      4.9963012    -0.000953682      0.00751021      -0.0082255     -0.00846392 
      4.9959403     -0.00143052       0.0072718     -0.00834471     -0.00905996 
      4.9955664     -0.00178815      0.00691417     -0.00882155     -0.00977522 
        4.99518     -0.00178815      0.00643733     -0.00989443      -0.0100136 
      4.9947814     -0.00107289      0.00643733      -0.0106097      -0.0100136 
      4.9944244     -0.00131131      0.00703338      -0.0106097      -0.0100136 
      4.9940043     -0.00214578      0.00739101      -0.0101328     -0.00989443 
      4.9935732     -0.00333787      0.00751021      -0.0101328     -0.00941759 
      4.9931886     -0.00357629      0.00739101     -0.00977522     -0.00894075 
      4.9927925     -0.00250341      0.00715259     -0.00905996     -0.00941759 
       4.992333     -0.00143052      0.00679496     -0.00882155     -0.00941759 
      4.9919245    -0.000953682      0.00679496      -0.0082255     -0.00965601 
      4.9914471     -0.00035763      0.00715259     -0.00917917     -0.00977522 
      4.9909607     -0.00107289       0.0072718     -0.00989443     -0.00989443 
      4.9904656     -0.00154973       0.0072718      -0.0103713     -0.00989443 
      4.9900268     -0.00143052      0.00739101      -0.0103713      -0.0100136 
       4.989516    -0.000953682      0.00774866      -0.0104905      -0.0102521 
      4.9890599     -0.00023842      0.00774866      -0.0101328      -0.0101328 
       4.988602     -0.00035763      0.00751021     -0.00965601     -0.00977522 
      4.9880699     -0.00154973      0.00762945     -0.00882155      -0.0101328 
      4.9875956     -0.00154973      0.00751021     -0.00894075      -0.0102521 
      4.9870501     -0.00107289      0.00715259     -0.00977522      -0.0102521 
      4.9864978     -0.00107289      0.00691417      -0.0100136      -0.0108481 
      4.9860107     -0.00131131      0.00655654      -0.0102521      -0.0109673 
      4.9854462     -0.00166894      0.00703338     -0.00977522      -0.0104905 
       4.984949     -0.00202657      0.00739101     -0.00917917     -0.00989443 
      4.9843731     -0.00190736      0.00762945     -0.00810629      -0.0095368 
      4.9837914      -0.0023842      0.00762945     -0.00715259     -0.00941759 
      4.9832749     -0.00250341      0.00810629     -0.00762945     -0.00977522 
      4.9826828     -0.00202657       0.0082255     -0.00810629      -0.0095368 
      4.9820855     -0.00202657      0.00798708     -0.00882155     -0.00917917 
      4.9814831     -0.00202657      0.00762945     -0.00905996     -0.00870234 
      4.9809538     -0.00250341      0.00774866     -0.00882155     -0.00834471 
      4.9803424     -0.00202657      0.00798708     -0.00917917     -0.00834471 
      4.9798054     -0.00107289      0.00798708     -0.00917917     -0.00858313 
      4.9791854    -0.000834469      0.00739101     -0.00894075     -0.00882155 
      4.9786363    -0.000834469      0.00715259     -0.00905996     -0.00917917 
      4.9779327     -0.00107289      0.00739101     -0.00917917     -0.00977522 
      4.9773002     -0.00202657      0.00798708     -0.00917917     -0.00977522 
      4.9766637     -0.00166894      0.00798708     -0.00858313      -0.0095368 
      4.9760235     -0.00166894      0.00774866     -0.00858313      -0.0095368 
      4.9754571     -0.00226499      0.00798708     -0.00882155      -0.0095368 
      4.9748931     -0.00202657      0.00810629     -0.00834471      -0.0095368 
      4.9742432     -0.00178815      0.00786787     -0.00810629     -0.00977522 
      4.9736684     -0.00178815       0.0072718     -0.00798708      -0.0104905 
      4.9730123     -0.00166894      0.00703338     -0.00774866      -0.0101328 
      4.9724376     -0.00190736      0.00715259     -0.00786787      -0.0100136 
      4.9717757     -0.00178815      0.00751021     -0.00846392      -0.0108481 
      4.9711109     -0.00154973      0.00810629      -0.0082255      -0.0102521 
      4.9705288     -0.00154973      0.00846392     -0.00774866      -0.0095368 
      4.9697728     -0.00143052      0.00834471     -0.00834471     -0.00929838 
      4.9690997     -0.00143052      0.00834471     -0.00941759      -0.0095368 
      4.9685108     -0.00190736      0.00786787     -0.00989443     -0.00989443 
       4.967833      -0.0023842      0.00739101     -0.00882155      -0.0101328 
