> Measurement made Thu Jan  4 11:46:45 2024
> Main magnet sweep  2.80000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.99828 T 
> ITC set at  300.000 K, T1: 300.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 104.657300 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.763220 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
300 K  
Original linear polarization
-

>BEGIN
      2.8000096     -0.00393394     -0.00715259     -0.00262262      0.00011921 
      2.8000436     -0.00381473     -0.00679496     -0.00298025    -0.000715259 
      2.8000927     -0.00381473     -0.00631812     -0.00309946      -0.0011921 
      2.8001602     -0.00333787      -0.0060797     -0.00262262    -0.000476841 
      2.8002442     -0.00298025     -0.00560287     -0.00262262      0.00011921 
      2.8003458     -0.00309946     -0.00584128     -0.00262262      0.00023842 
      2.8004811     -0.00357629      -0.0060797     -0.00274183               0 
      2.8006369     -0.00357629     -0.00631812     -0.00381473     -0.00059605 
      2.8008125     -0.00321867     -0.00631812     -0.00417235    -0.000476841 
      2.8010072     -0.00321867     -0.00643733     -0.00357629     -0.00035763 
      2.8011921     -0.00357629     -0.00548366     -0.00357629      0.00011921 
      2.8013906     -0.00357629      -0.0047684     -0.00381473     -0.00011921 
      2.8016346     -0.00333787     -0.00464919     -0.00393394     -0.00059605 
      2.8018955     -0.00298025     -0.00524524      -0.0036955    -0.000953682 
      2.8021726     -0.00405314     -0.00631812     -0.00333787     -0.00107289 
      2.8024655     -0.00429156     -0.00631812     -0.00298025    -0.000834469 
      2.8027358     -0.00417235     -0.00584128     -0.00309946               0 
       2.803015     -0.00441077     -0.00572208     -0.00321867      0.00107289 
      2.8033051      -0.0047684     -0.00631812     -0.00262262      0.00143052 
      2.8036507     -0.00464919     -0.00643733      -0.0023842       0.0011921 
      2.8040099     -0.00417235     -0.00643733     -0.00226499     0.000834469 
       2.804382     -0.00345708     -0.00596049      -0.0023842     0.000834469 
      2.8047668     -0.00309946     -0.00560287     -0.00226499     0.000715259 
      2.8051637     -0.00417235     -0.00596049     -0.00131131     0.000834469 
      2.8055227     -0.00429156     -0.00619891     -0.00178815     0.000834469 
      2.8059414     -0.00417235     -0.00655654     -0.00202657      0.00059605 
      2.8063155     -0.00441077     -0.00667575     -0.00298025     -0.00011921 
      2.8067012     -0.00429156     -0.00691417     -0.00357629     -0.00011921 
      2.8070915     -0.00381473     -0.00631812     -0.00321867     -0.00035763 
      2.8075484     -0.00357629     -0.00596049     -0.00202657    -0.000834469 
      2.8080151     -0.00333787     -0.00619891     -0.00131131    -0.000953682 
      2.8084913      -0.0036955      -0.0060797     -0.00107289    -0.000715259 
      2.8089765      -0.0036955      -0.0060797     -0.00226499    -0.000476841 
      2.8094706     -0.00381473     -0.00643733     -0.00262262     -0.00035763 
      2.8099732     -0.00441077     -0.00691417      -0.0023842    -0.000476841 
       2.810484     -0.00464919      -0.0072718      -0.0023842    -0.000476841 
      2.8110028      -0.0047684      -0.0072718     -0.00274183               0 
      2.8115293     -0.00464919     -0.00703338     -0.00262262      0.00023842 
      2.8120632     -0.00441077     -0.00679496     -0.00250341      0.00011921 
      2.8126043     -0.00393394     -0.00631812     -0.00274183     -0.00023842 
      2.8131524     -0.00321867     -0.00584128     -0.00333787     -0.00035763 
      2.8137072     -0.00250341     -0.00572208     -0.00357629     -0.00011921 
      2.8142685     -0.00298025     -0.00572208     -0.00321867      0.00023842 
       2.814836     -0.00298025     -0.00548366     -0.00309946      0.00035763 
      2.8153359     -0.00357629     -0.00536445     -0.00262262      0.00011921 
       2.815845     -0.00357629     -0.00524524     -0.00250341      0.00011921 
      2.8164288     -0.00333787     -0.00536445     -0.00262262      0.00011921 
      2.8170181     -0.00333787     -0.00536445     -0.00298025      0.00011921 
      2.8176128     -0.00417235     -0.00536445     -0.00309946      0.00035763 
      2.8182126      -0.0047684     -0.00560287     -0.00226499      0.00035763 
      2.8188175     -0.00488761     -0.00584128     -0.00143052      0.00011921 
      2.8193489     -0.00464919     -0.00560287     -0.00154973               0 
      2.8198838      -0.0047684      -0.0060797     -0.00154973     -0.00023842 
      2.8204272     -0.00500682     -0.00643733     -0.00214578               0 
      2.8210488      -0.0047684     -0.00691417     -0.00309946      0.00011921 
      2.8215943      -0.0036955     -0.00655654     -0.00333787     -0.00011921 
      2.8222238     -0.00309946     -0.00643733     -0.00333787     -0.00035763 
      2.8228573     -0.00321867     -0.00715259     -0.00345708     -0.00011921 
      2.8234947     -0.00393394     -0.00715259     -0.00286104      0.00023842 
      2.8240587     -0.00393394     -0.00643733     -0.00298025      0.00035763 
       2.824703     -0.00429156     -0.00619891     -0.00274183      0.00023842 
      2.8253509     -0.00464919     -0.00643733     -0.00226499      0.00023842 
      2.8260021     -0.00393394     -0.00643733     -0.00202657      0.00059605 
      2.8266566     -0.00298025     -0.00631812     -0.00143052     0.000715259 
        2.82723     -0.00274183      -0.0060797    -0.000834469      0.00035763 
      2.8278903     -0.00298025     -0.00596049    -0.000476841     -0.00011921 
      2.8285537     -0.00309946     -0.00548366    -0.000953682      0.00035763 
      2.8292199     -0.00286104     -0.00560287     -0.00178815     0.000834469 
       2.829889     -0.00357629     -0.00560287     -0.00166894      0.00143052 
      2.8305607     -0.00357629     -0.00596049     -0.00154973      0.00131131 
      2.8311486     -0.00298025      -0.0060797     -0.00131131      0.00107289 
      2.8317438     -0.00298025      -0.0060797     -0.00131131     0.000953682 
      2.8323355     -0.00298025     -0.00619891     -0.00166894      0.00107289 
