> Measurement made Thu Jan  4 16:38:55 2024
> Main magnet sweep  5.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00000 T 
> ITC set at    6.000 K, T1:   5.957 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 460.260000 Ohm corresponds to T = 5.558327 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 24.403610 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
6 K  
Original linear polarization
-

>BEGIN
      4.9999874      -0.0110865     -0.00929838     -0.00357629      0.00190736 
      4.9999503      -0.0110865      -0.0100136      -0.0036955      0.00250341 
      4.9998895      -0.0104905      -0.0103713     -0.00309946      0.00274183 
      4.9998057      -0.0100136      -0.0100136     -0.00333787      0.00298025 
      4.9996997      -0.0095368     -0.00989443     -0.00441077      0.00309946 
      4.9995722     -0.00989443     -0.00977522      -0.0047684      0.00309946 
      4.9994441      -0.0109673     -0.00989443     -0.00381473      0.00286104 
      4.9992784      -0.0108481     -0.00941759     -0.00357629      0.00286104 
      4.9991165      -0.0108481     -0.00834471     -0.00345708      0.00298025 
      4.9989416      -0.0101328     -0.00762945     -0.00357629      0.00345708 
      4.9987528     -0.00941759     -0.00751021     -0.00357629      0.00309946 
      4.9985485     -0.00834471     -0.00786787      -0.0036955      0.00262262 
      4.9983329      -0.0082255     -0.00810629     -0.00405314       0.0023842 
      4.9981045     -0.00834471      -0.0082255      -0.0047684       0.0023842 
      4.9978274     -0.00917917      -0.0082255     -0.00500682      0.00250341 
      4.9975345      -0.0095368     -0.00846392     -0.00548366      0.00214578 
      4.9972264     -0.00989443     -0.00786787     -0.00488761      0.00226499 
      4.9969431      -0.0095368     -0.00762945     -0.00429156      0.00226499 
      4.9966078     -0.00905996     -0.00703338      -0.0036955      0.00274183 
      4.9962586     -0.00894075      -0.0072718     -0.00333787      0.00262262 
      4.9958961     -0.00858313     -0.00667575     -0.00381473      0.00214578 
      4.9955207     -0.00751021     -0.00667575      -0.0036955      0.00154973 
      4.9951831     -0.00739101      -0.0072718     -0.00333787      0.00143052 
      4.9948331     -0.00751021     -0.00774866     -0.00333787      0.00154973 
      4.9944244     -0.00715259     -0.00834471     -0.00381473      0.00226499 
      4.9940043     -0.00703338     -0.00810629     -0.00429156      0.00286104 
      4.9936289     -0.00751021     -0.00762945      -0.0036955      0.00309946 
      4.9931886     -0.00739101     -0.00774866     -0.00345708      0.00345708 
      4.9927379     -0.00703338     -0.00751021     -0.00321867      0.00357629 
      4.9923367     -0.00691417     -0.00762945     -0.00417235      0.00357629 
      4.9919245     -0.00667575     -0.00774866      -0.0047684      0.00309946 
      4.9915087     -0.00679496     -0.00798708     -0.00488761      0.00309946 
      4.9910861     -0.00691417     -0.00774866     -0.00500682      0.00286104 
      4.9906528     -0.00667575      -0.0072718     -0.00500682      0.00321867 
      4.9902168     -0.00655654     -0.00751021     -0.00500682       0.0036955 
      4.9897704     -0.00631812     -0.00751021      -0.0047684      0.00357629 
      4.9893219     -0.00548366     -0.00762945     -0.00464919       0.0023842 
      4.9888674     -0.00584128     -0.00762945     -0.00512603      0.00178815 
      4.9884028     -0.00667575     -0.00810629     -0.00500682      0.00202657 
      4.9879368     -0.00703338     -0.00774866      -0.0047684      0.00202657 
      4.9874654     -0.00715259     -0.00774866     -0.00441077      0.00190736 
      4.9869842     -0.00691417     -0.00751021     -0.00429156      0.00178815 
       4.986431     -0.00619891     -0.00703338      -0.0047684      0.00154973 
      4.9858713      -0.0060797     -0.00703338     -0.00429156      0.00202657 
      4.9853781     -0.00631812     -0.00679496     -0.00393394      0.00286104 
      4.9848067     -0.00631812     -0.00703338     -0.00333787       0.0036955 
      4.9842294     -0.00631812      -0.0072718      -0.0036955      0.00357629 
      4.9836463     -0.00560287     -0.00774866     -0.00464919      0.00309946 
      4.9831286     -0.00488761      -0.0082255     -0.00524524      0.00262262 
      4.9826114     -0.00500682     -0.00810629     -0.00512603       0.0023842 
      4.9820135     -0.00524524     -0.00774866     -0.00452998      0.00190736 
      4.9814105     -0.00536445     -0.00751021     -0.00464919      0.00250341 
      4.9808026     -0.00560287     -0.00751021     -0.00488761      0.00274183 
        4.98019     -0.00596049     -0.00715259     -0.00464919       0.0023842 
      4.9795728     -0.00631812     -0.00667575     -0.00488761      0.00262262 
      4.9789512     -0.00596049     -0.00715259     -0.00548366      0.00250341 
      4.9783253     -0.00512603     -0.00739101     -0.00584128      0.00190736 
      4.9777762     -0.00536445     -0.00751021     -0.00488761      0.00190736 
      4.9772189     -0.00548366     -0.00751021     -0.00452998      0.00202657 
      4.9766637     -0.00524524      -0.0072718      -0.0047684      0.00190736 
      4.9760235     -0.00584128     -0.00715259      -0.0047684      0.00190736 
      4.9753797     -0.00655654     -0.00762945     -0.00393394       0.0023842 
      4.9747323     -0.00667575     -0.00762945      -0.0036955      0.00226499 
      4.9741649      -0.0060797     -0.00774866     -0.00381473      0.00226499 
      4.9735899     -0.00596049     -0.00798708     -0.00429156      0.00226499 
      4.9730176     -0.00596049      -0.0072718     -0.00464919      0.00250341 
      4.9723583     -0.00560287     -0.00655654     -0.00536445      0.00262262 
      4.9716961     -0.00536445     -0.00703338     -0.00524524      0.00202657 
      4.9710309     -0.00560287     -0.00762945     -0.00488761      0.00154973 
      4.9703629     -0.00560287     -0.00786787     -0.00464919      0.00178815 
      4.9697728     -0.00560287     -0.00762945     -0.00464919      0.00226499 
       4.969186     -0.00536445     -0.00739101      -0.0047684      0.00262262 
      4.9685108     -0.00488761      -0.0072718     -0.00441077      0.00286104 
