> Measurement made Wed Jan  3 17:46:06 2024
> Main magnet sweep  0.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at   75.000 K, T1:  74.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 200.673000 Ohm corresponds to T = 77.811949 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.816970 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
75 K  
Original linear polarization
-

>BEGIN
   9.563596e-06      0.00178815    -0.000953682     -0.00023842    -0.000834469 
  3.7882309e-05      0.00190736    -0.000476841     -0.00035763    -0.000834469 
   8.491973e-05      0.00226499     -0.00011921     -0.00035763    -0.000953682 
  0.00016019142      0.00250341    -0.000834469     -0.00023842     -0.00107289 
  0.00024419475      0.00190736     -0.00154973     -0.00023842    -0.000953682 
  0.00036091917      0.00059605     -0.00143052     0.000715259     -0.00107289 
  0.00048110546               0     -0.00143052     0.000953682     -0.00131131 
  0.00063689654     -0.00035763     -0.00166894      0.00059605    -0.000953682 
  0.00081247603     -0.00059605     -0.00131131     -0.00023842    -0.000476841 
  0.00098121691      0.00023842    -0.000834469    -0.000476841     -0.00023842 
   0.0011640797     0.000953682     -0.00011921     -0.00059605     -0.00023842 
    0.001390638      0.00143052      0.00011921      0.00011921     -0.00059605 
   0.0016044479      0.00178815      0.00035763       0.0011921    -0.000476841 
   0.0018292391      0.00154973               0      0.00190736    -0.000476841 
   0.0021023803      0.00154973    -0.000476841      0.00202657     -0.00059605 
    0.002353539      0.00202657    -0.000953682     0.000834469     -0.00059605 
   0.0026559747       0.0023842     -0.00131131     -0.00023842     -0.00035763 
   0.0029733144      0.00214578     -0.00154973    -0.000476841     -0.00035763 
   0.0032645072       0.0011921     -0.00131131    -0.000476841     -0.00107289 
   0.0036085356     0.000715259     -0.00107289      0.00011921    -0.000953682 
   0.0039195779     0.000715259     -0.00107289      0.00059605    -0.000476841 
   0.0042885451      0.00035763     -0.00143052      0.00035763    -0.000476841 
   0.0046702002     0.000953682    -0.000715259      0.00023842    -0.000476841 
   0.0050162162      0.00059605     -0.00023842     0.000953682     -0.00059605 
   0.0053681811     0.000834469      0.00011921       0.0011921    -0.000715259 
   0.0057826138      0.00131131      0.00023842      0.00107289     -0.00035763 
   0.0061531319      0.00131131               0     0.000715259     -0.00023842 
   0.0065354111      0.00131131    -0.000476841      0.00059605    -0.000476841 
   0.0069222589      0.00166894     -0.00059605     0.000715259    -0.000715259 
   0.0073168801      0.00178815    -0.000476841      0.00035763    -0.000476841 
   0.0077787043      0.00154973     -0.00023842               0     -0.00035763 
   0.0081930573      0.00143052               0      0.00023842    -0.000476841 
    0.008610758      0.00107289     -0.00035763      0.00059605    -0.000953682 
   0.0090982238      0.00059605    -0.000953682     0.000834469     -0.00107289 
   0.0095344339      0.00023842    -0.000953682      0.00035763     -0.00131131 
   0.0099731598      0.00023842    -0.000834469      0.00023842     -0.00131131 
    0.010418149     0.000715259    -0.000953682       0.0011921    -0.000834469 
    0.010873385      0.00059605    -0.000715259      0.00154973     -0.00035763 
    0.011330413               0    -0.000476841      0.00131131     -0.00035763 
    0.011861572      0.00011921     -0.00023842     0.000715259    -0.000715259 
    0.012330697      0.00011921     -0.00035763      0.00023842    -0.000953682 
    0.012875296     -0.00023842     -0.00107289      0.00011921     -0.00107289 
    0.013426733     -0.00023842     -0.00143052      0.00059605    -0.000834469 
    0.013917472    -0.000476841     -0.00131131     -0.00023842     -0.00035763 
    0.014408652     -0.00143052     -0.00143052     0.000476841     -0.00023842 
    0.014977754     -0.00143052     -0.00107289       0.0011921     -0.00107289 
    0.015483552     -0.00107289     -0.00035763      0.00178815     -0.00166894 
    0.015989217    -0.000953682    -0.000476841      0.00202657     -0.00166894 
    0.016499196     -0.00107289      -0.0011921      0.00190736     -0.00143052 
    0.017018101      -0.0011921     -0.00166894      0.00166894     -0.00143052 
    0.017536374     -0.00154973     -0.00190736      0.00143052    -0.000715259 
    0.018135577     -0.00166894     -0.00202657      0.00131131      0.00011921 
    0.018739799    -0.000953682     -0.00214578      0.00131131     -0.00023842 
    0.019270647               0     -0.00202657      0.00143052    -0.000715259 
     0.01988382    -0.000476841     -0.00143052      0.00190736     -0.00131131 
    0.020501547     -0.00178815    -0.000953682      0.00202657    -0.000834469 
    0.021048793     -0.00286104    -0.000834469      0.00202657    -0.000476841 
    0.021674674     -0.00321867    -0.000834469      0.00190736    -0.000476841 
    0.022304687     -0.00286104     -0.00023842      0.00166894     -0.00107289 
    0.022857321      -0.0023842     -0.00011921      0.00154973     -0.00143052 
      0.0234947     -0.00202657     -0.00107289      0.00202657     -0.00202657 
    0.024058697     -0.00214578     -0.00202657      0.00178815     -0.00202657 
    0.024703018      -0.0023842     -0.00214578      0.00143052     -0.00190736 
    0.025350855     -0.00226499      -0.0023842     0.000953682     -0.00166894 
    0.026002092     -0.00214578     -0.00202657      0.00154973    -0.000953682 
    0.026656615     -0.00190736     -0.00143052      0.00190736    -0.000834469 
    0.027314314     -0.00262262     -0.00131131       0.0023842    -0.000953682 
    0.027975084     -0.00298025     -0.00143052       0.0023842     -0.00131131 
    0.028553702     -0.00226499     -0.00154973      0.00262262     -0.00107289 
    0.029134512     -0.00214578     -0.00131131      0.00274183    -0.000476841 
    0.029803193      -0.0023842     -0.00143052       0.0023842     -0.00023842 
     0.03047458     -0.00274183     -0.00202657      0.00190736      0.00011921 
    0.031148581     -0.00202657      -0.0023842      0.00154973      0.00011921 
     0.03182511     -0.00250341      -0.0023842      0.00131131    -0.000834469 
