> Measurement made Thu Jan  4 10:39:05 2024
> Main magnet sweep  3.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.00000 T 
> ITC set at  275.000 K, T1: 275.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 108.353600 Ohm corresponds to T = 281.161987 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.350410 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
275 K  
Original linear polarization DOwn to zero
-

>BEGIN
      3.0000126      0.00154973     -0.00154973      0.00870234     -0.00786787 
      3.0000497      0.00178815     -0.00143052      0.00905996     -0.00798708 
       3.000102      0.00178815     -0.00143052      0.00917917     -0.00786787 
      3.0001715      0.00214578     -0.00143052      0.00905996     -0.00774866 
       3.000272      0.00202657     -0.00190736      0.00870234     -0.00786787 
      3.0003942      0.00143052     -0.00214578      0.00798708     -0.00774866 
      3.0005373      0.00143052     -0.00202657      0.00739101      -0.0082255 
      3.0006786      0.00166894     -0.00154973      0.00774866     -0.00858313 
       3.000859      0.00154973     -0.00202657      0.00834471     -0.00834471 
      3.0010584      0.00190736     -0.00190736      0.00929838     -0.00751021 
       3.001276      0.00214578     -0.00166894      0.00917917     -0.00703338 
      3.0015115      0.00202657     -0.00143052      0.00834471      -0.0072718 
       3.001764      0.00178815     -0.00107289      0.00810629     -0.00762945 
      3.0020331       0.0011921     -0.00107289      0.00739101     -0.00798708 
      3.0023183       0.0011921     -0.00166894      0.00774866     -0.00798708 
       3.002582      0.00143052     -0.00154973      0.00846392     -0.00703338 
      3.0028548     0.000953682     -0.00107289       0.0082255      -0.0060797 
      3.0031414     0.000953682      -0.0011921      0.00774866     -0.00596049 
      3.0034803     0.000715259     -0.00143052      0.00751021     -0.00631812 
       3.003833      0.00023842     -0.00202657      0.00834471     -0.00691417 
      3.0041988     0.000476841     -0.00202657      0.00810629      -0.0072718 
      3.0045775     0.000715259      -0.0023842      0.00798708     -0.00739101 
      3.0049685       0.0011921     -0.00226499      0.00846392      -0.0072718 
      3.0053192      0.00190736     -0.00154973      0.00917917     -0.00751021 
      3.0056788      0.00178815      -0.0011921      0.00905996     -0.00774866 
      3.0061016      0.00131131    -0.000715259      0.00882155     -0.00751021 
      3.0065354      0.00131131    -0.000834469      0.00917917     -0.00762945 
      3.0069797      0.00154973      -0.0011921      0.00905996     -0.00774866 
      3.0074342      0.00250341     -0.00131131      0.00905996     -0.00762945 
      3.0078985      0.00357629     -0.00107289      0.00917917     -0.00762945 
      3.0083723       0.0036955     -0.00107289      0.00989443     -0.00786787 
      3.0088553      0.00345708     -0.00107289       0.0103713     -0.00739101 
      3.0093472      0.00262262     -0.00143052       0.0095368     -0.00703338 
      3.0098477      0.00178815     -0.00131131      0.00870234     -0.00667575 
      3.0103565      0.00154973     -0.00143052      0.00774866     -0.00715259 
      3.0108734      0.00143052     -0.00190736      0.00762945     -0.00762945 
       3.011398      0.00190736     -0.00274183      0.00834471     -0.00751021 
      3.0119301      0.00202657     -0.00274183      0.00858313     -0.00691417 
      3.0124694      0.00202657     -0.00226499       0.0082255     -0.00691417 
      3.0130158      0.00226499     -0.00202657      0.00798708     -0.00715259 
      3.0135022      0.00202657     -0.00190736      0.00882155     -0.00762945 
      3.0139893      0.00131131     -0.00202657      0.00917917      -0.0082255 
      3.0144812     0.000715259      -0.0023842      0.00834471      -0.0082255 
      3.0149823     0.000715259     -0.00190736      0.00774866     -0.00762945 
      3.0154836      0.00023842     -0.00190736      0.00751021     -0.00751021 
      3.0159939      0.00023842     -0.00250341      0.00774866     -0.00751021 
      3.0165791     0.000715259      -0.0023842      0.00870234     -0.00762945 
      3.0171698      0.00143052     -0.00166894      0.00929838     -0.00762945 
      3.0177659      0.00202657     -0.00154973      0.00929838     -0.00762945 
       3.018367      0.00143052      -0.0011921      0.00977522      -0.0072718 
      3.0188953      0.00107289     -0.00154973      0.00989443     -0.00703338 
      3.0195056       0.0011921     -0.00154973      0.00977522     -0.00667575 
      3.0201205      0.00166894     -0.00107289      0.00917917     -0.00643733 
      3.0207399      0.00178815     -0.00166894      0.00810629     -0.00643733 
      3.0213637      0.00202657     -0.00143052      0.00739101     -0.00691417 
      3.0219917      0.00154973     -0.00166894      0.00751021     -0.00703338 
      3.0225426      0.00178815     -0.00226499      0.00798708     -0.00667575 
      3.0231016      0.00143052     -0.00262262      0.00846392     -0.00691417 
      3.0237405     0.000715259      -0.0023842       0.0082255     -0.00715259 
       3.024383      0.00178815     -0.00214578      0.00798708      -0.0082255 
      3.0249462      0.00250341     -0.00131131      0.00798708     -0.00858313 
       3.025512      0.00250341    -0.000834469      0.00798708     -0.00786787 
      3.0261641      0.00298025    -0.000476841      0.00774866     -0.00751021 
      3.0268194      0.00298025    -0.000834469      0.00739101      -0.0072718 
      3.0273987      0.00262262     -0.00143052      0.00774866     -0.00715259 
      3.0280599       0.0023842     -0.00154973      0.00858313     -0.00715259 
       3.028724      0.00190736      -0.0023842      0.00905996      -0.0072718 
       3.029391      0.00178815     -0.00190736      0.00989443     -0.00798708 
      3.0300607      0.00166894     -0.00131131      0.00977522     -0.00762945 
      3.0306469      0.00154973      -0.0011921      0.00929838     -0.00715259 
      3.0313215      0.00202657     -0.00166894      0.00917917     -0.00786787 
      3.0319173      0.00226499     -0.00190736      0.00929838     -0.00882155 
      3.0325966      0.00190736     -0.00214578      0.00929838     -0.00894075 
      3.0332783      0.00166894     -0.00202657      0.00917917     -0.00846392 
      3.0339622      0.00178815     -0.00166894      0.00870234     -0.00858313 
