> Measurement made Wed Jan 10 15:48:00 2024
> Main magnet sweep  3.00000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.80122 T 
> ITC set at  210.000 K, T1: 210.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 125.332100 Ohm corresponds to T = 210.320340 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.868510 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 3 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
Perp other crystal. 1mm thick
210K
-

>BEGIN
      3.0000084     0.000953682      0.00309946      0.00691417     -0.00774866 
      3.0000331     0.000953682      0.00309946      0.00667575     -0.00786787 
      3.0000676      0.00143052      0.00309946      0.00655654     -0.00739101 
      3.0001138      0.00178815      0.00333787      0.00679496     -0.00667575 
       3.000172      0.00190736      0.00345708      0.00655654     -0.00655654 
      3.0002516      0.00202657      0.00357629      0.00619891     -0.00703338 
      3.0003452      0.00178815      0.00321867      0.00584128     -0.00691417 
      3.0004524      0.00154973      0.00274183      0.00524524     -0.00691417 
      3.0005566      0.00131131       0.0023842      0.00536445     -0.00691417 
      3.0006715      0.00107289       0.0023842      0.00584128     -0.00667575 
      3.0008136      0.00059605      0.00250341       0.0060797     -0.00643733 
      3.0009473     0.000953682      0.00298025      0.00584128     -0.00631812 
      3.0011114       0.0011921      0.00298025      0.00596049     -0.00619891 
      3.0012867       0.0011921      0.00298025      0.00548366      -0.0060797 
      3.0014728     0.000953682      0.00333787      0.00524524      -0.0060797 
      3.0016694      0.00035763      0.00357629      0.00536445     -0.00655654 
       3.001849     -0.00035763      0.00321867      0.00584128     -0.00715259 
      3.0020379      0.00023842      0.00321867      0.00584128      -0.0072718 
      3.0022615     0.000715259      0.00298025      0.00596049      -0.0072718 
      3.0024943      0.00059605      0.00298025       0.0060797     -0.00762945 
      3.0027359     0.000834469      0.00345708      0.00596049      -0.0072718 
      3.0029862     0.000834469       0.0036955      0.00619891     -0.00691417 
      3.0032448     0.000715259      0.00357629      0.00703338     -0.00715259 
      3.0035115      0.00107289      0.00333787       0.0072718      -0.0072718 
      3.0037503       0.0011921      0.00309946      0.00691417      -0.0072718 
      3.0039949      0.00107289      0.00309946      0.00572208     -0.00751021 
      3.0042822     0.000953682      0.00298025      0.00488761     -0.00762945 
      3.0045767      0.00059605      0.00262262      0.00464919     -0.00762945 
      3.0048779      0.00059605      0.00262262      0.00524524      -0.0072718 
      3.0051485     0.000834469      0.00298025      0.00596049     -0.00691417 
       3.005462     0.000834469      0.00298025      0.00631812     -0.00703338 
      3.0057818     0.000953682      0.00274183      0.00679496      -0.0072718 
      3.0061075       0.0011921      0.00262262      0.00691417     -0.00751021 
       3.006439     0.000834469      0.00262262      0.00679496      -0.0072718 
      3.0067327     0.000715259       0.0023842      0.00619891     -0.00679496 
      3.0070333     0.000953682      0.00250341       0.0060797     -0.00667575 
      3.0073352       0.0011921      0.00262262      0.00596049     -0.00691417 
      3.0076862       0.0011921      0.00262262      0.00536445     -0.00691417 
      3.0080421       0.0011921       0.0023842      0.00572208     -0.00715259 
      3.0084029     0.000953682      0.00250341      0.00619891     -0.00751021 
      3.0087683      0.00107289       0.0023842      0.00631812      -0.0072718 
      3.0091381      0.00131131      0.00262262      0.00619891     -0.00667575 
      3.0095123     0.000953682      0.00298025       0.0060797     -0.00655654 
      3.0098907      0.00059605      0.00298025      0.00596049      -0.0072718 
      3.0102731     -0.00023842      0.00262262      0.00584128     -0.00762945 
      3.0106595               0      0.00309946      0.00596049     -0.00762945 
      3.0110496      0.00035763      0.00321867       0.0060797     -0.00751021 
      3.0114434     0.000476841      0.00309946      0.00643733     -0.00691417 
      3.0118407      0.00059605      0.00321867      0.00691417     -0.00703338 
      3.0122415      0.00023842      0.00321867      0.00691417      -0.0072718 
      3.0126455               0      0.00321867      0.00643733     -0.00691417 
      3.0130527     -0.00023842      0.00321867      0.00596049     -0.00643733 
      3.0134631      0.00011921      0.00321867      0.00572208     -0.00703338 
      3.0138764      0.00011921      0.00321867      0.00584128     -0.00751021 
      3.0142926      0.00035763      0.00309946      0.00596049     -0.00774866 
      3.0147116       0.0011921      0.00309946      0.00631812     -0.00715259 
      3.0151332     0.000953682      0.00333787      0.00691417     -0.00643733 
      3.0155575     0.000834469      0.00321867      0.00703338     -0.00619891 
      3.0159843     0.000834469      0.00309946      0.00655654     -0.00619891 
      3.0164136      0.00143052      0.00286104      0.00655654     -0.00643733 
      3.0168452       0.0011921      0.00274183      0.00655654     -0.00655654 
       3.017279     0.000953682      0.00321867      0.00596049     -0.00643733 
      3.0177151     0.000715259      0.00321867      0.00524524     -0.00667575 
      3.0181533      0.00059605      0.00286104      0.00488761     -0.00679496 
      3.0185936     0.000715259      0.00250341      0.00488761     -0.00691417 
      3.0190358     0.000953682      0.00250341      0.00464919     -0.00715259 
        3.01948       0.0011921       0.0023842      0.00464919     -0.00703338 
       3.019926     0.000834469      0.00250341      0.00500682      -0.0072718 
      3.0203738      0.00011921      0.00250341      0.00536445     -0.00762945 
      3.0208234     -0.00023842      0.00286104      0.00596049     -0.00774866 
      3.0212746      0.00023842      0.00309946       0.0060797     -0.00751021 
      3.0217274      0.00023842      0.00321867      0.00619891      -0.0072718 
      3.0221819      0.00035763      0.00321867      0.00631812     -0.00703338 
      3.0226378      0.00059605      0.00321867      0.00584128     -0.00715259 
      3.0230952     0.000715259      0.00357629      0.00596049     -0.00691417 
       3.023554     0.000953682      0.00321867      0.00619891     -0.00715259 
