> Measurement made Mon Jan  8 17:42:54 2024
> Main magnet sweep  6.50000 to  0.00000 Tesla at  8.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  240.000 K, T1: 240.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 117.024600 Ohm corresponds to T = 240.555298 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.709530 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
240 K  
Original linear polarization DOwn to zero
-

>BEGIN
      6.4999833     -0.00524524       0.0100136      -0.0011921      -0.0157357 
      6.4999337     -0.00536445       0.0100136     -0.00131131      -0.0154973 
      6.4998526     -0.00584128       0.0102521      -0.0011921      -0.0149012 
      6.4997408     -0.00619891       0.0108481     -0.00143052      -0.0143052 
      6.4995994     -0.00619891       0.0109673     -0.00214578      -0.0143052 
      6.4994295     -0.00619891       0.0110865     -0.00214578      -0.0145436 
       6.499257      -0.0060797       0.0113249     -0.00143052       -0.014782 
      6.4990656     -0.00584128       0.0112057     -0.00143052      -0.0150204 
      6.4988217     -0.00560287       0.0109673     -0.00154973       -0.014782 
      6.4985527     -0.00512603       0.0107289     -0.00190736      -0.0153781 
      6.4982593     -0.00500682       0.0110865      -0.0023842      -0.0159742 
      6.4979842     -0.00524524       0.0110865      -0.0023842      -0.0160934 
       6.497689     -0.00560287       0.0110865     -0.00226499      -0.0162126 
      6.4973327     -0.00596049       0.0112057     -0.00250341      -0.0160934 
      6.4969549      -0.0060797       0.0113249      -0.0023842      -0.0152589 
      6.4965565     -0.00619891       0.0112057     -0.00154973      -0.0145436 
       6.496138     -0.00560287       0.0110865     -0.00143052      -0.0143052 
      6.4957001     -0.00548366       0.0109673     -0.00143052      -0.0143052 
      6.4952435     -0.00524524       0.0107289     -0.00131131       -0.014782 
      6.4948305     -0.00548366       0.0107289     -0.00131131      -0.0150204 
      6.4944002     -0.00584128       0.0104905     -0.00131131      -0.0152589 
      6.4938952     -0.00572208       0.0110865     -0.00107289      -0.0154973 
      6.4933737     -0.00536445       0.0116826      -0.0011921      -0.0152589 
      6.4928363     -0.00548366       0.0116826     -0.00131131      -0.0152589 
      6.4922835     -0.00584128       0.0112057     -0.00131131      -0.0153781 
      6.4917157     -0.00631812       0.0112057    -0.000953682      -0.0154973 
      6.4911336     -0.00596049       0.0116826     -0.00023842      -0.0153781 
      6.4905375     -0.00548366       0.0116826     -0.00023842      -0.0149012 
       6.489928     -0.00524524       0.0112057     -0.00107289      -0.0149012 
      6.4893055     -0.00512603       0.0113249     -0.00166894      -0.0145436 
      6.4886704     -0.00500682       0.0115634     -0.00214578      -0.0144244 
      6.4880232     -0.00524524       0.0110865     -0.00226499      -0.0149012 
      6.4873641     -0.00560287       0.0104905     -0.00154973      -0.0154973 
      6.4866938     -0.00548366       0.0106097      -0.0011921      -0.0159742 
      6.4860124     -0.00524524       0.0109673      -0.0011921      -0.0154973 
      6.4853204     -0.00548366       0.0113249      -0.0011921      -0.0149012 
      6.4846182     -0.00596049       0.0114442     -0.00143052      -0.0146628 
      6.4839061     -0.00619891       0.0114442     -0.00143052      -0.0151396 
      6.4831843     -0.00619891       0.0114442     -0.00154973      -0.0154973 
      6.4824533     -0.00596049       0.0113249     -0.00154973      -0.0156165 
      6.4817133     -0.00560287       0.0114442     -0.00154973      -0.0153781 
      6.4809647     -0.00560287       0.0114442     -0.00166894      -0.0149012 
      6.4802076     -0.00619891       0.0110865     -0.00166894      -0.0144244 
      6.4794425     -0.00655654       0.0109673     -0.00143052      -0.0143052 
      6.4786696     -0.00643733       0.0110865    -0.000834469      -0.0146628 
      6.4778891     -0.00619891       0.0112057    -0.000476841      -0.0145436 
      6.4771012     -0.00619891       0.0110865    -0.000476841      -0.0145436 
      6.4763063     -0.00596049       0.0110865     -0.00035763      -0.0149012 
      6.4755046     -0.00596049       0.0109673     -0.00059605      -0.0153781 
      6.4746963     -0.00548366       0.0110865    -0.000953682      -0.0149012 
      6.4738816     -0.00548366       0.0112057    -0.000715259      -0.0145436 
      6.4731661     -0.00560287       0.0115634    -0.000834469      -0.0143052 
      6.4723399     -0.00560287        0.011921    -0.000953682      -0.0143052 
       6.471508     -0.00524524       0.0118018     -0.00143052      -0.0143052 
      6.4706705     -0.00536445       0.0114442     -0.00166894      -0.0145436 
      6.4698276      -0.0060797       0.0114442     -0.00166894      -0.0152589 
      6.4689794     -0.00667575        0.011921     -0.00107289      -0.0153781 
      6.4681262     -0.00643733       0.0120402    -0.000715259      -0.0149012 
      6.4672681      -0.0060797       0.0116826    -0.000953682      -0.0149012 
      6.4665159      -0.0060797       0.0114442      -0.0011921      -0.0150204 
      6.4656491     -0.00560287       0.0108481    -0.000953682      -0.0151396 
      6.4647778     -0.00584128       0.0107289    -0.000834469      -0.0151396 
      6.4639022      -0.0060797       0.0109673     -0.00107289       -0.014782 
      6.4630225      -0.0060797       0.0114442    -0.000834469      -0.0144244 
      6.4621388     -0.00548366       0.0116826     -0.00059605      -0.0145436 
      6.4612512     -0.00536445       0.0113249    -0.000476841      -0.0149012 
      6.4603598     -0.00584128       0.0107289    -0.000953682      -0.0152589 
      6.4594649      -0.0060797       0.0102521     -0.00131131      -0.0154973 
      6.4585664     -0.00631812       0.0102521     -0.00166894      -0.0152589 
      6.4576645     -0.00643733       0.0102521     -0.00154973      -0.0152589 
      6.4567594     -0.00643733       0.0103713     -0.00178815      -0.0151396 
      6.4558511     -0.00596049       0.0107289     -0.00214578      -0.0149012 
      6.4549397     -0.00596049       0.0104905     -0.00262262       -0.014782 
