> Measurement made Mon Jan  8 12:01:00 2024
> Main magnet sweep  3.50000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.50000 T 
> ITC set at  280.000 K, T1: 280.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 108.260300 Ohm corresponds to T = 281.666280 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.855430 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
280 K  
Original linear polarization
-

>BEGIN
      3.5000084     0.000715259      0.00262262     -0.00262262     -0.00405314 
      3.5000331      0.00059605      0.00226499     -0.00214578     -0.00381473 
      3.5000737     0.000476841      0.00190736     -0.00202657     -0.00357629 
      3.5001296     0.000953682      0.00202657     -0.00202657     -0.00357629 
      3.5002002       0.0011921      0.00286104      -0.0023842     -0.00429156 
      3.5002852      0.00107289      0.00321867     -0.00214578     -0.00464919 
      3.5003714     0.000834469      0.00298025      -0.0023842     -0.00441077 
       3.500482      0.00178815      0.00286104     -0.00274183     -0.00452998 
       3.500589      0.00309946      0.00274183     -0.00298025     -0.00464919 
      3.5007235      0.00321867       0.0023842     -0.00274183     -0.00405314 
      3.5008701      0.00262262      0.00226499     -0.00274183      -0.0036955 
      3.5010286      0.00178815      0.00190736     -0.00274183     -0.00381473 
      3.5011984      0.00131131      0.00190736     -0.00190736      -0.0036955 
      3.5013792     0.000953682      0.00178815     -0.00154973     -0.00298025 
      3.5015455       0.0011921      0.00190736     -0.00166894     -0.00274183 
      3.5017459      0.00178815      0.00226499     -0.00202657     -0.00309946 
      3.5019563      0.00178815       0.0023842     -0.00202657     -0.00393394 
      3.5021763      0.00154973      0.00286104     -0.00190736     -0.00381473 
      3.5024057     0.000953682      0.00286104     -0.00226499     -0.00405314 
      3.5026441      0.00035763      0.00309946     -0.00214578      -0.0036955 
      3.5028911      0.00023842      0.00321867     -0.00154973     -0.00345708 
      3.5031466     -0.00023842      0.00333787     -0.00166894     -0.00309946 
      3.5034103      0.00023842      0.00345708     -0.00190736     -0.00333787 
      3.5036818     0.000476841      0.00274183      -0.0023842     -0.00393394 
      3.5039609     0.000834469      0.00226499     -0.00262262     -0.00429156 
      3.5042474     0.000715259      0.00214578     -0.00250341     -0.00381473 
       3.504541      0.00107289      0.00178815     -0.00262262      -0.0036955 
      3.5048414       0.0011921      0.00166894     -0.00202657     -0.00405314 
      3.5051485       0.0011921      0.00226499     -0.00131131     -0.00393394 
       3.505462       0.0011921      0.00286104     -0.00154973     -0.00381473 
      3.5058231      0.00154973      0.00298025     -0.00166894     -0.00429156 
      3.5061496      0.00131131      0.00286104     -0.00214578      -0.0047684 
      3.5064819      0.00143052      0.00286104     -0.00202657     -0.00464919 
      3.5068197      0.00178815      0.00286104     -0.00202657     -0.00441077 
       3.507163      0.00190736      0.00250341     -0.00250341     -0.00405314 
      3.5075115      0.00143052      0.00250341     -0.00274183     -0.00345708 
       3.507865      0.00131131      0.00298025     -0.00274183     -0.00321867 
      3.5082234      0.00131131      0.00345708     -0.00286104     -0.00357629 
      3.5085865      0.00107289      0.00381473     -0.00309946      -0.0036955 
      3.5089541       0.0011921      0.00357629     -0.00274183     -0.00381473 
      3.5093262     0.000715259      0.00309946     -0.00214578     -0.00417235 
      3.5097025      0.00059605      0.00298025     -0.00226499     -0.00429156 
       3.510034     0.000953682      0.00298025     -0.00250341     -0.00429156 
      3.5104179      0.00143052      0.00262262     -0.00274183     -0.00393394 
      3.5108057      0.00131131      0.00226499     -0.00298025     -0.00381473 
      3.5111972      0.00154973       0.0023842     -0.00333787     -0.00381473 
      3.5115924      0.00131131      0.00262262     -0.00286104      -0.0036955 
       3.511991      0.00166894      0.00262262     -0.00262262     -0.00345708 
      3.5124447      0.00226499       0.0023842     -0.00226499      -0.0036955 
      3.5128504      0.00154973      0.00214578     -0.00154973     -0.00309946 
      3.5132592     0.000834469      0.00226499     -0.00143052     -0.00321867 
       3.513671      0.00035763       0.0023842     -0.00166894      -0.0036955 
      3.5140858      0.00035763      0.00214578     -0.00202657     -0.00381473 
      3.5145034      0.00023842      0.00214578     -0.00214578     -0.00393394 
      3.5149237      0.00035763      0.00250341     -0.00202657     -0.00417235 
      3.5153468     0.000834469      0.00262262     -0.00154973     -0.00417235 
      3.5157723     0.000834469      0.00250341     -0.00131131      -0.0047684 
      3.5161454     0.000834469      0.00262262     -0.00143052     -0.00512603 
      3.5165756      0.00059605      0.00286104     -0.00190736      -0.0047684 
       3.517008     0.000715259      0.00262262     -0.00226499     -0.00393394 
      3.5173905      0.00107289       0.0023842     -0.00214578     -0.00357629 
      3.5178271     0.000953682       0.0023842     -0.00190736      -0.0036955 
      3.5182658     0.000715259       0.0023842     -0.00214578     -0.00405314 
      3.5187066      0.00059605      0.00250341     -0.00202657     -0.00393394 
      3.5191493      0.00059605      0.00262262     -0.00190736     -0.00393394 
       3.519594      0.00059605      0.00286104     -0.00226499     -0.00417235 
      3.5200405     0.000834469      0.00321867     -0.00262262     -0.00464919 
      3.5205426     0.000715259      0.00286104     -0.00262262     -0.00488761 
      3.5209387     0.000834469      0.00274183     -0.00250341     -0.00405314 
      3.5214447     0.000953682      0.00309946     -0.00250341     -0.00381473 
      3.5218981       0.0011921      0.00333787     -0.00262262     -0.00429156 
      3.5223531      0.00143052      0.00393394     -0.00298025      -0.0047684 
      3.5228096      0.00202657      0.00429156     -0.00262262     -0.00488761 
      3.5232676      0.00202657      0.00429156     -0.00226499     -0.00429156 
      3.5236717      0.00178815      0.00357629     -0.00214578     -0.00381473 
      3.5241322      0.00154973      0.00298025     -0.00178815     -0.00381473 
