> Measurement made Fri Jan  5 14:41:45 2024
> Main magnet sweep  3.50000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.50000 T 
> ITC set at  350.000 K, T1: 350.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 973.669000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.685340 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
350 K  
Original linear polarization
-

>BEGIN
      3.5000084      -0.0011921     -0.00214578      0.00214578      0.00178815 
      3.5000331     -0.00190736     -0.00226499      0.00226499      0.00214578 
      3.5000676     -0.00166894     -0.00214578      0.00202657       0.0023842 
      3.5001143     -0.00107289     -0.00226499      0.00131131      0.00226499 
      3.5001814    -0.000715259     -0.00166894      0.00035763      0.00226499 
      3.5002628     -0.00035763     -0.00107289               0      0.00214578 
      3.5003582    -0.000715259     -0.00154973      0.00023842      0.00178815 
      3.5004671     -0.00131131     -0.00154973      0.00023842      0.00143052 
       3.500589    -0.000715259     -0.00166894      0.00023842      0.00190736 
      3.5007235    -0.000476841     -0.00166894      0.00035763      0.00178815 
      3.5008701    -0.000834469     -0.00143052     0.000715259      0.00143052 
      3.5010286    -0.000476841     -0.00154973      0.00035763      0.00131131 
      3.5011984     -0.00059605     -0.00202657      0.00011921      0.00143052 
      3.5013792    -0.000834469     -0.00190736     -0.00011921      0.00131131 
      3.5015706     -0.00023842     -0.00190736      0.00035763      0.00131131 
      3.5017723     0.000834469     -0.00190736     0.000953682      0.00178815 
      3.5019563     0.000834469     -0.00178815      0.00107289      0.00226499 
      3.5021763     0.000715259     -0.00131131     0.000953682      0.00262262 
      3.5024057      0.00023842     -0.00131131     0.000834469      0.00226499 
      3.5026441     -0.00035763     -0.00154973      0.00059605      0.00131131 
      3.5029234     -0.00059605     -0.00190736      0.00011921      0.00107289 
      3.5031799     -0.00107289     -0.00190736    -0.000476841      0.00143052 
      3.5034103     -0.00143052     -0.00166894     -0.00035763      0.00178815 
      3.5036818     -0.00154973     -0.00190736      0.00035763      0.00202657 
      3.5039248     -0.00107289     -0.00214578     0.000715259      0.00214578 
      3.5041757    -0.000834469      -0.0023842     0.000953682      0.00202657 
      3.5044675    -0.000953682     -0.00202657      0.00035763      0.00190736 
      3.5047663     -0.00107289     -0.00190736      0.00023842       0.0023842 
      3.5050323    -0.000953682     -0.00190736       0.0011921      0.00262262 
      3.5053434    -0.000834469     -0.00190736      0.00143052      0.00274183 
      3.5056199    -0.000834469     -0.00166894      0.00107289       0.0023842 
      3.5059426    -0.000476841     -0.00107289      0.00011921      0.00202657 
      3.5062712    -0.000715259     -0.00131131     -0.00035763      0.00154973 
      3.5066056    -0.000953682     -0.00154973      0.00011921      0.00131131 
      3.5069454    -0.000834469     -0.00190736               0      0.00143052 
      3.5072489     -0.00131131     -0.00190736               0      0.00202657 
      3.5075987    -0.000953682     -0.00166894               0       0.0023842 
      3.5079534     -0.00035763     -0.00178815      0.00035763      0.00214578 
       3.508313      -0.0011921     -0.00202657               0      0.00143052 
      3.5087212     -0.00190736     -0.00190736     -0.00023842      0.00143052 
       3.509046     -0.00202657     -0.00190736      0.00023842      0.00154973 
      3.5094191     -0.00166894     -0.00166894      0.00011921      0.00202657 
      3.5097965     -0.00190736     -0.00202657      0.00023842      0.00131131 
      3.5101779     -0.00154973     -0.00202657      0.00035763     0.000953682 
      3.5105633     -0.00107289     -0.00214578     -0.00011921     0.000834469 
      3.5109525     -0.00154973     -0.00262262     -0.00035763      0.00154973 
      3.5113454     -0.00166894     -0.00226499     -0.00011921      0.00190736 
      3.5116909     -0.00131131      -0.0023842      0.00035763      0.00202657 
      3.5120423      -0.0011921      -0.0023842      0.00131131      0.00262262 
      3.5124447     -0.00107289      -0.0023842      0.00190736      0.00309946 
      3.5128504    -0.000715259     -0.00250341      0.00190736      0.00333787 
      3.5132067      -0.0011921      -0.0023842      0.00154973      0.00286104 
      3.5136181     -0.00131131     -0.00190736      0.00131131      0.00250341 
      3.5140325     -0.00166894      -0.0023842      0.00190736      0.00262262 
      3.5144498     -0.00131131     -0.00274183      0.00214578      0.00202657 
      3.5148159    -0.000834469     -0.00286104      0.00178815      0.00190736 
      3.5152382    -0.000476841      -0.0023842      0.00131131      0.00190736 
      3.5156631     -0.00035763     -0.00262262     0.000953682      0.00178815 
      3.5160391    -0.000476841     -0.00298025      0.00131131      0.00178815 
      3.5164136     -0.00107289     -0.00309946      0.00190736      0.00166894 
      3.5168452     -0.00131131     -0.00274183      0.00202657      0.00154973 
       3.517279     -0.00166894     -0.00250341      0.00178815      0.00166894 
      3.5177151     -0.00143052     -0.00214578     0.000715259     0.000834469 
      3.5181533    -0.000715259     -0.00166894     -0.00035763      0.00059605 
      3.5185936     -0.00023842     -0.00202657               0      0.00131131 
      3.5190358     -0.00059605     -0.00202657     -0.00023842      0.00154973 
       3.519423     -0.00107289     -0.00143052     -0.00035763      0.00178815 
      3.5198688     -0.00107289     -0.00154973               0      0.00226499 
      3.5202626     -0.00143052     -0.00202657      0.00035763      0.00321867 
      3.5207117     -0.00154973      -0.0023842      0.00035763      0.00321867 
      3.5211625     -0.00154973     -0.00202657     -0.00023842      0.00226499 
       3.521615     -0.00143052     -0.00190736    -0.000953682       0.0011921 
       3.522069     -0.00143052     -0.00166894    -0.000953682      0.00107289 
      3.5225246     -0.00214578     -0.00250341     -0.00023842       0.0011921 
      3.5229816     -0.00190736     -0.00262262     0.000834469      0.00190736 
      3.5234401     -0.00107289     -0.00214578     0.000834469      0.00178815 
