> Measurement made Mon Dec 11 14:06:29 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  9.00122 T 
> ITC set at  240.000 K, T1: 240.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.672000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase -179.490000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -0.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.922580 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
240K

>BEGIN
      10.000006     -0.00143052     -0.00202657      0.00762945      -0.0082255 
      10.000025     -0.00143052     -0.00178815      0.00774866      -0.0082255 
      10.000057     -0.00154973     -0.00143052      0.00762945     -0.00846392 
        10.0001     -0.00202657    -0.000953682       0.0072718     -0.00882155 
      10.000154      -0.0023842    -0.000715259      0.00679496     -0.00917917 
      10.000231     -0.00214578    -0.000834469       0.0060797     -0.00941759 
      10.000321     -0.00166894     -0.00131131      0.00512603      -0.0095368 
      10.000425     -0.00131131     -0.00166894      0.00464919     -0.00941759 
      10.000542    -0.000953682     -0.00190736      0.00417235     -0.00894075 
      10.000671    -0.000834469      -0.0023842      0.00405314     -0.00834471 
      10.000814    -0.000715259     -0.00274183      0.00429156      -0.0082255 
      10.000968    -0.000715259     -0.00321867      0.00488761     -0.00846392 
      10.001133    -0.000834469      -0.0036955      0.00572208     -0.00894075 
      10.001287    -0.000834469      -0.0036955      0.00631812     -0.00917917 
      10.001473     -0.00035763     -0.00381473      0.00679496     -0.00894075 
      10.001644     -0.00011921     -0.00345708      0.00703338     -0.00858313 
      10.001849     -0.00023842     -0.00309946      0.00715259      -0.0082255 
      10.002064    -0.000834469     -0.00262262      0.00715259     -0.00786787 
      10.002289     -0.00154973     -0.00202657      0.00703338     -0.00786787 
      10.002494     -0.00214578     -0.00143052      0.00655654     -0.00774866 
      10.002705     -0.00250341     -0.00107289      0.00619891     -0.00751021 
      10.002923     -0.00274183    -0.000834469      0.00572208     -0.00715259 
       10.00318     -0.00262262    -0.000715259      0.00548366     -0.00679496 
