> Measurement made Mon Dec 11 13:03:01 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at    0.000 K, T1: 285.600 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 219.826900 Ohm corresponds to T = 61.613419 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39330.000000 Hz, Phase -179.490000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39330.100000 Hz, Phase -0.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.686170 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz
-
-
-

>BEGIN
      10.000008     -0.00405314      0.00596049      0.00619891        0.014782 
      10.000033     -0.00023842      0.00858313      0.00715259       0.0171663 
      10.000074     -0.00452998      0.00214578       0.0104905       0.0214578 
       10.00013     -0.00977522     -0.00166894       0.0107289       0.0176431 
        10.0002      -0.0112057     -0.00286104      0.00762945       0.0114442 
      10.000285     -0.00905996     -0.00452998      0.00309946      0.00715259 
      10.000384     -0.00977522     -0.00548366       0.0011921      0.00429156 
      10.000496      -0.0100136     -0.00309946     0.000715259      0.00429156 
      10.000621      -0.0112057     -0.00309946     0.000476841      0.00357629 
      10.000759      -0.0102521     -0.00381473    -0.000953682      0.00548366 
      10.000908     -0.00834471     -0.00357629      0.00214578      0.00572208 
       10.00107     -0.00548366     -0.00166894      0.00286104      0.00286104 
      10.001242     -0.00381473     -0.00143052       0.0011921      0.00143052 
      10.001426     -0.00524524     -0.00405314      0.00143052       0.0023842 
       10.00162     -0.00667575     -0.00381473      0.00262262       0.0023842 
      10.001824     -0.00905996     -0.00333787     0.000476841      0.00309946 
      10.002038       -0.011921     -0.00596049     -0.00357629      0.00643733 
      10.002261      -0.0112057     -0.00524524     -0.00405314       0.0095368 
      10.002494     -0.00762945     -0.00381473      -0.0047684       0.0100136 
      10.002736      -0.0047684      -0.0047684      -0.0023842      0.00882155 
      10.002986     -0.00381473     -0.00333787     0.000953682       0.0116826 
      10.003245     -0.00500682      -0.0023842      0.00286104       0.0104905 
      10.003511     -0.00500682     -0.00166894     0.000715259      0.00762945 
