> Measurement made Tue Dec 12 10:43:15 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at    5.000 K, T1:   4.961 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 22.621000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.054140 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
5K

>BEGIN
      10.000006      -0.0519755      0.00059605     0.000715259      0.00035763 
      10.000025      -0.0516179      0.00059605      0.00035763               0 
      10.000057      -0.0513794      0.00011921      0.00011921    -0.000476841 
        10.0001      -0.0509026     -0.00035763     -0.00023842    -0.000834469 
      10.000154      -0.0504258    -0.000953682    -0.000476841    -0.000953682 
       10.00022      -0.0498297     -0.00154973     -0.00059605    -0.000953682 
      10.000296      -0.0493529     -0.00202657    -0.000715259    -0.000953682 
      10.000384       -0.048876     -0.00250341    -0.000834469    -0.000715259 
      10.000481      -0.0486376     -0.00298025    -0.000953682     -0.00023842 
      10.000588       -0.048876     -0.00333787     -0.00107289      0.00023842 
      10.000706      -0.0491145      -0.0036955     -0.00131131     0.000834469 
      10.000831      -0.0493529     -0.00381473     -0.00154973      0.00131131 
      10.000966      -0.0494721     -0.00381473     -0.00190736      0.00202657 
      10.001111      -0.0497105      -0.0036955     -0.00214578      0.00250341 
      10.001287      -0.0498297     -0.00333787     -0.00250341      0.00309946 
      10.001448      -0.0498297     -0.00309946     -0.00262262      0.00357629 
      10.001644      -0.0498297     -0.00274183     -0.00262262      0.00393394 
      10.001824      -0.0497105     -0.00250341     -0.00250341      0.00429156 
       10.00201      -0.0494721      -0.0023842     -0.00250341      0.00429156 
      10.002203      -0.0494721     -0.00214578     -0.00250341      0.00417235 
      10.002406      -0.0499489     -0.00202657      -0.0023842      0.00405314 
      10.002613      -0.0506642     -0.00202657      -0.0023842      0.00405314 
      10.002827      -0.0516179     -0.00202657     -0.00250341      0.00393394 
