> Measurement made Tue Dec 12 22:40:27 2023
> Main magnet sweep  8.00000 to 10.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at    5.000 K, T1:   5.048 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 23.017000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.707740 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
5 K

>BEGIN
      8.0000064       0.0127555      -0.0139475     -0.00011921     -0.00202657 
      8.0000255       0.0129939      -0.0144244     -0.00035763     -0.00154973 
      8.0000566       0.0132323      -0.0144244    -0.000834469    -0.000953682 
      8.0000995       0.0132323      -0.0138283      -0.0011921     -0.00035763 
      8.0001544       0.0131131      -0.0131131     -0.00131131     -0.00011921 
        8.00022       0.0126362      -0.0122786     -0.00131131     -0.00011921 
      8.0002963       0.0122786      -0.0114442      -0.0011921    -0.000476841 
       8.000384       0.0120402      -0.0109673    -0.000953682     -0.00107289 
       8.000481        0.011921      -0.0104905    -0.000715259     -0.00202657 
       8.000589        0.011921      -0.0103713     -0.00023842     -0.00274183 
      8.0007056        0.011921      -0.0102521      0.00023842     -0.00357629 
      8.0008315       0.0118018      -0.0106097     0.000715259     -0.00393394 
      8.0009869        0.011921      -0.0113249     0.000953682     -0.00441077 
      8.0011332       0.0120402      -0.0120402      0.00143052     -0.00536445 
      8.0012867        0.011921      -0.0120402      0.00202657     -0.00619891 
      8.0014484       0.0115634      -0.0114442       0.0023842     -0.00667575 
      8.0016197       0.0112057      -0.0103713      0.00286104     -0.00715259 
      8.0017972       0.0109673     -0.00941759      0.00345708     -0.00762945 
      8.0019839       0.0108481     -0.00894075      0.00381473     -0.00762945 
      8.0021763       0.0107289     -0.00894075       0.0036955      -0.0072718 
      8.0023758       0.0107289     -0.00941759      0.00321867     -0.00762945 
      8.0025841       0.0108481      -0.0101328      0.00286104     -0.00858313 
      8.0027972       0.0107289      -0.0104905      0.00262262     -0.00941759 
      8.0030168       0.0107289      -0.0109673      0.00250341     -0.00989443 
      8.0032448       0.0104905      -0.0112057      0.00214578      -0.0095368 
      8.0034769       0.0104905      -0.0115634      0.00154973     -0.00882155 
      8.0037171       0.0107289      -0.0120402      0.00131131     -0.00774866 
      8.0039609       0.0109673       -0.012517       0.0011921     -0.00655654 
      8.0042103       0.0112057      -0.0131131       0.0011921     -0.00512603 
      8.0044675       0.0116826      -0.0144244      0.00131131     -0.00357629 
      8.0047277       0.0126362      -0.0160934      0.00131131     -0.00214578 
      8.0049929       0.0137091      -0.0176431       0.0011921    -0.000834469 
      8.0052657       0.0143052      -0.0184776     0.000953682      0.00011921 
      8.0055408       0.0146628      -0.0189544     0.000834469     0.000476841 
      8.0058231       0.0146628       -0.019312     0.000834469               0 
      8.0061075       0.0146628      -0.0200273     0.000715259    -0.000953682 
      8.0063963       0.0145436      -0.0203849     0.000834469     -0.00202657 
      8.0066921       0.0143052      -0.0201465     0.000953682     -0.00262262 
      8.0069893       0.0139475      -0.0190736       0.0011921     -0.00274183 
      8.0072906       0.0137091      -0.0175239      0.00143052     -0.00262262 
      8.0075987       0.0134707      -0.0159742      0.00154973     -0.00214578 
      8.0079077       0.0132323      -0.0149012      0.00178815     -0.00166894 
      8.0082234       0.0132323       -0.014186      0.00202657     -0.00166894 
      8.0085397       0.0133515      -0.0137091       0.0023842     -0.00214578 
      8.0088596       0.0134707      -0.0132323      0.00262262     -0.00274183 
      8.0091858       0.0137091       -0.012517      0.00262262     -0.00298025 
      8.0095123        0.014186      -0.0122786      0.00250341     -0.00321867 
       8.009842       0.0144244      -0.0123978      0.00250341     -0.00393394 
      8.0101779       0.0144244      -0.0128747      0.00274183     -0.00488761 
      8.0105138       0.0144244      -0.0132323      0.00309946     -0.00619891 
      8.0108556        0.014186      -0.0137091      0.00333787     -0.00703338 
      8.0111972       0.0140668      -0.0143052      0.00345708     -0.00774866 
      8.0115416       0.0139475      -0.0150204      0.00357629      -0.0082255 
      8.0118918       0.0138283      -0.0149012      0.00357629     -0.00834471 
      8.0122415       0.0135899      -0.0143052      0.00333787     -0.00798708 
      8.0125936       0.0132323      -0.0132323      0.00298025      -0.0072718 
      8.0129515       0.0127555      -0.0118018      0.00274183     -0.00667575 
      8.0133084       0.0123978      -0.0104905      0.00250341     -0.00584128 
      8.0137206       0.0123978     -0.00894075       0.0023842     -0.00488761 
      8.0140858       0.0122786      -0.0072718       0.0023842     -0.00405314 
      8.0144498       0.0122786     -0.00655654      0.00298025     -0.00417235 
      8.0148159       0.0120402     -0.00560287      0.00357629     -0.00441077 
      8.0151874       0.0118018     -0.00452998      0.00405314     -0.00488761 
      8.0155575       0.0115634      -0.0036955      0.00441077     -0.00512603 
      8.0159296       0.0114442     -0.00321867       0.0047684     -0.00524524 
      8.0163069       0.0109673     -0.00286104      0.00488761     -0.00512603 
      8.0166826       0.0103713     -0.00262262      0.00464919     -0.00464919 
      8.0170636       0.0100136     -0.00250341      0.00417235     -0.00441077 
      8.0174985      0.00965601      -0.0023842      0.00381473     -0.00429156 
      8.0178796      0.00965601     -0.00274183      0.00345708      -0.0036955 
      8.0182623      0.00989443     -0.00321867      0.00321867     -0.00321867 
      8.0186501       0.0102521     -0.00357629      0.00321867     -0.00357629 
      8.0190358       0.0103713      -0.0036955      0.00321867     -0.00405314 
       8.019423       0.0101328     -0.00309946      0.00345708     -0.00464919 
      8.0198152      0.00941759     -0.00190736      0.00345708     -0.00452998 
      8.0202052      0.00858313    -0.000715259      0.00298025      -0.0036955 
      8.0206002      0.00798708               0       0.0023842      -0.0023842 
      8.0209928      0.00798708     -0.00011921      0.00154973      -0.0011921 
      8.0213867      0.00858313    -0.000953682       0.0011921    -0.000834469 
      8.0217855      0.00941759     -0.00226499      0.00107289     -0.00131131 
      8.0221819       0.0102521     -0.00321867      0.00107289     -0.00154973 
      8.0225794       0.0108481     -0.00405314      0.00131131     -0.00178815 
      8.0229816       0.0110865      -0.0047684      0.00166894     -0.00202657 
      8.0233813       0.0113249     -0.00500682      0.00202657     -0.00202657 
      8.0237858       0.0114442     -0.00524524       0.0023842     -0.00154973 
      8.0241876       0.0116826     -0.00584128      0.00262262    -0.000715259 
      8.0245904       0.0120402     -0.00619891      0.00262262      0.00035763 
      8.0249978       0.0122786     -0.00691417       0.0023842      0.00178815 
      8.0254025       0.0126362     -0.00786787      0.00202657      0.00262262 
      8.0258082       0.0129939     -0.00894075      0.00154973      0.00345708 
      8.0262184       0.0133515     -0.00989443      0.00143052      0.00333787 
      8.0266257       0.0133515      -0.0103713      0.00131131      0.00262262 
      8.0270377       0.0133515      -0.0103713       0.0011921      0.00190736 
      8.0274467       0.0133515      -0.0103713      0.00131131     0.000953682 
      8.0278565       0.0133515      -0.0106097      0.00131131      0.00059605 
