> Measurement made Tue Dec 12 19:41:20 2023
> Main magnet sweep  8.20000 to 10.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.20000 T 
> ITC set at   60.000 K, T1:  60.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -10.517000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 24.436880 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
60 K

>BEGIN
      8.2000064       0.0146628       0.0120402       0.0168086      0.00989443 
      8.2000253       0.0110865       0.0115634       0.0144244      0.00965601 
      8.2000566      0.00751021       0.0110865       0.0122786      0.00929838 
      8.2000995      0.00321867       0.0103713      0.00965601      0.00894075 
      8.2001544      0.00023842       0.0100136      0.00703338      0.00846392 
        8.20022     -0.00131131      0.00989443      0.00572208      0.00774866 
      8.2002963     -0.00226499      0.00977522      0.00500682       0.0072718 
      8.2003967     -0.00274183      0.00977522      0.00226499      0.00643733 
      8.2004961     -0.00357629      0.00989443     -0.00131131      0.00584128 
      8.2006045     -0.00381473       0.0102521     -0.00536445      0.00536445 
      8.2007404     -0.00417235       0.0104905      -0.0095368      0.00500682 
      8.2008689     -0.00464919       0.0107289      -0.0131131      0.00488761 
      8.2010076     -0.00405314       0.0109673      -0.0157357      0.00464919 
       8.201176     -0.00226499       0.0113249      -0.0180007      0.00452998 
      8.2013319     -0.00011921       0.0114442      -0.0177623      0.00441077 
      8.2014974       0.0011921       0.0113249      -0.0154973      0.00452998 
      8.2016694     0.000953682       0.0107289      -0.0132323      0.00464919 
       8.201849      0.00011921       0.0100136      -0.0113249      0.00464919 
      8.2020379     -0.00035763      0.00929838     -0.00882155       0.0047684 
      8.2022324     -0.00250341      0.00858313     -0.00452998      0.00524524 
      8.2024338     -0.00560287      0.00846392     -0.00035763      0.00572208 
      8.2026441     -0.00834471      0.00870234      0.00250341      0.00584128 
       8.202859      -0.0109673      0.00882155      0.00393394      0.00596049 
      8.2030825      -0.0131131      0.00905996      0.00321867      0.00584128 
      8.2033102      -0.0131131      0.00941759     0.000953682      0.00572208 
       8.203544      -0.0113249      0.00941759      -0.0023842      0.00512603 
      8.2037859     -0.00917917      0.00929838     -0.00524524       0.0047684 
      8.2040313     -0.00703338      0.00929838     -0.00596049       0.0047684 
      8.2042822      -0.0036955      0.00965601     -0.00596049      0.00464919 
      8.2045767    -0.000476841      0.00977522     -0.00572208      0.00464919 
      8.2048779      0.00166894      0.00977522     -0.00488761      0.00488761 
      8.2051485      0.00321867      0.00977522     -0.00464919      0.00512603 
      8.2054216       0.0047684      0.00989443     -0.00452998      0.00536445 
      8.2057019      0.00619891       0.0102521     -0.00417235      0.00560287 
      8.2059843      0.00715259       0.0107289     -0.00429156      0.00560287 
      8.2062712      0.00751021       0.0109673     -0.00512603      0.00548366 
      8.2065652       0.0072718       0.0112057      -0.0060797      0.00536445 
      8.2068606      0.00691417       0.0112057     -0.00631812      0.00512603 
      8.2071602      0.00751021       0.0112057     -0.00703338      0.00500682 
      8.2074666      0.00905996       0.0112057     -0.00774866       0.0047684 
      8.2078194       0.0107289       0.0113249     -0.00786787      0.00488761 
      8.2081311       0.0121594       0.0114442     -0.00643733      0.00536445 
      8.2084494       0.0123978       0.0115634      -0.0036955      0.00584128 
      8.2088153       0.0107289       0.0114442     -0.00166894      0.00572208 
      8.2091858      0.00703338       0.0109673     -0.00131131      0.00524524 
      8.2095605      0.00262262       0.0104905     -0.00190736      0.00500682 
      8.2098907      -0.0023842      0.00977522     -0.00274183       0.0047684 
       8.210224     -0.00631812      0.00905996     -0.00381473      0.00452998 
      8.2105633     -0.00882155      0.00846392     -0.00393394      0.00464919 
      8.2109025     -0.00846392      0.00834471     -0.00333787      0.00500682 
      8.2112445     -0.00643733       0.0082255     -0.00286104      0.00512603 
      8.2115924      -0.0047684      0.00798708      -0.0036955      0.00512603 
      8.2119398     -0.00357629      0.00798708     -0.00512603      0.00488761 
       8.212293     -0.00154973      0.00834471      -0.0060797      0.00488761 
      8.2126455      0.00107289      0.00882155     -0.00739101      0.00500682 
      8.2130004      0.00286104      0.00929838     -0.00917917      0.00500682 
       8.213361      0.00345708       0.0100136      -0.0115634       0.0047684 
      8.2137206      0.00381473       0.0108481      -0.0143052      0.00452998 
      8.2140825      0.00417235       0.0115634      -0.0149012      0.00464919 
      8.2144498      0.00429156       0.0121594       -0.014782      0.00464919 
      8.2148159      0.00357629        0.012517       -0.014782       0.0047684 
      8.2151874      0.00250341       0.0126362      -0.0145436      0.00488761 
      8.2155575      0.00202657       0.0127555      -0.0131131      0.00536445 
      8.2159296      0.00190736       0.0129939      -0.0107289      0.00619891 
      8.2163069      0.00178815       0.0131131      -0.0082255      0.00703338 
      8.2166826      0.00309946       0.0128747     -0.00619891      0.00762945 
      8.2170601      0.00548366       0.0126362     -0.00417235      0.00810629 
      8.2174427      0.00751021       0.0123978      -0.0023842      0.00846392 
      8.2178236      0.00846392       0.0120402     -0.00202657      0.00846392 
      8.2182623      0.00751021       0.0114442     -0.00405314      0.00786787 
      8.2186501      0.00500682       0.0110865     -0.00870234      0.00655654 
      8.2190358      0.00357629       0.0114442       -0.012517      0.00560287 
       8.219423      0.00262262       0.0123978      -0.0156165      0.00488761 
      8.2198152      0.00286104       0.0132323      -0.0174047      0.00464919 
      8.2202052      0.00309946       0.0139475      -0.0177623      0.00464919 
      8.2205966      0.00286104       0.0143052      -0.0171663      0.00488761 
      8.2209928      0.00309946       0.0146628      -0.0159742      0.00524524 
      8.2213867       0.0036955       0.0146628      -0.0143052      0.00536445 
      8.2217855      0.00345708       0.0145436      -0.0131131      0.00548366 
      8.2221819      0.00357629        0.014186      -0.0137091      0.00596049 
      8.2225794      0.00357629       0.0132323      -0.0162126      0.00631812 
      8.2229816      0.00452998        0.011921      -0.0190736      0.00619891 
      8.2233813      0.00643733       0.0104905      -0.0199081      0.00584128 
      8.2237821      0.00703338      0.00965601      -0.0185968      0.00536445 
      8.2241876      0.00655654      0.00905996       -0.017047      0.00500682 
      8.2245904      0.00560287      0.00870234      -0.0149012      0.00488761 
      8.2249978      0.00345708       0.0082255      -0.0131131      0.00500682 
      8.2254025      0.00011921      0.00774866      -0.0121594      0.00500682 
      8.2258082     -0.00298025      0.00739101      -0.0112057      0.00488761 
      8.2262184     -0.00584128      0.00715259      -0.0104905      0.00488761 
      8.2266257     -0.00846392      0.00715259     -0.00941759      0.00488761 
      8.2270339      -0.0112057      0.00691417     -0.00810629      0.00500682 
      8.2274467      -0.0132323      0.00655654     -0.00786787      0.00488761 
      8.2279167      -0.0137091      0.00643733     -0.00894075       0.0047684 
      8.2283273      -0.0127555      0.00655654      -0.0114442      0.00464919 
      8.2287425      -0.0118018      0.00679496      -0.0138283      0.00452998 
