> Measurement made Mon Dec 11 21:59:06 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at   80.000 K, T1:  79.980 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 29.927000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.785240 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
80K

>BEGIN
      10.000006      -0.0108481     -0.00941759      0.00452998     -0.00536445 
      10.000025      -0.0103713     -0.00858313      0.00429156     -0.00536445 
      10.000057      -0.0100136      -0.0072718      0.00417235     -0.00548366 
        10.0001     -0.00989443     -0.00643733      0.00429156     -0.00596049 
      10.000154     -0.00977522     -0.00596049      0.00452998     -0.00631812 
       10.00022     -0.00977522     -0.00560287      0.00464919     -0.00619891 
      10.000296     -0.00989443     -0.00548366      0.00512603     -0.00536445 
      10.000384      -0.0101328     -0.00584128      0.00596049     -0.00333787 
      10.000481      -0.0102521     -0.00596049      0.00655654     -0.00166894 
      10.000589      -0.0100136     -0.00584128      0.00691417     -0.00023842 
      10.000706     -0.00977522     -0.00584128      0.00703338      0.00107289 
      10.000831     -0.00929838     -0.00584128      0.00679496      0.00214578 
      10.000987     -0.00894075      -0.0060797      0.00667575      0.00333787 
      10.001133     -0.00894075     -0.00655654      0.00667575      0.00405314 
      10.001287     -0.00929838     -0.00774866      0.00655654      0.00429156 
      10.001473     -0.00989443     -0.00905996      0.00655654      0.00452998 
      10.001644      -0.0104905     -0.00989443      0.00655654      0.00488761 
      10.001824      -0.0110865      -0.0100136      0.00679496      0.00524524 
       10.00201      -0.0115634     -0.00977522      0.00655654      0.00464919 
      10.002205       -0.011921     -0.00941759      0.00631812      0.00357629 
      10.002406      -0.0121594     -0.00894075      0.00596049       0.0023842 
      10.002613      -0.0122786     -0.00846392      0.00584128      0.00154973 
      10.002829      -0.0121594     -0.00762945      0.00584128      0.00059605 
