> Measurement made Thu Feb 22 22:25:26 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  150.000 K, T1: 150.000 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.344340 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
150K
>BEGIN
      6.0000737     -0.00208618      0.00298025      0.00298025      0.00154973 
      6.0001814     -0.00262262       0.0036955      0.00387433      0.00190736 
      6.0003207     -0.00327827      0.00321867      0.00435117      0.00154973 
      6.0006541      -0.0023246      0.00345708       0.0047684      0.00262262 
      6.0008885      -0.0024438      0.00309946       0.0036359      0.00226499 
       6.001176     -0.00333787      0.00309946      0.00315906      0.00166894 
      6.0014974     -0.00381473      0.00321867      0.00298025      0.00286104 
      6.0018239     -0.00298025      0.00309946      0.00357629      0.00333787 
       6.002464     -0.00250341      0.00357629      0.00303985       0.0023842 
      6.0028911     -0.00339748      0.00357629       0.0036955      0.00262262 
      6.0033102     -0.00393394      0.00357629      0.00441077      0.00262262 
      6.0041388     -0.00333787      0.00405314      0.00435117       0.0011921 
      6.0046531     -0.00321867      0.00441077      0.00333787       0.0023842 
      6.0051883     -0.00303985      0.00417235      0.00339748      0.00262262 
      6.0057019     -0.00327827       0.0036955      0.00309946      0.00154973 
      6.0066921     -0.00339748      0.00464919      0.00441077      0.00131131 
      6.0072489     -0.00345708      0.00452998      0.00423196      0.00286104 
       6.007865     -0.00286104      0.00393394      0.00435117       0.0023842 
      6.0084931     -0.00256301      0.00357629      0.00345708      0.00262262 
      6.0090935     -0.00280143      0.00381473      0.00315906      0.00333787 
      6.0101779      -0.0023842      0.00298025      0.00303985      0.00178815 
      6.0108556     -0.00292064      0.00381473      0.00381473     0.000834469 
      6.0115416     -0.00303985      0.00357629      0.00429156      0.00131131 
      6.0122415     -0.00375511      0.00274183      0.00447038      0.00143052 
      6.0129515     -0.00321867      0.00405314      0.00452998      0.00226499 
      6.0136181     -0.00226499      0.00464919      0.00399354      0.00190736 
       6.014346      -0.0024438      0.00357629      0.00357629      0.00202657 
      6.0150284     -0.00309946      0.00286104      0.00387433      0.00298025 
      6.0162519     -0.00327827      0.00333787      0.00292064      0.00154973 
      6.0175509     -0.00429156      0.00298025      0.00423196       0.0023842 
      6.0182623     -0.00411275      0.00357629      0.00482801      0.00214578 
      6.0190358     -0.00309946      0.00345708      0.00464919      0.00166894 
      6.0198152     -0.00268222      0.00309946      0.00387433      0.00274183 
      6.0206002     -0.00303985      0.00262262      0.00315906      0.00250341 
      6.0213325     -0.00303985      0.00226499      0.00423196      0.00250341 
