> Measurement made Fri Feb 23 08:02:00 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  170.000 K, T1: 170.000 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.013970 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
170K
-
-
-

>BEGIN
      6.0000084    -0.000476841      0.00548366      0.00196697     -0.00417235 
      6.0000291      0.00035763      0.00548366      0.00274183     -0.00488761 
      6.0000676     0.000953682      0.00679496      0.00256301      -0.0047684 
      6.0001216     0.000894073      0.00751021      0.00268222     -0.00464919 
      6.0001814     0.000715259      0.00679496      0.00274183     -0.00393394 
      6.0002516     0.000536445      0.00596049       0.0023842     -0.00286104 
      6.0003452     0.000178815      0.00584128      0.00208618     -0.00214578 
       6.000438     -0.00011921      0.00560287      0.00178815     -0.00202657 
      6.0005566     0.000178815      0.00512603      0.00160933     -0.00262262 
      6.0006879      0.00059605       0.0047684      0.00268222     -0.00262262 
      6.0008315      0.00059605       0.0047684      0.00286104     -0.00286104 
      6.0009676     0.000774864      0.00488761      0.00268222     -0.00333787 
      6.0011332      0.00059605      0.00500682      0.00256301     -0.00309946 
      6.0012867     0.000476841      0.00429156      0.00256301     -0.00298025 
      6.0014484      0.00011921      0.00393394       0.0023842     -0.00274183 
      6.0016436     -0.00023842      0.00381473      0.00196697     -0.00250341 
      6.0018239               0      0.00381473      0.00149012     -0.00226499 
        6.00201     0.000536445      0.00452998     0.000953682     -0.00214578 
      6.0022324     0.000774864      0.00512603       0.0011325     -0.00286104 
       6.002464      0.00101329      0.00548366      0.00143052     -0.00393394 
      6.0027045      0.00131131      0.00596049       0.0012517      -0.0036955 
      6.0029537      0.00107289      0.00619891       0.0012517     -0.00333787 
      6.0031799      0.00059605      0.00572208      0.00178815     -0.00286104 
      6.0034103     0.000476841      0.00584128      0.00256301     -0.00262262 
      6.0036818    -0.000178815      0.00619891      0.00292064     -0.00321867 
      6.0039248    -5.96051e-05      0.00655654      0.00292064     -0.00309946 
      6.0041757     0.000178815      0.00619891      0.00280143     -0.00357629 
      6.0044675     0.000417234      0.00524524      0.00226499     -0.00393394 
      6.0047277       0.0011325      0.00488761       0.0023842      -0.0036955 
      6.0049929     0.000834469      0.00488761      0.00214578     -0.00381473 
      6.0053032     0.000178815      0.00512603      0.00149012      -0.0036955 
