> Measurement made Wed Feb 21 12:07:19 2024
> Main magnet sweep  6.50000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.73837 T 
> ITC set at  240.000 K, T1: 239.800 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 135.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -43.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.218720 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
240K

>BEGIN
      6.5000084     -0.00214578     -0.00023842     -0.00190736     0.000476841 
      6.5000291     -0.00214578     -0.00035763     -0.00268222               0 
      6.5000618      -0.0023246    -0.000715259     -0.00309946    -0.000834469 
      6.5001068     -0.00274183               0     -0.00280143    -0.000715259 
       6.500172      -0.0024438      0.00035763     -0.00220539     -0.00059605 
      6.5002406     -0.00220539      0.00023842     -0.00154973     -0.00011921 
        6.50032     -0.00292064               0     -0.00154973      0.00023842 
      6.5004237     -0.00327827    -0.000715259     -0.00190736      0.00023842 
      6.5005407     -0.00280143    -0.000476841      -0.0023246     -0.00023842 
      6.5006541     -0.00214578     -0.00023842     -0.00226499     -0.00131131 
      6.5007947     -0.00190736    -0.000715259     -0.00226499     -0.00131131 
      6.5009271      -0.0023842     -0.00011921     -0.00214578     -0.00035763 
      6.5010898     -0.00262262      0.00035763     -0.00196697     0.000953682 
      6.5012422      -0.0024438      0.00011921     -0.00166894       0.0011921 
      6.5014016     -0.00208618     -0.00059605     -0.00178815      0.00035763 
       6.501569     -0.00178815    -0.000834469     -0.00190736               0 
      6.5017459     -0.00178815    -0.000715259      -0.0023246     -0.00011921 
      6.5019288     -0.00149012    -0.000476841      -0.0024438               0 
      6.5021476     -0.00137091    -0.000715259     -0.00220539     -0.00023842 
      6.5023758     -0.00166894     -0.00035763     -0.00214578      0.00011921 
      6.5025822     -0.00214578     -0.00011921     -0.00190736     0.000476841 
      6.5028271      -0.0023246     0.000834469     -0.00137091      0.00107289 
      6.5030804     -0.00220539       0.0011921    -0.000476841      0.00143052 
      6.5033102     -0.00214578     0.000834469    -0.000894073     0.000834469 
      6.5035788     -0.00256301      0.00035763     -0.00149012               0 
      6.5038193      -0.0024438      0.00023842     -0.00143052    -0.000476841 
      6.5040678     -0.00250341     0.000953682     -0.00131131               0 
      6.5043195     -0.00250341      0.00178815     -0.00160933      0.00059605 
      6.5046148     -0.00196697      0.00202657     -0.00196697      0.00023842 
      6.5048779     -0.00166894      0.00214578     -0.00202657     -0.00023842 
      6.5051485     -0.00131131      0.00131131     -0.00178815    -0.000476841 
       6.505462      -0.0011921       0.0011921     -0.00202657               0 
      6.5057405      -0.0012517       0.0011921     -0.00226499      0.00011921 
      6.5060655     -0.00154973      0.00143052     -0.00256301      0.00059605 
