> Measurement made Thu Feb 22 11:18:23 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at   40.000 K, T1:  40.000 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 22.163940 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
40K
>BEGIN
      6.0000084      0.00542405      0.00321867      -0.0102521     -0.00464919 
      6.0000331      0.00548366      0.00309946      -0.0101328      -0.0047684 
      6.0000737      0.00512603      0.00298025     -0.00995403     -0.00524524 
      6.0001221      0.00482801      0.00357629      -0.0102521     -0.00512603 
       6.000191      0.00488761      0.00429156      -0.0105501     -0.00488761 
      6.0002743      0.00524524      0.00452998      -0.0108481     -0.00500682 
      6.0003714      0.00554326      0.00321867      -0.0105501      -0.0047684 
      6.0004671       0.0060201      0.00250341      -0.0106097      -0.0047684 
       6.000589      0.00631812      0.00262262      -0.0104905      -0.0047684 
      6.0007056      0.00560287      0.00298025     -0.00995403     -0.00464919 
      6.0008507      0.00488761      0.00286104     -0.00941759     -0.00441077 
      6.0010076      0.00524524      0.00333787     -0.00941759     -0.00441077 
       6.001176      0.00560287      0.00405314      -0.0100732     -0.00452998 
      6.0013554      0.00584128      0.00429156      -0.0104905     -0.00405314 
      6.0015455      0.00584128      0.00357629      -0.0103713      -0.0036955 
      6.0017459      0.00584128      0.00262262      -0.0100732     -0.00345708 
      6.0019305      0.00596049      0.00309946      -0.0100732      -0.0047684 
      6.0021494      0.00613931      0.00381473      -0.0102521     -0.00548366 
       6.002348      0.00625852      0.00393394      -0.0100136     -0.00548366 
      6.0025841      0.00619891      0.00405314     -0.00995403     -0.00524524 
      6.0028291       0.0060201      0.00381473     -0.00977522     -0.00441077 
      6.0030825      0.00596049      0.00393394     -0.00965601     -0.00464919 
      6.0033441       0.0060201      0.00381473      -0.0103117     -0.00488761 
      6.0035788      0.00554326      0.00405314      -0.0109077     -0.00464919 
      6.0038215      0.00548366      0.00464919      -0.0109077      -0.0047684 
      6.0041044      0.00596049      0.00500682      -0.0108481     -0.00464919 
      6.0043945      0.00584128      0.00405314      -0.0108481     -0.00405314 
      6.0046915       0.0047684      0.00345708      -0.0101925     -0.00417235 
      6.0049954      0.00411275      0.00309946      -0.0101328     -0.00429156 
      6.0053057      0.00435117      0.00250341      -0.0104905     -0.00452998 
      6.0056608      0.00554326      0.00226499      -0.0106097     -0.00441077 
      6.0059452      0.00578168      0.00190736      -0.0106693     -0.00417235 
      6.0062739      0.00524524      0.00202657      -0.0103713     -0.00417235 
      6.0065652      0.00518563      0.00262262      -0.0100732     -0.00417235 
