> Measurement made Thu Feb 22 14:58:42 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at    5.000 K, T1:   4.998 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 23.008820 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
5K
>BEGIN
      6.0000064        0.011921      0.00488761       -0.012517     -0.00810629 
      6.0000291       0.0118614       0.0047684      -0.0119806      -0.0082255 
      6.0000622        0.012219      0.00452998      -0.0117422     -0.00774866 
      6.0001216       0.0131131       0.0047684      -0.0120402     -0.00798708 
      6.0001814       0.0133515      0.00452998      -0.0120402     -0.00810629 
      6.0002735       0.0132919      0.00417235      -0.0118018      -0.0082255 
      6.0003706       0.0132919      0.00405314      -0.0116826     -0.00751021 
      6.0004671        0.012517       0.0036955      -0.0119806     -0.00679496 
       6.000589       0.0122786       0.0036955      -0.0120998     -0.00679496 
      6.0007235        0.012219      0.00309946      -0.0122786     -0.00810629 
      6.0008701       0.0129343      0.00321867      -0.0124574     -0.00858313 
      6.0010286       0.0134707      0.00405314      -0.0125766     -0.00834471 
      6.0011984       0.0131131      0.00417235      -0.0125766     -0.00762945 
      6.0013554       0.0120998      0.00429156       -0.011921     -0.00703338 
      6.0015455       0.0118614      0.00452998      -0.0116826     -0.00667575 
      6.0017197       0.0117422      0.00441077      -0.0115634     -0.00691417 
      6.0019032       0.0118614      0.00417235      -0.0115038     -0.00715259 
      6.0020925       0.0118614       0.0047684      -0.0113845     -0.00691417 
       6.002348       0.0123382      0.00572208      -0.0114442     -0.00679496 
      6.0025534       0.0126958      0.00584128      -0.0114442     -0.00679496 
      6.0027655       0.0122786      0.00536445      -0.0118018     -0.00655654 
      6.0030168       0.0121594      0.00524524       -0.012219     -0.00655654 
      6.0032448       0.0118614      0.00512603      -0.0120998     -0.00655654 
      6.0035115       0.0119806      0.00488761      -0.0118614     -0.00703338 
      6.0037859       0.0121594      0.00417235      -0.0115634     -0.00751021 
      6.0040678        0.011921      0.00381473       -0.011623     -0.00751021 
      6.0043569       0.0120402      0.00381473       -0.011921     -0.00762945 
      6.0046148       0.0126362      0.00405314       -0.012517     -0.00810629 
       6.004917       0.0133515      0.00452998      -0.0127555     -0.00774866 
      6.0052257       0.0136495      0.00524524      -0.0128151      -0.0072718 
      6.0055026       0.0129939      0.00572208      -0.0130535     -0.00762945 
      6.0058231       0.0124574      0.00536445      -0.0126958     -0.00762945 
      6.0061075       0.0121594      0.00488761      -0.0122786     -0.00751021 
       6.006439       0.0123382      0.00488761      -0.0117422     -0.00691417 
