> Measurement made Fri Oct 13 22:20:39 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at  100.000 K, T1: 100.020 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -8.303000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 12.001200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 100K perpendicular 240 GHz 
-
-
-

>BEGIN
      11.499987      -0.0140668       0.0116826       0.0197889      -0.0212194 
      11.499956      -0.0131131        0.011921       0.0224115      -0.0200273 
      11.499898      -0.0114442       0.0112057       0.0226499      -0.0190736 
      11.499817     -0.00977522       0.0121594        0.022173      -0.0195504 
      11.499728     -0.00905996       0.0123978       0.0200273      -0.0205041 
      11.499606      -0.0095368       0.0114442       0.0202657      -0.0202657 
      11.499482      -0.0095368       0.0109673       0.0197889      -0.0205041 
      11.499342      -0.0104905       0.0114442       0.0197889       -0.020981 
      11.499164      -0.0104905        0.011921       0.0205041      -0.0205041 
      11.498993     -0.00834471       0.0126362        0.020981      -0.0202657 
      11.498808     -0.00762945       0.0126362       0.0197889      -0.0207425 
      11.498579      -0.0095368       0.0114442       0.0185968       -0.020981 
      11.498363      -0.0116826       0.0104905       0.0181199      -0.0207425 
      11.498137      -0.0116826       0.0104905       0.0174047      -0.0205041 
      11.497861      -0.0114442       0.0102521       0.0174047      -0.0200273 
      11.497606      -0.0102521       0.0104905       0.0185968      -0.0197889 
      11.497302      -0.0112057       0.0104905       0.0195504      -0.0195504 
      11.497024      -0.0112057       0.0112057       0.0195504       -0.019312 
      11.496692      -0.0104905       0.0116826       0.0178815      -0.0197889 
      11.496346      -0.0095368       0.0121594       0.0176431      -0.0207425 
      11.496034     -0.00834471       0.0116826       0.0183583      -0.0212194 
      11.495615     -0.00691417       0.0112057       0.0190736      -0.0205041 
       11.49523     -0.00762945       0.0114442       0.0202657      -0.0195504 
      11.494885     -0.00786787       0.0126362        0.020981      -0.0188352 
      11.494477     -0.00739101       0.0126362       0.0197889      -0.0197889 
      11.494109     -0.00691417       0.0123978       0.0178815       -0.020981 
      11.493681     -0.00739101        0.011921       0.0159742      -0.0214578 
      11.493299     -0.00905996       0.0112057       0.0154973      -0.0207425 
      11.492851     -0.00977522       0.0116826       0.0159742      -0.0205041 
      11.492452     -0.00905996       0.0121594       0.0159742      -0.0200273 
      11.491985     -0.00905996       0.0116826        0.016451      -0.0190736 
      11.491509     -0.00905996       0.0121594       0.0162126      -0.0188352 
      11.491082     -0.00905996       0.0121594       0.0166894      -0.0188352 
      11.490653      -0.0104905       0.0121594       0.0166894      -0.0195504 
      11.490152      -0.0112057       0.0121594        0.014782      -0.0197889 
      11.489643      -0.0116826       0.0131131       0.0154973      -0.0200273 
      11.489189      -0.0100136       0.0138283       0.0162126      -0.0214578 
      11.488665     -0.00905996       0.0128747       0.0169278      -0.0219346 
      11.488203      -0.0109673       0.0121594        0.019312       -0.022173 
      11.487734      -0.0123978       0.0121594       0.0195504      -0.0228883 
      11.487256      -0.0109673       0.0131131       0.0188352       -0.022173 
      11.486777     -0.00929838       0.0140668       0.0185968       -0.022173 
      11.486221     -0.00905996       0.0140668       0.0176431       -0.022173 
      11.485732     -0.00905996       0.0135899       0.0178815      -0.0212194 
      11.485164      -0.0102521       0.0131131       0.0174047      -0.0200273 
      11.484659      -0.0095368       0.0126362       0.0169278      -0.0202657 
      11.484155     -0.00905996       0.0114442        0.016451      -0.0205041 
      11.483571      -0.0095368       0.0104905       0.0169278      -0.0205041 
      11.482982     -0.00977522       0.0102521        0.016451      -0.0207425 
      11.482459      -0.0107289       0.0102521        0.016451       -0.020981 
      11.481937      -0.0114442       0.0104905       0.0171663      -0.0212194 
      11.481333      -0.0102521       0.0109673       0.0183583      -0.0205041 
      11.480724     -0.00834471       0.0114442       0.0202657      -0.0195504 
       11.48019     -0.00858313       0.0109673       0.0197889      -0.0195504 
      11.479573      -0.0095368       0.0109673       0.0183583      -0.0205041 
      11.479026      -0.0107289       0.0104905       0.0174047      -0.0212194 
      11.478401      -0.0102521       0.0104905       0.0169278       -0.022173 
      11.477852      -0.0102521       0.0104905       0.0166894      -0.0226499 
        11.4773      -0.0100136       0.0109673        0.016451      -0.0231267 
       11.47674     -0.00882155       0.0114442       0.0185968       -0.022173 
      11.476183     -0.00905996       0.0114442       0.0200273      -0.0214578 
       11.47554     -0.00905996       0.0114442       0.0200273      -0.0212194 
      11.474971     -0.00905996       0.0116826       0.0197889      -0.0216962 
      11.474405      -0.0100136       0.0121594       0.0197889      -0.0219346 
      11.473752      -0.0107289       0.0121594       0.0202657       -0.022173 
      11.473181      -0.0100136       0.0123978        0.020981      -0.0214578 
      11.472601     -0.00929838       0.0128747       0.0216962      -0.0212194 
       11.47194      -0.0100136       0.0126362       0.0202657       -0.020981 
      11.471361      -0.0100136       0.0114442       0.0185968      -0.0216962 
       11.47078      -0.0114442       0.0102521       0.0176431       -0.022173 
      11.470191       -0.011921       0.0102521       0.0181199      -0.0219346 
      11.469606      -0.0131131       0.0104905       0.0181199      -0.0207425 
      11.469013      -0.0138283       0.0114442       0.0183583      -0.0200273 
      11.468424      -0.0135899       0.0116826        0.019312      -0.0200273 
      11.467833      -0.0133515       0.0116826       0.0202657      -0.0200273 
      11.467235      -0.0128747        0.011921       0.0200273      -0.0200273 
       11.46664      -0.0123978        0.011921       0.0190736      -0.0200273 
      11.466043      -0.0107289       0.0123978       0.0190736       -0.019312 
       11.46544      -0.0109673       0.0121594       0.0190736      -0.0190736 
       11.46484      -0.0112057       0.0116826       0.0185968      -0.0188352 
       11.46415      -0.0116826       0.0107289       0.0195504      -0.0188352 
      11.463541      -0.0100136      0.00977522        0.020981       -0.019312 
      11.462937      -0.0095368       0.0095368       0.0214578      -0.0188352 
      11.462242      -0.0104905       0.0107289       0.0214578      -0.0190736 
      11.461545      -0.0102521       0.0109673       0.0216962      -0.0200273 
      11.460846     -0.00905996       0.0116826       0.0200273      -0.0205041 
      11.460235     -0.00715259       0.0121594       0.0185968      -0.0205041 
      11.459533     -0.00739101       0.0123978       0.0190736      -0.0207425 
      11.458914     -0.00739101       0.0131131       0.0202657      -0.0219346 
       11.45821     -0.00858313       0.0128747       0.0197889       -0.022173 
      11.457503     -0.00786787        0.011921       0.0183583      -0.0216962 
      11.456796     -0.00739101       0.0114442        0.019312      -0.0219346 
      11.456177     -0.00810629       0.0114442        0.020981      -0.0216962 
      11.455558     -0.00929838       0.0112057       0.0202657      -0.0219346 
      11.454846      -0.0095368       0.0121594       0.0181199      -0.0216962 
      11.454219     -0.00905996       0.0121594       0.0166894       -0.020981 
      11.453597      -0.0100136       0.0112057        0.016451      -0.0205041 
      11.452882      -0.0107289       0.0109673       0.0178815      -0.0200273 
      11.452252      -0.0112057       0.0107289       0.0205041      -0.0200273 
      11.451626      -0.0109673       0.0109673       0.0195504      -0.0205041 
         11.451      -0.0116826       0.0109673        0.019312      -0.0202657 
      11.450368      -0.0100136       0.0109673        0.019312       -0.019312 
       11.44974     -0.00929838       0.0109673       0.0195504      -0.0181199 
      11.449112     -0.00905996      0.00977522        0.019312      -0.0181199 
       11.44839     -0.00977522       0.0104905       0.0185968      -0.0188352 
      11.447754      -0.0100136       0.0107289       0.0162126      -0.0200273 
      11.447031      -0.0112057      0.00977522       0.0154973       -0.020981 
      11.446399      -0.0121594      0.00929838       0.0157357      -0.0219346 
      11.445674      -0.0104905      0.00882155       0.0162126      -0.0233651 
      11.444949     -0.00882155      0.00929838       0.0166894       -0.022173 
      11.444222     -0.00667575       0.0109673       0.0185968      -0.0205041 
      11.443582     -0.00667575       0.0121594       0.0190736      -0.0200273 
      11.442854     -0.00572208       0.0126362       0.0178815      -0.0207425 
      11.442218     -0.00619891        0.011921       0.0169278      -0.0214578 
      11.441489     -0.00691417       0.0109673        0.014782      -0.0214578 
      11.440759     -0.00715259       0.0107289       0.0152589      -0.0205041 
      11.440122     -0.00834471       0.0109673        0.016451      -0.0205041 
      11.439478      -0.0095368       0.0109673        0.016451      -0.0202657 
      11.438746      -0.0100136       0.0112057       0.0159742      -0.0205041 
      11.438108      -0.0116826       0.0121594       0.0150204      -0.0205041 
      11.437469      -0.0123978       0.0128747       0.0154973      -0.0212194 
      11.436735      -0.0123978       0.0126362       0.0166894       -0.020981 
      11.436001      -0.0131131       0.0121594       0.0183583      -0.0195504 
      11.435267      -0.0112057       0.0114442       0.0185968      -0.0200273 
      11.434532      -0.0123978       0.0109673        0.019312      -0.0205041 
      11.433884      -0.0143052       0.0104905       0.0197889      -0.0205041 
      11.433243      -0.0131131      0.00977522       0.0202657      -0.0205041 
      11.432595       -0.011921      0.00977522       0.0200273       -0.020981 
      11.431858     -0.00929838      0.00977522       0.0202657      -0.0212194 
      11.431215     -0.00977522       0.0104905       0.0205041      -0.0212194 
      11.430572      -0.0116826       0.0112057       0.0197889      -0.0214578 
      11.429834      -0.0112057       0.0114442        0.019312      -0.0216962 
      11.429096      -0.0104905       0.0114442       0.0197889      -0.0205041 
      11.428446     -0.00929838       0.0112057       0.0197889      -0.0202657 
      11.427707      -0.0102521       0.0114442       0.0197889      -0.0205041 
      11.427062      -0.0107289       0.0116826        0.019312      -0.0212194 
      11.426417      -0.0107289       0.0123978       0.0181199      -0.0212194 
      11.425677     -0.00834471       0.0128747       0.0171663       -0.020981 
      11.425026     -0.00786787       0.0121594       0.0181199      -0.0200273 
       11.42438     -0.00977522       0.0114442       0.0200273      -0.0195504 
      11.423639      -0.0095368       0.0121594       0.0197889       -0.019312 
      11.422987     -0.00858313       0.0121594        0.020981      -0.0195504 
      11.422245      -0.0095368       0.0126362       0.0195504      -0.0205041 
      11.421599      -0.0109673       0.0135899       0.0174047      -0.0216962 
      11.420857      -0.0107289       0.0138283       0.0162126      -0.0216962 
      11.420209      -0.0104905       0.0128747       0.0159742       -0.020981 
      11.419467     -0.00882155       0.0114442       0.0169278      -0.0202657 
      11.418813     -0.00739101       0.0104905       0.0183583      -0.0202657 
      11.418166     -0.00739101       0.0104905       0.0185968      -0.0207425 
      11.417518      -0.0095368       0.0109673       0.0176431      -0.0212194 
      11.416774      -0.0112057       0.0116826       0.0166894      -0.0212194 
      11.416031      -0.0102521       0.0126362       0.0171663      -0.0205041 
      11.415287     -0.00929838       0.0121594       0.0200273      -0.0200273 
      11.414632     -0.00977522       0.0112057       0.0197889      -0.0205041 
      11.413888      -0.0095368       0.0114442       0.0181199      -0.0212194 
      11.413239      -0.0100136       0.0114442        0.016451      -0.0212194 
      11.412584      -0.0112057       0.0107289       0.0185968      -0.0205041 
       11.41184      -0.0126362       0.0104905        0.022173      -0.0200273 
       11.41119      -0.0131131       0.0109673       0.0236036      -0.0200273 
      11.410445      -0.0133515       0.0104905       0.0236036      -0.0205041 
        11.4097      -0.0133515      0.00977522        0.023842      -0.0200273 
       11.40905      -0.0114442       0.0104905       0.0236036      -0.0200273 
      11.408394     -0.00882155       0.0114442        0.022173      -0.0197889 
      11.407744     -0.00858313       0.0114442       0.0202657       -0.019312 
      11.407094     -0.00977522       0.0112057       0.0183583      -0.0195504 
      11.406348      -0.0104905       0.0107289       0.0162126      -0.0200273 
      11.405692      -0.0109673       0.0109673        0.014782      -0.0200273 
      11.405041      -0.0095368       0.0114442        0.016451      -0.0205041 
      11.404384     -0.00882155       0.0121594       0.0176431      -0.0212194 
      11.403638     -0.00739101       0.0116826       0.0174047      -0.0214578 
      11.402987     -0.00739101       0.0121594       0.0183583      -0.0214578 
      11.402241     -0.00762945       0.0123978       0.0181199      -0.0219346 
       11.40159     -0.00858313       0.0121594       0.0181199      -0.0219346 
      11.400843     -0.00858313       0.0121594       0.0195504      -0.0205041 
      11.400186     -0.00786787       0.0114442       0.0183583      -0.0200273 
      11.399535     -0.00739101       0.0109673        0.016451      -0.0195504 
      11.398883     -0.00786787       0.0114442        0.016451       -0.019312 
      11.398136     -0.00882155       0.0116826       0.0169278       -0.019312 
      11.397479      -0.0104905       0.0109673       0.0159742      -0.0200273 
      11.396827      -0.0107289       0.0109673        0.016451      -0.0200273 
       11.39608      -0.0100136       0.0121594       0.0176431      -0.0205041 
      11.395237      -0.0102521       0.0126362       0.0181199       -0.020981 
      11.394489      -0.0116826       0.0114442       0.0178815      -0.0216962 
      11.393742      -0.0123978       0.0112057       0.0176431      -0.0216962 
       11.39309      -0.0114442       0.0114442       0.0181199       -0.020981 
      11.392342      -0.0102521        0.011921       0.0178815      -0.0202657 
      11.391684      -0.0102521       0.0121594       0.0181199      -0.0197889 
      11.390936      -0.0109673       0.0121594       0.0181199      -0.0195504 
      11.390284      -0.0100136       0.0123978       0.0176431      -0.0200273 
      11.389536     -0.00905996       0.0121594       0.0181199      -0.0200273 
      11.388884     -0.00834471       0.0121594       0.0183583      -0.0200273 
      11.388136     -0.00905996       0.0116826       0.0185968      -0.0205041 
      11.387387      -0.0123978        0.011921       0.0183583      -0.0207425 
      11.386729      -0.0126362       0.0121594       0.0181199      -0.0205041 
      11.385981      -0.0138283       0.0121594       0.0169278      -0.0205041 
      11.385232      -0.0126362        0.011921       0.0169278      -0.0195504 
       11.38458      -0.0112057       0.0121594       0.0159742      -0.0195504 
      11.383927      -0.0100136       0.0131131        0.016451      -0.0195504 
      11.383269     -0.00905996       0.0133515       0.0181199      -0.0188352 
       11.38252     -0.00882155       0.0128747       0.0197889       -0.019312 
      11.381867      -0.0102521       0.0116826        0.019312      -0.0200273 
      11.381119      -0.0114442       0.0116826       0.0181199      -0.0212194 
       11.38037      -0.0116826       0.0121594       0.0185968      -0.0214578 
      11.379711      -0.0112057        0.011921       0.0197889       -0.022173 
      11.378963     -0.00977522       0.0116826       0.0202657      -0.0219346 
       11.37831     -0.00882155       0.0121594       0.0207425      -0.0212194 
      11.377561     -0.00905996       0.0121594       0.0200273      -0.0200273 
      11.376812      -0.0116826       0.0116826        0.019312      -0.0197889 
      11.376159      -0.0123978       0.0112057       0.0202657      -0.0200273 
        11.3755      -0.0126362       0.0107289       0.0202657      -0.0205041 
      11.374847      -0.0126362       0.0107289       0.0197889      -0.0207425 
      11.374194      -0.0121594       0.0114442       0.0188352      -0.0207425 
      11.373349      -0.0116826       0.0116826       0.0183583      -0.0212194 
      11.372696      -0.0116826       0.0114442       0.0181199      -0.0205041 
      11.371947      -0.0107289       0.0112057        0.019312      -0.0195504 
      11.371288     -0.00905996       0.0114442       0.0195504      -0.0195504 
      11.370539     -0.00905996       0.0112057        0.019312      -0.0200273 
      11.369885     -0.00977522       0.0114442       0.0176431      -0.0200273 
      11.369136     -0.00977522       0.0116826       0.0169278      -0.0200273 
      11.368387     -0.00977522       0.0121594       0.0176431      -0.0200273 
      11.367728      -0.0095368       0.0116826       0.0169278      -0.0200273 
      11.366979      -0.0100136       0.0121594       0.0145436      -0.0212194 
      11.366325      -0.0100136       0.0121594       0.0154973      -0.0216962 
      11.365672      -0.0100136        0.011921       0.0159742      -0.0219346 
      11.364923      -0.0102521       0.0121594       0.0178815      -0.0216962 
      11.364263      -0.0107289       0.0112057       0.0219346      -0.0207425 
       11.36361      -0.0123978       0.0109673       0.0243188      -0.0205041 
      11.362957      -0.0131131       0.0109673       0.0231267       -0.020981 
      11.362207      -0.0135899       0.0102521        0.020981       -0.020981 
      11.361458      -0.0140668       0.0100136       0.0197889      -0.0197889 
      11.360798      -0.0131131       0.0107289       0.0188352      -0.0185968 
      11.360145      -0.0107289       0.0109673       0.0174047      -0.0188352 
      11.359485      -0.0095368       0.0109673       0.0166894      -0.0190736 
      11.358832      -0.0104905       0.0109673       0.0154973      -0.0197889 
      11.358083      -0.0107289       0.0109673       0.0143052      -0.0202657 
      11.357333      -0.0107289       0.0109673       0.0159742      -0.0202657 
      11.356584      -0.0123978       0.0109673        0.016451      -0.0212194 
       11.35593      -0.0109673       0.0107289       0.0166894       -0.022173 
      11.355271      -0.0100136       0.0114442       0.0154973      -0.0228883 
      11.354521     -0.00786787       0.0123978       0.0143052      -0.0224115 
      11.353867     -0.00596049       0.0128747       0.0131131      -0.0224115 
      11.353214     -0.00667575       0.0121594       0.0145436      -0.0219346 
      11.352464     -0.00882155       0.0116826       0.0157357      -0.0214578 
      11.351715      -0.0095368       0.0116826       0.0157357      -0.0207425 
      11.350965     -0.00786787       0.0123978        0.016451      -0.0205041 
      11.350306     -0.00667575       0.0126362       0.0176431      -0.0200273 
      11.349652     -0.00667575       0.0128747       0.0176431      -0.0200273 
      11.348992     -0.00834471       0.0116826       0.0178815      -0.0205041 
      11.348339     -0.00905996       0.0107289       0.0181199      -0.0207425 
      11.347685     -0.00882155       0.0109673       0.0171663      -0.0214578 
      11.346935     -0.00905996       0.0121594        0.016451      -0.0205041 
      11.346186      -0.0095368       0.0116826        0.016451      -0.0197889 
      11.345526     -0.00834471       0.0109673       0.0171663      -0.0205041 
      11.344872     -0.00858313       0.0112057       0.0174047      -0.0212194 
      11.344219     -0.00882155       0.0116826        0.019312      -0.0205041 
      11.343469     -0.00858313        0.011921       0.0202657      -0.0200273 
      11.342719      -0.0095368       0.0116826       0.0202657      -0.0200273 
       11.34206      -0.0109673        0.011921       0.0207425      -0.0200273 
      11.341406      -0.0112057       0.0116826       0.0212194      -0.0195504 
      11.340656      -0.0112057       0.0116826        0.020981      -0.0200273 
      11.339997     -0.00905996       0.0112057        0.019312      -0.0212194 
      11.339247     -0.00619891       0.0114442       0.0183583      -0.0207425 
      11.338497     -0.00643733       0.0114442       0.0195504      -0.0200273 
      11.337843      -0.0095368       0.0104905       0.0178815      -0.0202657 
      11.337094      -0.0116826      0.00905996       0.0169278       -0.020981 
       11.33644      -0.0109673      0.00834471        0.016451      -0.0202657 
       11.33569      -0.0116826      0.00929838       0.0171663      -0.0197889 
       11.33503      -0.0121594      0.00977522       0.0197889      -0.0195504 
      11.334281      -0.0133515      0.00977522       0.0202657      -0.0197889 
      11.333627      -0.0143052       0.0107289       0.0190736      -0.0190736 
      11.332877       -0.011921       0.0114442       0.0171663       -0.019312 
      11.332127      -0.0107289        0.011921       0.0157357      -0.0197889 
      11.331474      -0.0112057       0.0112057       0.0152589      -0.0195504 
      11.330814      -0.0116826       0.0109673       0.0143052      -0.0195504 
       11.33016      -0.0121594       0.0107289       0.0138283      -0.0200273 
       11.32941      -0.0126362      0.00977522       0.0138283      -0.0202657 
       11.32866      -0.0150204      0.00929838       0.0154973      -0.0202657 
      11.327911      -0.0166894       0.0102521       0.0176431      -0.0202657 
      11.327161      -0.0162126       0.0109673       0.0171663      -0.0207425 
      11.326501       -0.014782       0.0109673       0.0145436      -0.0216962 
      11.325847      -0.0128747       0.0116826       0.0128747      -0.0214578 
      11.325193      -0.0104905       0.0123978       0.0121594      -0.0205041 
      11.324534     -0.00834471       0.0123978       0.0128747      -0.0205041 
      11.323784     -0.00834471       0.0121594       0.0143052      -0.0205041 
       11.32313     -0.00739101       0.0123978        0.014782      -0.0195504 
       11.32238     -0.00739101       0.0126362       0.0157357      -0.0183583 
      11.321534     -0.00929838       0.0126362       0.0169278      -0.0181199 
      11.320881      -0.0123978       0.0121594       0.0190736      -0.0190736 
      11.320131      -0.0133515       0.0109673       0.0190736      -0.0195504 
      11.319477      -0.0121594       0.0114442       0.0171663      -0.0197889 
      11.318727      -0.0112057       0.0128747       0.0178815      -0.0200273 
      11.318067      -0.0107289       0.0140668       0.0176431      -0.0200273 
      11.317413      -0.0112057       0.0143052       0.0188352      -0.0200273 
      11.316754      -0.0114442       0.0133515       0.0188352      -0.0202657 
        11.3161      -0.0116826        0.011921       0.0178815      -0.0205041 
      11.315446      -0.0116826       0.0104905       0.0174047      -0.0200273 
      11.314786      -0.0121594      0.00977522       0.0174047      -0.0200273 
      11.314036      -0.0100136       0.0100136       0.0178815      -0.0200273 
      11.313286      -0.0100136       0.0100136       0.0178815       -0.020981 
      11.312633      -0.0131131       0.0100136       0.0176431      -0.0207425 
      11.311883      -0.0138283       0.0104905       0.0188352      -0.0202657 
      11.311229      -0.0128747       0.0109673       0.0178815       -0.019312 
      11.310479      -0.0123978       0.0114442       0.0176431      -0.0183583 
      11.309819      -0.0128747       0.0112057       0.0181199      -0.0188352 
      11.309165      -0.0133515       0.0109673       0.0183583      -0.0195504 
      11.308319      -0.0135899       0.0116826       0.0185968      -0.0188352 
      11.307666      -0.0128747       0.0123978       0.0185968      -0.0185968 
      11.307006      -0.0123978       0.0121594       0.0197889      -0.0188352 
      11.306256      -0.0116826       0.0114442       0.0190736      -0.0197889 
      11.305602      -0.0112057       0.0114442       0.0185968      -0.0212194 
      11.304948      -0.0114442       0.0109673       0.0190736      -0.0207425 
      11.304198      -0.0128747      0.00977522       0.0195504      -0.0197889 
      11.303448      -0.0143052      0.00929838       0.0174047      -0.0197889 
      11.302699       -0.014782       0.0104905        0.016451      -0.0200273 
      11.301949      -0.0112057       0.0121594       0.0157357      -0.0202657 
      11.301199     -0.00858313       0.0131131       0.0169278      -0.0197889 
      11.300449     -0.00905996       0.0126362       0.0197889       -0.019312 
      11.299789      -0.0107289       0.0116826        0.020981      -0.0190736 
      11.299039      -0.0128747       0.0112057       0.0214578      -0.0190736 
      11.298385      -0.0116826       0.0116826       0.0207425      -0.0197889 
      11.297636      -0.0116826       0.0114442       0.0181199      -0.0212194 
      11.296982       -0.011921       0.0112057       0.0183583      -0.0214578 
      11.296232      -0.0123978       0.0114442       0.0181199      -0.0216962 
      11.295572       -0.011921       0.0116826       0.0176431      -0.0207425 
      11.294822      -0.0116826       0.0116826       0.0174047      -0.0197889 
      11.294072      -0.0109673       0.0112057       0.0176431      -0.0185968 
      11.293322     -0.00905996       0.0109673       0.0185968      -0.0195504 
      11.292668     -0.00786787       0.0114442       0.0176431      -0.0207425 
      11.292009     -0.00882155       0.0126362       0.0169278       -0.020981 
      11.291355      -0.0095368       0.0135899        0.016451       -0.020981 
      11.290605     -0.00977522       0.0133515       0.0166894      -0.0216962 
      11.289855      -0.0095368       0.0133515       0.0181199      -0.0216962 
      11.289201      -0.0100136       0.0126362       0.0185968      -0.0207425 
      11.288451      -0.0116826       0.0126362       0.0174047      -0.0205041 
      11.287791      -0.0107289       0.0143052       0.0174047      -0.0207425 
      11.287137      -0.0095368       0.0145436       0.0171663      -0.0200273 
      11.286387      -0.0100136       0.0143052       0.0171663      -0.0200273 
      11.285638     -0.00929838       0.0133515        0.016451      -0.0195504 
      11.284984      -0.0102521       0.0126362       0.0162126      -0.0185968 
      11.284234      -0.0114442       0.0123978       0.0181199      -0.0183583 
      11.283574      -0.0128747       0.0126362        0.019312      -0.0183583 
       11.28292      -0.0133515        0.011921       0.0200273       -0.019312 
       11.28226      -0.0138283       0.0114442        0.019312      -0.0200273 
       11.28151      -0.0126362       0.0116826       0.0183583      -0.0200273 
      11.280856      -0.0114442       0.0121594       0.0190736      -0.0197889 
      11.280202      -0.0107289       0.0121594       0.0185968      -0.0200273 
      11.279453      -0.0107289       0.0131131       0.0183583      -0.0202657 
      11.278703     -0.00905996       0.0131131        0.019312      -0.0200273 
      11.278043     -0.00786787       0.0126362       0.0178815      -0.0200273 
      11.277389     -0.00691417       0.0126362       0.0171663      -0.0205041 
      11.276735     -0.00619891       0.0126362       0.0185968      -0.0214578 
      11.275985     -0.00739101       0.0121594       0.0188352      -0.0219346 
      11.275235     -0.00739101       0.0121594       0.0195504      -0.0216962 
      11.274485     -0.00905996       0.0121594       0.0169278      -0.0216962 
      11.273825      -0.0107289       0.0116826       0.0154973      -0.0207425 
      11.273076      -0.0112057       0.0107289       0.0162126      -0.0202657 
      11.272422      -0.0121594       0.0100136       0.0178815      -0.0205041 
      11.271762      -0.0133515      0.00977522       0.0183583      -0.0200273 
      11.271012      -0.0143052       0.0102521       0.0185968      -0.0200273 
      11.270262      -0.0145436       0.0100136        0.019312      -0.0200273 
      11.269608      -0.0150204       0.0095368       0.0181199      -0.0200273 
      11.268858      -0.0140668       0.0100136       0.0176431      -0.0200273 
      11.268204      -0.0116826       0.0112057        0.019312      -0.0205041 
      11.267454      -0.0123978       0.0116826       0.0197889      -0.0200273 
      11.266795      -0.0126362       0.0121594       0.0202657      -0.0200273 
      11.266045      -0.0123978       0.0121594       0.0219346       -0.019312 
      11.265391      -0.0123978       0.0123978       0.0231267      -0.0188352 
      11.264641      -0.0116826       0.0116826       0.0243188      -0.0195504 
      11.263891      -0.0116826       0.0123978       0.0224115      -0.0205041 
      11.263237      -0.0116826       0.0128747       0.0197889      -0.0212194 
      11.262577      -0.0107289       0.0123978       0.0181199      -0.0219346 
      11.261827       -0.011921       0.0112057       0.0171663       -0.022173 
      11.261173      -0.0131131       0.0107289       0.0178815      -0.0212194 
      11.260513      -0.0128747       0.0109673       0.0176431      -0.0200273 
       11.25986      -0.0126362       0.0121594       0.0185968       -0.019312 
       11.25911      -0.0131131       0.0121594       0.0185968      -0.0190736 
      11.258456      -0.0116826       0.0112057       0.0181199      -0.0190736 
      11.257706      -0.0100136       0.0109673       0.0178815      -0.0195504 
      11.257046      -0.0116826       0.0109673       0.0185968       -0.019312 
      11.256296      -0.0128747       0.0114442       0.0202657      -0.0197889 
      11.255642      -0.0131131       0.0123978       0.0197889       -0.020981 
      11.254988      -0.0145436       0.0126362       0.0185968      -0.0216962 
      11.254328      -0.0150204       0.0126362       0.0169278      -0.0219346 
      11.253674      -0.0154973       0.0131131       0.0174047      -0.0214578 
      11.253015      -0.0152589       0.0131131       0.0174047      -0.0205041 
      11.252361      -0.0135899       0.0128747       0.0181199      -0.0190736 
      11.251707      -0.0116826       0.0116826       0.0197889       -0.019312 
      11.251047      -0.0107289       0.0114442       0.0197889      -0.0200273 
      11.250297      -0.0109673       0.0109673       0.0205041      -0.0195504 
      11.249547     -0.00977522       0.0112057        0.022173      -0.0188352 
      11.248797     -0.00786787       0.0112057       0.0202657      -0.0195504 
      11.248143     -0.00905996       0.0109673       0.0188352      -0.0197889 
      11.247489      -0.0114442       0.0109673        0.019312      -0.0200273 
      11.246739      -0.0116826       0.0109673       0.0202657      -0.0200273 
       11.24608       -0.011921       0.0107289       0.0197889      -0.0207425 
      11.245426      -0.0114442       0.0107289       0.0181199      -0.0212194 
      11.244676      -0.0107289       0.0109673       0.0169278      -0.0214578 
      11.243926      -0.0095368       0.0109673       0.0188352      -0.0212194 
      11.243266      -0.0112057       0.0109673        0.019312      -0.0197889 
      11.242612      -0.0140668       0.0109673       0.0190736       -0.019312 
      11.241958      -0.0159742       0.0112057       0.0190736      -0.0181199 
      11.241298      -0.0143052        0.011921       0.0197889      -0.0183583 
      11.240548      -0.0116826        0.011921        0.019312      -0.0195504 
      11.239894      -0.0095368       0.0121594       0.0188352      -0.0195504 
      11.239241     -0.00739101       0.0128747        0.019312      -0.0188352 
