> Measurement made Fri Oct 13 17:57:42 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at  125.000 K, T1: 124.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -15.059000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.817200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 125K perpendicular 240 GHz 
-
-
-

>BEGIN
      8.0000126      -0.0011921     -0.00023842      -0.0011921      -0.0011921 
      8.0000497     -0.00143052     0.000476841      -0.0011921      -0.0023842 
      8.0001105      -0.0011921     0.000953682      0.00023842     -0.00214578 
      8.0001831      0.00023842      0.00143052      0.00143052      -0.0023842 
      8.0002865      0.00143052      0.00190736       0.0023842     -0.00286104 
      8.0004114       0.0011921      0.00214578      0.00262262     -0.00286104 
      8.0005571     0.000953682       0.0023842      0.00214578     -0.00309946 
       8.000723      0.00166894       0.0023842      0.00166894     -0.00286104 
      8.0009083      0.00023842      0.00309946      0.00166894     -0.00166894 
      8.0011124     -0.00023842      0.00214578       0.0023842      -0.0011921 
      8.0013347      0.00023842      0.00166894      0.00214578     -0.00143052 
      8.0015745     0.000476841     0.000953682      0.00143052      -0.0011921 
      8.0018314      0.00143052     0.000476841     0.000953682    -0.000953682 
      8.0020688      0.00262262               0     0.000953682     -0.00214578 
      8.0023559      0.00262262    -0.000953682      0.00143052     -0.00286104 
      8.0026585      0.00166894      -0.0011921      0.00143052     -0.00286104 
       8.002937      0.00214578               0    -0.000953682     -0.00357629 
      8.0032242      0.00190736     0.000953682     -0.00214578     -0.00357629 
      8.0035665      0.00286104     0.000953682     -0.00166894     -0.00333787 
      8.0039225      0.00190736      0.00214578    -0.000476841     -0.00166894 
      8.0042915     0.000476841      0.00190736      0.00143052      -0.0011921 
      8.0046733    -0.000476841     0.000953682      0.00190736     -0.00023842 
      8.0050162     0.000476841     0.000953682      0.00143052               0 
      8.0054206     0.000715259     0.000476841      0.00166894    -0.000715259 
       8.005786     -0.00143052               0       0.0011921    -0.000953682 
      8.0062117     -0.00286104      0.00023842     0.000953682    -0.000715259 
      8.0066482     -0.00286104     -0.00023842     0.000476841      -0.0011921 
      8.0070951      -0.0023842     0.000476841    -0.000953682      -0.0011921 
      8.0075521      -0.0023842               0    -0.000715259      -0.0011921 
      8.0080189     -0.00190736      -0.0011921     0.000476841     -0.00143052 
      8.0084951    -0.000715259      -0.0011921     0.000476841     -0.00214578 
      8.0089804     0.000476841    -0.000715259    -0.000476841     -0.00166894 
      8.0094746    -0.000715259     0.000476841               0    -0.000715259 
      8.0099124     -0.00166894      0.00143052    -0.000715259               0 
      8.0104223     -0.00143052      0.00214578    -0.000715259    -0.000715259 
      8.0109401     -0.00023842      0.00286104      0.00023842     -0.00190736 
      8.0114657      0.00143052      0.00286104      0.00143052     -0.00333787 
      8.0119987    -0.000476841      0.00166894      0.00190736     -0.00381473 
       8.012539      -0.0011921     0.000953682      0.00262262     -0.00309946 
      8.0130863     -0.00166894     0.000476841      0.00381473    -0.000715259 
      8.0136403    -0.000715259     0.000476841       0.0047684     0.000476841 
      8.0142008     0.000953682     0.000953682      0.00357629     0.000715259 
      8.0147676     0.000715259      0.00143052     0.000715259     0.000953682 
      8.0153405     -0.00023842     0.000953682      0.00023842     0.000953682 
      8.0159194      -0.0011921      0.00023842      0.00190736     0.000715259 
      8.0164288    -0.000715259     -0.00023842      0.00262262               0 
      8.0169471    -0.000715259    -0.000715259      0.00190736    -0.000953682 
      8.0175411    -0.000476841      0.00023842               0     -0.00214578 
      8.0180634     0.000953682     0.000953682     -0.00190736     -0.00309946 
      8.0187447      0.00309946      0.00023842      -0.0023842     -0.00214578 
      8.0192755      0.00381473      0.00023842     -0.00214578      -0.0011921 
      8.0198887      0.00309946     0.000953682    -0.000715259     -0.00166894 
      8.0205065      0.00214578     0.000953682     0.000476841      -0.0023842 
      8.0211287      0.00214578     0.000715259      0.00023842     -0.00166894 
      8.0217551      0.00309946               0      0.00143052    -0.000715259 
      8.0223856      0.00214578    -0.000715259       0.0023842    -0.000476841 
      8.0230201      0.00166894    -0.000476841      0.00214578               0 
      8.0236585       0.0023842               0      0.00214578     0.000476841 
      8.0243005      0.00262262    -0.000715259     0.000476841      0.00143052 
      8.0249462      0.00333787     0.000476841    -0.000476841       0.0023842 
      8.0255173      0.00333787               0     -0.00023842      0.00166894 
      8.0261693      0.00143052    -0.000953682     0.000953682     0.000715259 
      8.0268247     -0.00023842               0      0.00190736     -0.00023842 
        8.03048               0      0.00214578     -0.00166894    -0.000953682 
       8.031154       0.0011921      0.00190736     -0.00166894      -0.0011921 
      8.0317438      0.00286104      0.00190736     -0.00166894     -0.00214578 
      8.0324225      0.00262262      0.00143052      -0.0011921     -0.00214578 
      8.0331035      0.00166894     0.000476841     -0.00166894      -0.0011921 
      8.0337869      0.00166894    -0.000476841    -0.000953682    -0.000953682 
      8.0343901      0.00143052      -0.0011921     0.000476841     -0.00023842 
      8.0349894               0     -0.00166894     0.000953682      0.00023842 
      8.0355959      0.00023842    -0.000953682               0               0 
      8.0362869     0.000715259    -0.000715259    -0.000476841    -0.000715259 
      8.0369799     0.000715259     0.000953682     0.000953682     -0.00143052 
      8.0376748     0.000476841       0.0011921               0      -0.0011921 
      8.0383716     -0.00023842     0.000953682     -0.00023842      -0.0011921 
      8.0389806     0.000953682     0.000715259               0               0 
      8.0396806      0.00190736      0.00143052       0.0011921     0.000715259 
      8.0403822      0.00286104       0.0023842      0.00190736      0.00190736 
      8.0410855      0.00500682      0.00309946     0.000953682     0.000953682 
      8.0417903      0.00429156      0.00262262    -0.000715259    -0.000953682 
      8.0424967      0.00286104      0.00190736     -0.00190736      -0.0011921 
      8.0432045      0.00333787      0.00143052     -0.00166894    -0.000715259 
      8.0439136      0.00286104     0.000953682     -0.00286104    -0.000953682 
      8.0446242     0.000715259     0.000476841     -0.00381473    -0.000715259 
       8.045336     0.000476841    -0.000715259     -0.00190736    -0.000715259 
      8.0469408               0       0.0011921      0.00190736    -0.000476841 
      8.0476566     0.000715259     0.000953682      0.00214578    -0.000476841 
      8.0482875       0.0011921     0.000953682      0.00143052      -0.0011921 
      8.0490916     0.000476841      0.00143052               0     -0.00190736 
      8.0498107               0      0.00143052     -0.00143052     -0.00166894 
      8.0505309      -0.0011921     0.000715259     -0.00166894    -0.000715259 
      8.0511654     -0.00214578     0.000715259               0     0.000476841 
      8.0518874     -0.00214578      0.00166894       0.0011921       0.0011921 
      8.0526103    -0.000715259      0.00214578      0.00214578     0.000953682 
      8.0533341     0.000715259     0.000476841     0.000715259      0.00190736 
      8.0541457       0.0011921    -0.000715259       0.0011921     0.000953682 
      8.0547842      0.00143052    -0.000953682               0     0.000476841 
      8.0554175      0.00190736      -0.0011921      -0.0011921     -0.00023842 
      8.0560514      0.00262262               0     -0.00143052     -0.00166894 
      8.0567791      0.00309946     0.000953682    -0.000953682     -0.00166894 
      8.0575075      0.00286104      0.00166894       0.0011921     -0.00023842 
      8.0582366       0.0011921     0.000715259       0.0011921     -0.00023842 
      8.0589665     0.000476841      0.00023842      0.00023842     -0.00023842 
       8.059697      0.00262262     0.000953682     0.000953682    -0.000715259 
      8.0604281      0.00333787      0.00023842      0.00143052               0 
      8.0611598      0.00262262     -0.00023842     0.000715259      0.00143052 
      8.0618922     0.000476841     -0.00023842       0.0011921      0.00214578 
      8.0626252     0.000476841     0.000953682      0.00214578      0.00166894 
      8.0633587      0.00166894      0.00214578      0.00262262      0.00143052 
      8.0640927      0.00214578      0.00166894      0.00190736      0.00143052 
      8.0648273     0.000715259     0.000476841      0.00166894       0.0011921 
      8.0655624     0.000476841     -0.00023842               0     0.000715259 
       8.066298               0     -0.00143052    -0.000476841    -0.000715259 
      8.0856474      -0.0011921       0.0011921     0.000953682               0 
      8.0863916               0      0.00143052     0.000953682               0 
      8.0871359      0.00143052      0.00214578      0.00143052    -0.000476841 
      8.0878805      0.00190736      0.00357629     0.000953682    -0.000715259 
      8.0886252      0.00166894      0.00357629    -0.000715259    -0.000953682 
      8.0893701      0.00143052      0.00286104      -0.0011921     -0.00166894 
      8.0901152     -0.00023842      0.00286104      -0.0023842     -0.00143052 
      8.0908605    -0.000715259      0.00262262     -0.00309946     -0.00166894 
      8.0916058     -0.00262262      0.00262262      -0.0011921      -0.0023842 
      8.0923514      -0.0011921      0.00309946      0.00143052      -0.0011921 
      8.0930971               0      0.00214578      0.00143052     -0.00143052 
      8.0938429      -0.0011921      0.00023842     -0.00023842      -0.0023842 
      8.0945889     -0.00166894     -0.00166894     -0.00214578     -0.00286104 
       8.095335     0.000953682     -0.00262262     -0.00166894     -0.00286104 
      8.0960812      0.00214578     -0.00214578     0.000953682    -0.000715259 
      8.0968275     0.000476841      -0.0011921      0.00262262     0.000953682 
       8.097574    -0.000953682    -0.000476841      0.00309946     0.000953682 
      8.0983206    -0.000953682      0.00023842      0.00262262    -0.000715259 
      8.0990672     0.000953682               0     0.000953682     -0.00166894 
       8.099814      0.00214578      0.00023842    -0.000715259     -0.00166894 
      8.1005609     0.000953682     0.000476841               0    -0.000476841 
      8.1013079       0.0011921               0     0.000476841    -0.000476841 
       8.102055      0.00143052               0    -0.000715259    -0.000715259 
      8.1027066      0.00262262      0.00166894     0.000953682               0 
      8.1034538      0.00214578      0.00286104      0.00214578     0.000476841 
      8.1042012     0.000476841      0.00214578      0.00286104     0.000953682 
      8.1049486    -0.000953682     0.000953682      0.00262262     0.000953682 
      8.1056961      -0.0011921      0.00143052      0.00309946     0.000715259 
      8.1064437     -0.00190736      0.00309946      0.00381473      -0.0011921 
      8.1128042               0     -0.00166894     0.000953682    -0.000715259 
      8.1135524    -0.000715259    -0.000715259      0.00333787    -0.000715259 
      8.1143905    -0.000476841      0.00023842      0.00190736     -0.00023842 
      8.1151388    -0.000715259     0.000953682    -0.000476841    -0.000715259 
      8.1158872      -0.0011921      0.00143052      -0.0023842     -0.00166894 
      8.1166357     -0.00214578      0.00262262     -0.00023842      -0.0011921 
      8.1173842     -0.00166894      0.00309946      0.00262262      -0.0011921 
      8.1181327     -0.00023842      0.00309946      0.00166894     -0.00214578 
      8.1188813      0.00214578      0.00262262     0.000953682      -0.0011921 
      8.1196299      0.00357629      0.00143052      0.00262262    -0.000476841 
      8.1203786      0.00262262     0.000715259      0.00381473     -0.00166894 
      8.1211273      0.00166894      0.00143052      0.00262262     -0.00286104 
      8.1218761     0.000476841       0.0023842      0.00190736     -0.00381473 
      8.1226248     0.000715259      0.00190736      0.00166894     -0.00405314 
      8.1233737               0      0.00166894     0.000953682     -0.00357629 
      8.1241225    -0.000953682     0.000715259     0.000715259     -0.00357629 
      8.1248714     -0.00214578    -0.000715259     0.000476841     -0.00405314 
      8.1255305     -0.00286104    -0.000715259               0     -0.00286104 
      8.1262794      -0.0023842      0.00023842    -0.000476841    -0.000953682 
      8.1269326      -0.0023842      0.00190736    -0.000715259               0 
      8.1276816     -0.00166894      0.00143052      -0.0011921    -0.000715259 
      8.1284306     -0.00190736     0.000476841    -0.000476841    -0.000953682 
      8.1290898      -0.0011921     0.000476841               0    -0.000953682 
      8.1298389     -0.00166894     0.000715259     0.000476841    -0.000715259 
       8.130588     -0.00309946     0.000953682       0.0011921    -0.000715259 
      8.1313372      -0.0011921      0.00143052      0.00262262      -0.0011921 
      8.1320864      -0.0011921     0.000953682      0.00262262    -0.000715259 
      8.1327397      -0.0023842     0.000476841      0.00143052     -0.00166894 
      8.1334889               0     0.000476841      0.00190736     -0.00214578 
      8.1341422     0.000953682               0      0.00190736     -0.00190736 
      8.1348016     0.000953682    -0.000715259      0.00143052     -0.00166894 
      8.1355508      0.00143052    -0.000715259      0.00309946      -0.0011921 
      8.1363001     0.000953682    -0.000715259      0.00286104     -0.00214578 
      8.1370495      0.00143052    -0.000715259      0.00143052     -0.00286104 
      8.1377988      0.00214578      -0.0011921      0.00166894     -0.00333787 
      8.1384522      0.00166894               0      0.00143052     -0.00309946 
      8.1391057      0.00166894      0.00023842       0.0011921     -0.00286104 
      8.1398551      0.00143052     -0.00023842      0.00309946      -0.0023842 
      8.1406045      0.00023842      0.00023842      0.00309946    -0.000715259 
      8.1414498     -0.00023842     0.000476841     0.000953682    -0.000715259 
      8.1421993               0       0.0011921      0.00023842    -0.000715259 
      8.1429487    -0.000715259       0.0011921     0.000476841    -0.000715259 
      8.1436982      -0.0011921     0.000715259     0.000476841      -0.0011921 
      8.1444477      -0.0023842     0.000715259     0.000953682     -0.00214578 
      8.1451972     -0.00262262     0.000953682     0.000715259      -0.0011921 
      8.1459467     -0.00166894     0.000476841               0    -0.000953682 
      8.1466962      -0.0011921     0.000953682     0.000715259     -0.00190736 
      8.1474457      -0.0023842      0.00143052      0.00309946      -0.0023842 
      8.1481953     -0.00166894     0.000953682      0.00333787     -0.00214578 
      8.1489449    -0.000715259     0.000953682     0.000476841     -0.00143052 
