> Measurement made Fri Oct 13 16:50:10 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at  150.000 K, T1: 149.910 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.812000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.758600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 150K perpendicular 240 GHz 
-
-
-

>BEGIN
      11.499987      0.00429156     -0.00882155      0.00262262     -0.00810629 
       11.49995      0.00596049      -0.0095368      0.00309946     -0.00739101 
      11.499889      0.00596049      -0.0095368      0.00619891     -0.00667575 
      11.499806      0.00548366     -0.00905996      0.00643733     -0.00572208 
        11.4997      0.00500682     -0.00858313      0.00572208     -0.00572208 
      11.499572      0.00309946     -0.00905996      0.00572208     -0.00572208 
      11.499404      0.00143052      -0.0095368      0.00596049     -0.00572208 
      11.499233      0.00190736     -0.00905996      0.00524524     -0.00572208 
      11.499043      0.00143052     -0.00905996      0.00596049     -0.00524524 
      11.498834      0.00143052      -0.0095368      0.00762945     -0.00619891 
      11.498607       0.0023842      -0.0095368      0.00691417     -0.00691417 
      11.498363      0.00143052     -0.00977522      0.00619891     -0.00810629 
      11.498102    -0.000715259      -0.0104905      0.00405314     -0.00786787 
      11.497825     -0.00143052      -0.0095368      0.00429156     -0.00762945 
      11.497532    -0.000476841     -0.00882155      0.00309946     -0.00786787 
      11.497224     0.000953682     -0.00786787      0.00309946     -0.00739101 
      11.496901      0.00286104     -0.00715259      0.00357629     -0.00667575 
      11.496564      0.00405314     -0.00739101      0.00548366     -0.00572208 
      11.496213     0.000953682     -0.00905996      0.00715259      -0.0047684 
      11.495849      0.00023842     -0.00905996      0.00667575     -0.00548366 
      11.495472      0.00214578     -0.00834471      0.00596049     -0.00572208 
      11.495082      0.00262262     -0.00834471      0.00667575     -0.00619891 
      11.494681      0.00357629     -0.00858313      0.00715259     -0.00619891 
      11.494268      0.00262262     -0.00834471      0.00667575     -0.00619891 
      11.493843      0.00262262     -0.00882155      0.00619891     -0.00619891 
      11.493408      0.00309946      -0.0095368      0.00596049     -0.00596049 
      11.492963      0.00309946     -0.00905996       0.0047684     -0.00596049 
      11.492507     0.000953682     -0.00905996      0.00381473     -0.00619891 
      11.492041               0     -0.00905996      0.00429156     -0.00691417 
      11.491566      0.00143052     -0.00929838       0.0047684     -0.00739101 
      11.491082      0.00262262     -0.00977522      0.00572208     -0.00739101 
      11.490589      0.00214578      -0.0100136      0.00452998     -0.00762945 
      11.490088       0.0023842      -0.0104905      0.00357629     -0.00834471 
      11.489578      0.00166894      -0.0104905      0.00381473     -0.00786787 
      11.489127      0.00023842      -0.0102521       0.0047684     -0.00619891 
      11.488602     0.000476841      -0.0107289      0.00548366     -0.00596049 
      11.488138     0.000476841      -0.0112057      0.00524524     -0.00619891 
        11.4876     0.000476841      -0.0112057      0.00524524     -0.00596049 
      11.487054      0.00214578     -0.00977522      0.00596049     -0.00572208 
      11.486502      0.00286104     -0.00882155      0.00882155     -0.00500682 
      11.485943      0.00357629     -0.00810629      0.00905996     -0.00524524 
      11.485378      0.00405314     -0.00739101      0.00786787     -0.00548366 
      11.484807      0.00381473     -0.00762945      0.00596049     -0.00500682 
      11.484229      0.00357629     -0.00834471      0.00572208     -0.00619891 
      11.483717       0.0047684     -0.00834471      0.00619891     -0.00643733 
      11.483204      0.00524524     -0.00882155      0.00596049     -0.00619891 
      11.482688       0.0047684     -0.00858313      0.00762945     -0.00548366 
      11.482162      0.00214578     -0.00834471      0.00715259     -0.00548366 
      11.481561      0.00143052     -0.00786787      0.00572208     -0.00619891 
      11.480954      0.00309946     -0.00786787      0.00524524     -0.00739101 
      11.480342      0.00381473     -0.00834471      0.00500682     -0.00762945 
      11.479652      0.00214578     -0.00786787      0.00429156     -0.00739101 
      11.479031     0.000715259     -0.00810629       0.0047684     -0.00786787 
      11.478406      0.00262262     -0.00786787      0.00596049     -0.00786787 
      11.477776      0.00452998     -0.00834471      0.00762945     -0.00810629 
      11.477143      0.00309946     -0.00834471      0.00762945     -0.00739101 
      11.476505      0.00333787     -0.00858313      0.00715259     -0.00667575 
      11.475864      0.00309946     -0.00929838      0.00667575     -0.00619891 
      11.475219      0.00190736     -0.00905996      0.00333787     -0.00596049 
      11.474571      0.00143052     -0.00810629      0.00214578     -0.00572208 
       11.47392       0.0023842     -0.00739101      0.00166894     -0.00619891 
      11.473265      0.00214578     -0.00810629      0.00190736     -0.00619891 
      11.472607      0.00286104     -0.00882155      0.00166894     -0.00596049 
      11.471945       0.0023842     -0.00905996      0.00262262     -0.00596049 
      11.471281     0.000476841     -0.00834471      0.00333787     -0.00619891 
      11.470614     0.000715259     -0.00858313      0.00381473     -0.00572208 
      11.469945      0.00143052     -0.00882155      0.00429156     -0.00643733 
      11.469272      0.00214578     -0.00858313      0.00381473     -0.00667575 
      11.468597     0.000953682      -0.0100136       0.0047684     -0.00619891 
       11.46792     0.000715259      -0.0100136      0.00381473     -0.00572208 
       11.46724     0.000476841      -0.0095368      0.00262262     -0.00548366 
      11.466558      0.00143052      -0.0095368     0.000953682     -0.00500682 
      11.465873       0.0023842     -0.00905996     0.000476841     -0.00548366 
      11.465187      0.00357629     -0.00834471     0.000953682     -0.00596049 
      11.464498      0.00500682     -0.00786787      0.00214578     -0.00596049 
      11.463807      0.00548366     -0.00786787       0.0023842     -0.00667575 
      11.463114      0.00429156     -0.00786787      0.00357629     -0.00691417 
       11.46242      0.00190736     -0.00882155      0.00452998     -0.00643733 
      11.461723     -0.00023842      -0.0095368      0.00452998     -0.00643733 
      11.461025     -0.00214578     -0.00977522      0.00500682     -0.00596049 
      11.460325      -0.0023842      -0.0100136      0.00596049     -0.00572208 
      11.459623     -0.00166894      -0.0102521      0.00381473     -0.00667575 
       11.45892      -0.0011921      -0.0104905      0.00143052     -0.00715259 
      11.458215    -0.000476841      -0.0107289     0.000715259     -0.00667575 
      11.457509     0.000476841     -0.00905996      0.00333787     -0.00619891 
      11.456801      0.00190736     -0.00786787      0.00596049     -0.00572208 
      11.456092      0.00309946     -0.00786787      0.00715259     -0.00572208 
      11.455382      0.00452998     -0.00834471      0.00572208     -0.00739101 
       11.45467      0.00429156     -0.00905996      0.00429156     -0.00810629 
      11.453957      0.00190736     -0.00882155      0.00452998     -0.00786787 
      11.453242      0.00023842     -0.00834471      0.00429156     -0.00786787 
      11.452613      0.00143052     -0.00786787      0.00333787     -0.00786787 
      11.451896      0.00333787     -0.00667575       0.0011921     -0.00810629 
      11.451178      0.00309946     -0.00715259     0.000953682     -0.00882155 
      11.450373     0.000953682     -0.00834471      0.00262262     -0.00810629 
      11.449654     -0.00023842      -0.0100136      0.00381473     -0.00691417 
      11.448933      0.00023842      -0.0100136       0.0047684     -0.00572208 
      11.448211     0.000953682     -0.00977522      0.00548366      -0.0047684 
      11.447488     0.000476841     -0.00977522       0.0047684      -0.0047684 
      11.446672     0.000476841     -0.00929838      0.00357629     -0.00548366 
      11.445947     0.000715259      -0.0104905      0.00333787     -0.00524524 
      11.445222    -0.000715259      -0.0100136      0.00500682     -0.00500682 
      11.444495     0.000476841     -0.00834471      0.00619891      -0.0047684 
      11.443768      0.00190736     -0.00762945      0.00548366     -0.00524524 
       11.44304      0.00309946     -0.00739101      0.00452998     -0.00548366 
      11.442312      0.00429156     -0.00834471      0.00333787     -0.00572208 
      11.441582       0.0047684     -0.00858313      0.00262262     -0.00572208 
      11.440852      0.00429156     -0.00882155      0.00357629     -0.00548366 
      11.440122      0.00405314     -0.00810629      0.00762945     -0.00500682 
       11.43939      0.00381473     -0.00786787      0.00786787     -0.00643733 
      11.438659      0.00309946     -0.00834471      0.00643733     -0.00667575 
      11.437926      0.00143052     -0.00882155      0.00715259     -0.00596049 
      11.437193      0.00143052     -0.00882155      0.00810629     -0.00500682 
      11.436459      0.00023842     -0.00905996      0.00810629     -0.00572208 
      11.435819     0.000715259     -0.00882155      0.00929838     -0.00619891 
       11.43499      0.00143052     -0.00834471      0.00905996     -0.00691417 
      11.434349       0.0023842     -0.00905996      0.00500682     -0.00739101 
       11.43352      0.00214578     -0.00977522      0.00405314     -0.00643733 
      11.432783      0.00286104      -0.0102521      0.00381473     -0.00619891 
      11.432047      0.00262262      -0.0109673      0.00309946     -0.00619891 
       11.43131      0.00190736     -0.00977522      0.00548366     -0.00500682 
      11.430572      0.00333787     -0.00858313      0.00596049     -0.00548366 
      11.429834      0.00548366     -0.00715259      0.00381473     -0.00619891 
      11.429096      0.00548366     -0.00643733      0.00309946     -0.00619891 
      11.428357      0.00262262     -0.00739101      0.00357629     -0.00572208 
      11.427618      0.00143052     -0.00834471      0.00524524     -0.00500682 
      11.426879               0     -0.00929838      0.00548366     -0.00524524 
      11.426139               0      -0.0095368      0.00452998     -0.00548366 
      11.425399     0.000476841      -0.0100136      0.00429156     -0.00667575 
      11.424753               0      -0.0100136      0.00429156     -0.00667575 
      11.423918     0.000476841      -0.0100136      0.00429156     -0.00619891 
      11.423176      0.00214578      -0.0095368      0.00381473     -0.00619891 
      11.422435      0.00309946      -0.0095368      0.00333787     -0.00667575 
      11.421693      0.00333787     -0.00905996      0.00309946     -0.00667575 
      11.420952      0.00429156     -0.00905996      0.00309946     -0.00619891 
      11.420209      0.00357629     -0.00905996      0.00214578     -0.00619891 
      11.419467      0.00166894     -0.00905996     0.000953682     -0.00619891 
      11.418819      0.00214578     -0.00905996      0.00214578     -0.00667575 
      11.418076      0.00262262     -0.00858313      0.00309946     -0.00619891 
      11.417333     0.000953682     -0.00834471      0.00429156     -0.00524524 
      11.416679      0.00143052     -0.00834471      0.00596049     -0.00524524 
      11.415936      0.00309946     -0.00882155      0.00524524     -0.00572208 
      11.415192      0.00262262      -0.0095368      0.00429156     -0.00643733 
      11.414543      0.00262262      -0.0095368      0.00357629     -0.00667575 
      11.413799       0.0023842     -0.00882155      0.00429156     -0.00739101 
      11.413055      0.00214578     -0.00834471      0.00405314     -0.00786787 
       11.41231      0.00357629     -0.00834471      0.00548366     -0.00739101 
      11.411565      0.00524524     -0.00905996      0.00596049     -0.00786787 
      11.410821      0.00548366      -0.0095368      0.00500682     -0.00786787 
      11.410076       0.0047684      -0.0102521      0.00429156     -0.00691417 
       11.40933      0.00381473      -0.0107289      0.00500682     -0.00572208 
      11.408585      0.00381473      -0.0102521      0.00596049     -0.00619891 
      11.407839      0.00333787      -0.0104905      0.00500682     -0.00715259 
      11.407094      0.00286104      -0.0095368      0.00429156     -0.00786787 
      11.406348      0.00286104     -0.00858313      0.00262262     -0.00786787 
      11.405602      0.00381473     -0.00882155      0.00262262     -0.00762945 
      11.404856      0.00381473     -0.00905996      0.00357629     -0.00739101 
       11.40411      0.00286104     -0.00882155      0.00309946     -0.00739101 
      11.403364      0.00262262     -0.00810629      0.00309946     -0.00667575 
      11.402707      0.00333787     -0.00786787      0.00429156     -0.00619891 
      11.401871      0.00500682     -0.00858313      0.00548366     -0.00619891 
      11.401214      0.00643733     -0.00858313      0.00643733     -0.00667575 
      11.400562      0.00548366     -0.00834471      0.00548366     -0.00691417 
      11.399816       0.0047684     -0.00786787      0.00500682     -0.00715259 
      11.399069      0.00500682     -0.00786787      0.00429156     -0.00715259 
      11.398322       0.0047684     -0.00786787       0.0023842     -0.00762945 
      11.397574      0.00333787     -0.00786787      0.00286104     -0.00739101 
      11.396827      0.00214578     -0.00834471      0.00572208     -0.00643733 
      11.396175      0.00190736     -0.00882155      0.00572208     -0.00643733 
      11.395332      0.00309946     -0.00905996      0.00524524     -0.00667575 
      11.394585      0.00452998     -0.00858313      0.00596049     -0.00667575 
