> Measurement made Sat Oct 14 08:19:15 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   30.000 K, T1:  30.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 22.890000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.677100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 30K perpendicular 240 GHz 
-
-
-

>BEGIN
       11.49999      -0.0137091      -0.0301601               0      -0.0112057 
      11.499962      -0.0131131      -0.0290872      0.00035763      -0.0106097 
      11.499899      -0.0120402      -0.0305178      0.00035763      -0.0104905 
      11.499829      -0.0101328      -0.0333788      0.00035763      -0.0112057 
      11.499728     -0.00894075      -0.0343325    -0.000476841      -0.0104905 
      11.499606     -0.00810629      -0.0342133      0.00035763      -0.0103713 
      11.499463     -0.00667575      -0.0344517      0.00202657      -0.0101328 
      11.499321     -0.00667575      -0.0349286     0.000834469      -0.0108481 
      11.499141     -0.00715259      -0.0343325    -0.000715259      -0.0118018 
      11.498968     -0.00667575      -0.0339749    -0.000834469      -0.0116826 
       11.49878     -0.00679496      -0.0339749     -0.00035763      -0.0114442 
      11.498549     -0.00941759      -0.0333788     -0.00011921      -0.0116826 
        11.4983      -0.0106097       -0.032902    -0.000476841      -0.0126362 
       11.49807     -0.00929838      -0.0327828      0.00226499      -0.0114442 
      11.497791     -0.00596049       -0.032902      0.00250341      -0.0121594 
      11.497535     -0.00560287      -0.0320675      0.00143052      -0.0120402 
      11.497226     -0.00762945      -0.0324252      0.00143052     -0.00989443 
      11.496904     -0.00715259      -0.0331404      0.00178815      -0.0095368 
      11.496608     -0.00643733      -0.0333788               0      -0.0100136 
      11.496304     -0.00739101      -0.0333788     -0.00166894      -0.0095368 
      11.495943     -0.00774866       -0.032902     -0.00023842      -0.0095368 
      11.495615     -0.00774866      -0.0321867      0.00143052      -0.0104905 
       11.49528     -0.00703338      -0.0331404      0.00035763      -0.0112057 
      11.494885     -0.00560287      -0.0332596     -0.00107289      -0.0116826 
       11.49453     -0.00512603      -0.0331404     -0.00131131      -0.0114442 
      11.494113      -0.0060797      -0.0337365     -0.00143052      -0.0100136 
      11.493685     -0.00739101      -0.0327828     -0.00298025      -0.0102521 
      11.493299     -0.00739101       -0.032306     -0.00333787      -0.0102521 
      11.492851     -0.00715259      -0.0324252      -0.0023842      -0.0101328 
      11.492452      -0.0072718      -0.0317099    -0.000953682      -0.0108481 
      11.491985      -0.0072718      -0.0311139    -0.000715259      -0.0113249 
       11.49157      -0.0072718      -0.0315907    -0.000953682      -0.0106097 
      11.491145     -0.00858313      -0.0319483     -0.00154973     -0.00882155 
      11.490653     -0.00894075      -0.0320675     -0.00202657     -0.00774866 
      11.490152     -0.00774866      -0.0327828     -0.00190736      -0.0082255 
      11.489643     -0.00667575      -0.0325444     -0.00035763     -0.00917917 
