> Measurement made Sat Oct 14 08:19:15 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   30.000 K, T1:  30.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 22.890000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.677100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 30K perpendicular 240 GHz 
-
-
-

>BEGIN
      8.0000097     -0.00643733      -0.0275375     -0.00441077       -0.027299 
      8.0000382     -0.00548366      -0.0271798      -0.0036955      -0.0275375 
      8.0000933     -0.00429156      -0.0269414     -0.00154973      -0.0276567 
      8.0001602     -0.00321867       -0.026703     -0.00035763      -0.0280143 
      8.0002579     -0.00321867      -0.0271798     -0.00131131      -0.0281335 
      8.0003619      -0.0036955      -0.0271798      -0.0011921      -0.0278951 
      8.0004999     -0.00500682      -0.0268222    -0.000834469      -0.0281335 
      8.0006369     -0.00596049      -0.0257493    -0.000953682      -0.0278951 
      8.0007904     -0.00584128      -0.0256301     -0.00154973      -0.0280143 
      8.0009828     -0.00655654      -0.0263454     -0.00190736      -0.0275375 
      8.0011938     -0.00584128      -0.0264646     -0.00202657      -0.0268222 
      8.0013925     -0.00464919      -0.0264646     -0.00107289      -0.0257493 
      8.0016366     -0.00441077      -0.0263454     -0.00166894      -0.0247956 
      8.0018976     -0.00488761      -0.0249149     -0.00154973      -0.0246764 
      8.0021385     -0.00524524      -0.0240804    -0.000715259      -0.0250341 
      8.0023938     -0.00655654      -0.0258685      0.00011921      -0.0252725 
      8.0026983     -0.00584128      -0.0268222    -0.000715259      -0.0249149 
      8.0029759     -0.00548366      -0.0270606    -0.000953682      -0.0249149 
      8.0032645     -0.00596049      -0.0270606    -0.000953682       -0.026107 
      8.0036085     -0.00703338      -0.0263454     -0.00214578      -0.0275375 
      8.0039661     -0.00643733      -0.0271798      -0.0036955      -0.0281335 
      8.0042915     -0.00631812       -0.028968     -0.00464919       -0.027299 
      8.0046733     -0.00560287      -0.0296832     -0.00274183      -0.0269414 
      8.0050162     -0.00464919      -0.0288488      0.00035763      -0.0258685 
      8.0053715     -0.00333787      -0.0292064      0.00131131      -0.0251533 
      8.0057323    -0.000715259      -0.0296832      0.00023842      -0.0262262 
      8.0061566    -0.000834469      -0.0298024     -0.00131131      -0.0255109 
      8.0065917     -0.00333787      -0.0302793     -0.00166894      -0.0249149 
      8.0070373     -0.00429156      -0.0311139     -0.00202657      -0.0237228 
      8.0074342     -0.00488761      -0.0303985     -0.00143052      -0.0230075 
      8.0078423     -0.00500682      -0.0290872     -0.00143052      -0.0233651 
       8.008315     -0.00524524      -0.0288488     -0.00143052      -0.0251533 
      8.0087347     -0.00643733      -0.0277759    -0.000953682       -0.026703 
      8.0091613     -0.00643733      -0.0274183     0.000476841      -0.0276567 
      8.0096586      -0.0060797       -0.027299      0.00166894      -0.0275375 
