> Measurement made Sat Oct 14 13:05:29 2023
> Main magnet sweep 12.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 12.00000 T 
> ITC set at    5.000 K, T1:   4.997 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.480000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.102300 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 5K perpendicular 240 GHz full field scan
-
-
-

>BEGIN
      11.999987      0.00226499      -0.0036955      0.00452998      -0.0129939 
       11.99995      0.00035763      -0.0047684      0.00393394      -0.0137091 
      11.999889      0.00178815      -0.0047684       0.0036955      -0.0132323 
      11.999806      0.00548366     -0.00357629      0.00488761      -0.0132323 
        11.9997      0.00572208     -0.00214578       0.0047684      -0.0121594 
      11.999572      0.00488761     -0.00131131      0.00512603      -0.0115634 
      11.999424       0.0036955     -0.00214578      0.00429156      -0.0122786 
      11.999256      0.00429156      -0.0023842      0.00393394      -0.0127555 
      11.999068      0.00202657     -0.00309946      0.00262262       -0.012517 
      11.998889               0     -0.00333787     0.000834469      -0.0120402 
      11.998697               0     -0.00417235      0.00023842      -0.0118018 
      11.998489      0.00023842     -0.00500682       0.0011921       -0.012517 
      11.998236     0.000715259     -0.00488761       0.0023842      -0.0127555 
      11.998002      0.00190736     -0.00417235      0.00309946      -0.0126362 
      11.997756      0.00190736      -0.0036955       0.0023842      -0.0122786 
      11.997496      0.00154973     -0.00321867      0.00226499      -0.0118018 
      11.997226      0.00107289     -0.00309946      0.00333787      -0.0118018 
      11.996904       0.0011921     -0.00286104      0.00429156      -0.0120402 
      11.996567      0.00190736     -0.00262262      0.00512603      -0.0121594 
      11.996216      0.00357629     -0.00226499      0.00500682      -0.0127555 
      11.995852      0.00262262      -0.0023842      0.00417235      -0.0122786 
      11.995521       0.0011921     -0.00262262      0.00619891      -0.0115634 
      11.995133      0.00250341     -0.00309946      0.00655654      -0.0108481 
      11.994733      0.00381473     -0.00381473      0.00548366      -0.0109673 
      11.994321      0.00309946     -0.00441077      0.00190736      -0.0122786 
      11.993898      0.00250341     -0.00393394      0.00202657       -0.012517 
      11.993521      0.00262262     -0.00393394      0.00154973      -0.0132323 
      11.993078      0.00357629     -0.00405314      0.00107289      -0.0129939 
      11.992625      0.00333787     -0.00417235      0.00286104      -0.0122786 
      11.992161      0.00309946     -0.00393394      0.00452998       -0.012517 
      11.991689      0.00226499     -0.00333787      0.00286104      -0.0137091 
      11.991207      0.00309946     -0.00381473      0.00298025      -0.0139475 
       11.99078      0.00250341     -0.00429156      0.00417235      -0.0131131 
      11.990281      0.00011921     -0.00381473      0.00584128      -0.0126362 
      11.989836      -0.0011921     -0.00393394      0.00560287      -0.0121594 
      11.989388      0.00059605     -0.00309946       0.0060797      -0.0128747 
      11.988934      0.00298025     -0.00298025      0.00572208      -0.0137091 
      11.988471      0.00345708     -0.00321867      0.00417235      -0.0134707 
      11.987937       0.0023842     -0.00321867       0.0036955      -0.0120402 
      11.987396      0.00131131     -0.00298025      0.00464919      -0.0116826 
      11.986781    -0.000715259     -0.00357629      0.00250341      -0.0122786 
      11.986226    -0.000834469     -0.00321867      0.00298025      -0.0122786 
      11.985732               0     -0.00333787      0.00226499      -0.0113249 
      11.985164     0.000834469     -0.00488761       0.0023842      -0.0103713 
       11.98459      0.00107289     -0.00560287      0.00321867      -0.0103713 
      11.984011      0.00143052     -0.00429156      0.00286104      -0.0112057 
      11.983426      0.00059605      -0.0023842      0.00309946      -0.0108481 
      11.982835      0.00131131     -0.00262262      0.00298025      -0.0103713 
      11.982239       0.0036955     -0.00381473      0.00298025      -0.0113249 
      11.981638      0.00405314     -0.00417235      0.00286104       -0.012517 
      11.981032      0.00357629     -0.00488761      0.00429156       -0.012517 
      11.980421      0.00417235     -0.00536445      0.00572208      -0.0121594 
      11.979805      0.00345708     -0.00393394      0.00643733      -0.0114442 
      11.979185      0.00202657     -0.00381473      0.00512603      -0.0113249 
      11.978641       0.0011921     -0.00429156      0.00321867      -0.0118018 
      11.977933      0.00023842     -0.00405314      0.00405314      -0.0122786 
        11.9773     0.000834469     -0.00405314       0.0036955      -0.0116826 
      11.976745      0.00107289     -0.00464919      0.00286104       -0.011921 
      11.976024      0.00321867     -0.00429156     -0.00023842      -0.0132323 
       11.97538      0.00488761     -0.00357629    -0.000715259      -0.0131131 
      11.974732      0.00357629      -0.0036955      0.00059605      -0.0128747 
      11.974081      0.00023842      -0.0047684      0.00023842      -0.0131131 
      11.973427     -0.00166894     -0.00464919     0.000715259      -0.0139475 
       11.97277    -0.000476841     -0.00500682      0.00143052      -0.0143052 
       11.97211      0.00190736     -0.00524524       0.0011921      -0.0137091 
      11.971531      0.00298025     -0.00500682      0.00226499      -0.0132323 
       11.97078      0.00381473     -0.00464919      0.00298025      -0.0118018 
      11.970111      0.00309946      -0.0036955       0.0036955      -0.0112057 
      11.969439      0.00309946      -0.0036955      0.00405314      -0.0122786 
      11.968765      0.00214578     -0.00333787       0.0036955      -0.0127555 
      11.968088      0.00262262     -0.00298025      0.00441077      -0.0121594 
      11.967409      0.00154973     -0.00357629      0.00298025      -0.0115634 
      11.966815      0.00059605      -0.0036955     -0.00011921      -0.0128747 
      11.966131      0.00131131     -0.00333787     -0.00202657      -0.0138283 
      11.965528      0.00357629     -0.00321867    -0.000834469      -0.0133515 
