> Measurement made Wed Feb 21 17:11:29 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  100.000 K, T1:  99.920 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.260200 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
100K

>BEGIN
      6.0000084      0.00554326     -0.00524524      -0.0036359     -0.00345708 
      6.0000331      0.00637773     -0.00524524     -0.00292064     -0.00250341 
      6.0000737      0.00637773     -0.00500682     -0.00315906     -0.00286104 
      6.0001216      0.00548366     -0.00488761     -0.00327827     -0.00333787 
      6.0001904      0.00542405     -0.00524524     -0.00351669     -0.00321867 
      6.0002628      0.00572208     -0.00560287     -0.00345708     -0.00250341 
      6.0003452      0.00572208     -0.00572208     -0.00333787     -0.00178815 
      6.0004524      0.00566247     -0.00560287     -0.00345708     -0.00202657 
      6.0005566      0.00548366     -0.00524524     -0.00411275      -0.0023842 
      6.0006715      0.00518563     -0.00560287     -0.00429156     -0.00286104 
      6.0008136      0.00518563     -0.00548366     -0.00375511     -0.00321867 
      6.0009676      0.00619891      -0.0047684     -0.00315906     -0.00333787 
      6.0011332      0.00715259     -0.00441077     -0.00298025      -0.0036955 
      6.0013099      0.00721219     -0.00452998     -0.00280143     -0.00405314 
      6.0014974      0.00679496     -0.00464919     -0.00303985     -0.00429156 
      6.0016953      0.00625852     -0.00512603     -0.00303985     -0.00381473 
      6.0019032      0.00613931     -0.00560287     -0.00250341     -0.00333787 
      6.0020925      0.00625852     -0.00548366      -0.0024438     -0.00309946 
      6.0023184      0.00596049     -0.00488761      -0.0023842     -0.00345708 
      6.0025228      0.00590089      -0.0047684      -0.0023246      -0.0036955 
      6.0027972      0.00596049     -0.00536445     -0.00309946     -0.00417235 
      6.0030496      0.00566247     -0.00584128     -0.00345708     -0.00381473 
      6.0033102      0.00548366     -0.00584128     -0.00339748     -0.00321867 
      6.0035788      0.00542405     -0.00560287     -0.00303985     -0.00298025 
      6.0038193      0.00584128     -0.00560287     -0.00268222     -0.00274183 
      6.0041021      0.00613931     -0.00524524     -0.00274183     -0.00309946 
      6.0043921      0.00637773     -0.00441077     -0.00321867     -0.00286104 
      6.0046891      0.00667575     -0.00500682     -0.00327827     -0.00274183 
      6.0049561      0.00667575     -0.00488761     -0.00286104     -0.00298025 
      6.0052657      0.00667575     -0.00488761     -0.00321867     -0.00333787 
      6.0055815      0.00637773     -0.00464919     -0.00351669     -0.00357629 
      6.0059036      0.00643733     -0.00417235     -0.00292064     -0.00393394 
      6.0061892      0.00697377     -0.00441077     -0.00226499     -0.00381473 
