> Measurement made Thu Feb 22 16:45:27 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  112.500 K, T1: 112.560 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.337220 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
112.5K
>BEGIN
      6.0000064      0.00315906       0.0047684       0.0012517    -0.000953682 
      6.0000255      0.00333787      0.00512603      0.00101329    -0.000715259 
      6.0000566      0.00321867      0.00536445     0.000774864     -0.00035763 
      6.0000995      0.00399354      0.00548366      0.00059605     -0.00035763 
      6.0001628      0.00452998      0.00536445      0.00059605     -0.00143052 
      6.0002406      0.00381473      0.00488761       0.0011325      -0.0023842 
      6.0003325       0.0036955      0.00452998       0.0011921      -0.0023842 
       6.000438      0.00399354      0.00488761      0.00154973     -0.00202657 
      6.0005566      0.00464919      0.00512603      0.00101329     -0.00202657 
      6.0006879      0.00452998      0.00441077     0.000655655     -0.00250341 
      6.0008136      0.00405314      0.00405314     0.000298025     -0.00298025 
      6.0009676      0.00399354      0.00417235     0.000834469     -0.00214578 
      6.0011332      0.00387433       0.0047684      0.00154973     -0.00107289 
      6.0013099      0.00339748      0.00500682      0.00166894     -0.00059605 
      6.0014974      0.00309946      0.00536445      0.00143052     -0.00023842 
      6.0016694      0.00298025      0.00536445      0.00149012    -0.000476841 
      6.0018761      0.00327827      0.00536445     0.000894073    -0.000834469 
      6.0020925       0.0036359      0.00572208     0.000298025     -0.00107289 
      6.0023184       0.0036359      0.00619891      0.00035763    -0.000834469 
      6.0025228      0.00357629      0.00560287     0.000715259               0 
      6.0027359      0.00327827      0.00488761      0.00107289               0 
      6.0029537      0.00303985      0.00405314       0.0011921               0 
      6.0032113      0.00286104      0.00405314      0.00101329     -0.00023842 
      6.0034446       0.0024438      0.00429156      0.00107289               0 
      6.0036818      0.00250341      0.00405314      0.00166894               0 
      6.0039609      0.00262262      0.00381473      0.00172854      0.00011921 
      6.0042103      0.00268222      0.00405314       0.0012517      0.00011921 
      6.0044675      0.00268222      0.00429156     0.000953682    -0.000476841 
      6.0047277      0.00274183       0.0047684       0.0011921     -0.00131131 
      6.0050323      0.00262262      0.00512603      0.00131131     -0.00154973 
      6.0053032       0.0023246      0.00524524      0.00160933     -0.00107289 
      6.0056199      0.00202657      0.00524524      0.00196697    -0.000834469 
      6.0059426      0.00196697      0.00536445      0.00172854    -0.000834469 
      6.0062315       0.0023246      0.00488761     0.000715259     -0.00059605 
      6.0065652      0.00274183      0.00512603      0.00059605               0 
      6.0069044      0.00327827      0.00524524      0.00101329      0.00023842 
