> Measurement made Thu Feb 22 20:10:34 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  140.000 K, T1: 140.020 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.292150 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
140K
>BEGIN
      6.0000084      -0.0047088      0.00512603     0.000953682      0.00262262 
      6.0000331     -0.00506642      0.00405314      0.00131131      0.00214578 
      6.0000737     -0.00530484       0.0036955      0.00149012      0.00202657 
      6.0001216     -0.00560287      0.00345708      0.00143052      0.00226499 
      6.0001904     -0.00554326      0.00345708      0.00154973      0.00226499 
      6.0002735     -0.00560287      0.00357629      0.00172854      0.00202657 
      6.0003582     -0.00554326      0.00381473      0.00154973      0.00202657 
      6.0004671     -0.00560287      0.00321867       0.0011921      0.00166894 
       6.000589     -0.00578168      0.00262262      0.00154973      0.00131131 
      6.0007235     -0.00578168      0.00262262       0.0012517      0.00131131 
      6.0008507     -0.00554326      0.00321867     0.000178815     0.000834469 
      6.0010076     -0.00524524      0.00345708    -0.000417234     0.000715259 
      6.0011552     -0.00500682      0.00309946    -0.000953682     0.000476841 
      6.0013099     -0.00512603      0.00357629    -0.000834469     0.000953682 
      6.0014974     -0.00518563      0.00429156    -0.000536445      0.00190736 
      6.0016694     -0.00518563      0.00452998     0.000298025      0.00226499 
      6.0018761     -0.00560287      0.00452998     0.000715259      0.00166894 
      6.0020925     -0.00590089      0.00488761     0.000178815     0.000476841 
      6.0023184     -0.00560287      0.00524524    -0.000953682      0.00023842 
      6.0025534     -0.00548366      0.00512603    -0.000774864      0.00011921 
      6.0027972     -0.00524524      0.00393394     -0.00011921      0.00023842 
      6.0030496     -0.00500682      0.00345708     0.000298025     0.000715259 
      6.0033102     -0.00530484      0.00345708     0.000417234      0.00023842 
      6.0035788     -0.00560287      0.00405314      0.00059605      0.00059605 
      6.0038551     -0.00542405      0.00381473     0.000417234      0.00059605 
      6.0041044     -0.00560287      0.00345708    -0.000178815      0.00059605 
      6.0043945     -0.00548366      0.00345708     -0.00023842     0.000715259 
      6.0046531     -0.00500682      0.00381473     -0.00023842     0.000953682 
      6.0049561     -0.00506642      0.00464919    -5.96051e-05      0.00143052 
      6.0052657     -0.00518563      0.00512603    -5.96051e-05     0.000953682 
      6.0055815      -0.0047684      0.00524524     5.96051e-05      0.00059605 
       6.005862     -0.00464919      0.00488761     0.000476841     0.000953682 
      6.0061892     -0.00542405      0.00464919     0.000655655      0.00143052 
      6.0064819     -0.00596049      0.00452998     0.000774864      0.00202657 
