> Measurement made Wed Feb 21 15:55:39 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  160.000 K, T1: 160.060 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 17.964340 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
160K

>BEGIN
      6.0000084     -0.00250341      0.00226499       0.0023842    -0.000476841 
      6.0000331     -0.00280143      0.00214578       0.0023842    -0.000953682 
      6.0000737     -0.00292064       0.0023842      0.00298025    -0.000476841 
      6.0001296     -0.00327827      0.00226499      0.00357629      0.00023842 
      6.0002002     -0.00303985      0.00178815      0.00321867     -0.00023842 
      6.0002852     -0.00274183      0.00190736       0.0023842     -0.00143052 
       6.000384      -0.0024438       0.0023842      0.00208618     -0.00178815 
      6.0004961     -0.00214578      0.00262262      0.00190736    -0.000953682 
      6.0006212     -0.00196697      0.00298025      0.00214578     -0.00023842 
      6.0007587     -0.00262262      0.00202657      0.00268222    -0.000715259 
      6.0009083     -0.00321867      0.00178815      0.00256301     -0.00143052 
      6.0010696     -0.00351669      0.00202657      0.00202657     -0.00131131 
      6.0012422      -0.0036359       0.0023842      0.00160933     -0.00107289 
      6.0014257     -0.00345708      0.00214578      0.00196697    -0.000834469 
      6.0016197     -0.00315906      0.00178815      0.00309946     -0.00131131 
      6.0018239     -0.00298025      0.00202657      0.00333787     -0.00154973 
      6.0020379     -0.00298025      0.00286104      0.00298025    -0.000715259 
      6.0022324     -0.00280143      0.00262262      0.00303985               0 
       6.002464     -0.00274183      0.00262262      0.00315906     0.000953682 
      6.0027045     -0.00280143      0.00286104      0.00274183      0.00178815 
      6.0029537      -0.0024438       0.0023842      0.00214578      0.00143052 
      6.0032113     -0.00280143      0.00131131      0.00268222      0.00059605 
      6.0034769     -0.00351669      0.00059605       0.0036955     0.000715259 
      6.0037503     -0.00315906      0.00035763      0.00405314     0.000953682 
      6.0040313     -0.00280143     0.000715259      0.00393394     0.000715259 
      6.0043195     -0.00268222      0.00143052      0.00339748      0.00035763 
      6.0046148     -0.00321867      0.00202657      0.00280143     -0.00035763 
       6.004917     -0.00339748      0.00262262      0.00256301    -0.000476841 
      6.0052257     -0.00327827      0.00309946      0.00268222    -0.000476841 
      6.0055408     -0.00321867      0.00286104       0.0024438    -0.000953682 
       6.005862     -0.00315906      0.00250341      0.00256301    -0.000715259 
      6.0061892     -0.00333787      0.00262262      0.00262262     -0.00035763 
      6.0065221     -0.00345708      0.00274183      0.00274183     0.000715259 
      6.0068606     -0.00298025      0.00274183      0.00250341       0.0011921 
