> Measurement made Fri Feb 23 11:12:53 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  180.000 K, T1: 179.990 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 17.998460 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
180K
-
-
-

>BEGIN
      6.0000065     0.000178815      0.00572208       0.0012517     -0.00286104 
      6.0000293     0.000298025      0.00512603     0.000894073     -0.00274183 
      6.0000622     0.000298025      0.00405314      0.00035763     -0.00250341 
      6.0001143    -0.000298025      0.00357629     0.000953682     -0.00274183 
      6.0001725     -0.00023842       0.0036955      0.00154973     -0.00298025 
      6.0002413     -0.00023842      0.00405314      0.00160933     -0.00298025 
      6.0003333    -0.000774864      0.00464919      0.00107289     -0.00262262 
      6.0004389    -0.000834469      0.00512603     0.000298025     -0.00274183 
      6.0005576     -0.00131131      0.00548366      0.00035763     -0.00262262 
       6.000689     -0.00149012      0.00512603     0.000894073     -0.00226499 
      6.0008136     -0.00131131       0.0047684      0.00178815     -0.00190736 
      6.0009485    -0.000476841      0.00464919      0.00202657     -0.00190736 
      6.0011127     0.000417234      0.00452998      0.00143052     -0.00154973 
      6.0012651     0.000894073      0.00500682      0.00131131     -0.00107289 
      6.0014499      0.00035763      0.00572208     0.000953682     -0.00202657 
      6.0016453     5.96051e-05      0.00536445      0.00101329     -0.00262262 
      6.0018507    -0.000655655      0.00452998      0.00172854     -0.00333787 
       6.002066     -0.00035763       0.0047684      0.00202657     -0.00381473 
      6.0022908      0.00035763      0.00548366      0.00178815      -0.0036955 
      6.0025247     0.000774864      0.00548366      0.00166894     -0.00357629 
      6.0027675      0.00035763      0.00584128       0.0012517     -0.00321867 
      6.0030189    -0.000536445      0.00572208       0.0011325     -0.00274183 
      6.0032785    -0.000894073      0.00488761      0.00160933     -0.00250341 
      6.0035461     -0.00154973      0.00429156      0.00154973     -0.00262262 
      6.0037859     -0.00154973      0.00405314      0.00131131     -0.00274183 
      6.0040678     -0.00149012      0.00452998     0.000834469     -0.00345708 
      6.0043219     -0.00214578      0.00429156     0.000178815     -0.00274183 
       6.004579      -0.0023246      0.00381473     5.96051e-05     -0.00250341 
      6.0048804     -0.00149012      0.00441077     0.000417234     -0.00250341 
      6.0051883     -0.00101329      0.00464919     0.000894073     -0.00190736 
      6.0055026     -0.00143052      0.00464919       0.0012517     -0.00107289 
      6.0057844     -0.00178815      0.00500682      0.00149012     -0.00107289 
      6.0060681    -0.000655655      0.00464919      0.00154973     -0.00143052 
       6.006399     5.96051e-05      0.00452998      0.00166894     -0.00166894 
      6.0066921     0.000298025      0.00524524      0.00154973     -0.00190736 
      6.0069921               0      0.00572208       0.0011921     -0.00190736 
      6.0072934    -0.000417234      0.00596049      0.00131131     -0.00214578 
      6.0075987     -0.00023842      0.00584128      0.00190736     -0.00214578 
      6.0079534    -5.96051e-05       0.0060797       0.0023246      -0.0023842 
      6.0082696     -0.00011921      0.00619891      0.00149012     -0.00226499 
      6.0085865    -0.000894073      0.00619891     0.000953682     -0.00143052 
      6.0089541      -0.0011325      0.00584128     0.000953682     -0.00107289 
      6.0093262      -0.0011921      0.00524524      0.00149012    -0.000834469 
      6.0097025      -0.0011921       0.0047684      0.00208618    -0.000953682 
      6.0100829    -0.000834469      0.00405314      0.00149012     -0.00143052 
       6.010421    -0.000178815      0.00321867       0.0012517     -0.00190736 
      6.0108088     -0.00011921      0.00381473      0.00143052     -0.00250341 
      6.0112004      0.00011921      0.00452998      0.00154973     -0.00262262 
      6.0115956    -0.000536445      0.00512603      0.00137091      -0.0023842 
       6.011943     -0.00107289      0.00512603      0.00184775      -0.0023842 
      6.0123446     -0.00131131      0.00512603      0.00220539     -0.00250341 
      6.0126975     -0.00131131      0.00536445      0.00178815     -0.00286104 
      6.0131051    -0.000536445      0.00631812      0.00107289     -0.00202657 
      6.0135158    -0.000655655      0.00643733     0.000715259     -0.00143052 
      6.0139295     -0.00023842      0.00572208      0.00131131     -0.00131131 
       6.014346     0.000298025      0.00584128      0.00160933     -0.00143052 
      6.0147654      0.00035763      0.00512603      0.00208618     -0.00202657 
      6.0151874     -0.00011921       0.0036955      0.00220539     -0.00309946 
      6.0155609    -0.000715259      0.00381473      0.00172854     -0.00298025 
       6.015933     -0.00101329      0.00488761      0.00131131     -0.00250341 
      6.0163069     -0.00149012      0.00524524      0.00160933     -0.00274183 
      6.0167379     -0.00184775      0.00560287      0.00214578     -0.00309946 
      6.0171191     -0.00196697      0.00536445      0.00208618     -0.00333787 
      6.0174985     -0.00178815      0.00512603      0.00149012     -0.00298025 
      6.0179357     -0.00160933      0.00524524     0.000774864     -0.00286104 
      6.0183221      -0.0011921      0.00548366     0.000476841     -0.00274183 
      6.0187631     -0.00166894      0.00512603     0.000774864     -0.00309946 
      6.0192061     -0.00137091      0.00464919      0.00137091     -0.00333787 
       6.019651    -0.000834469      0.00417235     0.000953682     -0.00274183 
      6.0200405    -0.000536445      0.00381473     0.000655655     -0.00214578 
      6.0204887     -0.00023842      0.00357629      0.00101329     -0.00190736 
       6.020881               0      0.00393394       0.0012517      -0.0023842 
      6.0212782    -0.000476841      0.00429156      0.00149012      -0.0023842 
      6.0217311    -0.000476841      0.00524524      0.00160933     -0.00286104 
      6.0221273     -0.00035763      0.00548366      0.00101329     -0.00286104 
      6.0225246               0      0.00536445      0.00107289      -0.0023842 
