> Measurement made Thu Feb 22 08:11:26 2024
> Main magnet sweep  6.00000 to  9.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at   80.000 K, T1:  80.000 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 38850.000000 Hz, Phase 178.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38849.600000 Hz, Phase -0.330000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 18.811510 mA 
> Source Freq 240 GHz (dial 15.00), LO Freq 235.8 GHz (dial 6125) 
> Martin Pupplet setting 6.62 mm, Attenuator Grid 14 dB
> Source attn 15 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 9 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn5Sn6 in plane orientation 240 GHz
80K

>BEGIN
      6.0000084      0.00399354      0.00774866      0.00709298      0.00524524 
      6.0000331      0.00411275      0.00858313       0.0072718      0.00536445 
      6.0000737      0.00405314      0.00751021      0.00679496      0.00524524 
      6.0001296      0.00399354      0.00655654      0.00667575      0.00560287 
      6.0002002       0.0047684      0.00655654      0.00637773      0.00584128 
      6.0002852      0.00536445      0.00679496      0.00619891      0.00536445 
       6.000384      0.00494721      0.00643733      0.00667575      0.00488761 
      6.0004961      0.00452998      0.00667575      0.00709298      0.00524524 
      6.0006212      0.00464919      0.00774866      0.00655654      0.00524524 
      6.0007587      0.00482801       0.0082255      0.00631812      0.00512603 
      6.0009083      0.00464919      0.00798708      0.00625852      0.00488761 
      6.0010696      0.00405314      0.00751021      0.00643733      0.00500682 
      6.0012422      0.00375511      0.00715259      0.00631812      0.00488761 
      6.0014257       0.0036955      0.00631812      0.00637773       0.0047684 
      6.0015943      0.00333787      0.00631812      0.00613931      0.00596049 
      6.0017972      0.00357629      0.00679496      0.00619891      0.00643733 
        6.00201      0.00458959      0.00679496      0.00649694      0.00596049 
      6.0022034      0.00512603      0.00715259      0.00613931      0.00619891 
      6.0024338      0.00536445      0.00786787      0.00584128       0.0060797 
      6.0026733      0.00506642      0.00810629      0.00590089      0.00572208 
      6.0029214      0.00464919      0.00762945       0.0060201      0.00572208 
      6.0031466      0.00441077      0.00762945      0.00631812      0.00512603 
      6.0034103      0.00429156      0.00810629      0.00625852      0.00500682 
      6.0036466      0.00458959       0.0082255      0.00637773      0.00524524 
      6.0038887      0.00458959      0.00810629      0.00649694      0.00596049 
      6.0041734      0.00452998      0.00810629      0.00703338      0.00667575 
      6.0044651      0.00458959      0.00762945      0.00691417      0.00691417 
      6.0047639      0.00435117      0.00774866      0.00625852      0.00619891 
      6.0050693      0.00441077       0.0082255      0.00643733      0.00584128 
      6.0053434      0.00441077      0.00834471      0.00661614      0.00584128 
      6.0056199      0.00441077       0.0082255      0.00625852      0.00536445 
      6.0059426      0.00393394      0.00774866      0.00637773      0.00524524 
      6.0062315      0.00423196      0.00751021      0.00661614      0.00548366 
      6.0065221       0.0047088      0.00786787      0.00619891      0.00584128 
      6.0068606      0.00530484      0.00846392      0.00619891      0.00596049 
      6.0072045       0.0060201      0.00834471      0.00661614      0.00548366 
