> Measurement made Fri Aug 16 14:01:08 2024
> Main magnet sweep  6.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at    6.000 K, T1:   5.984 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 16.781360 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 27 degree from perp
Rotator Setting 980
6K 0-6T

>BEGIN
 
      4.5006004       0.0528099      0.00870234     -0.00929838       0.0036955 
      4.4999405       0.0529888      0.00870234     -0.00923878      0.00405314 
      4.4991906       0.0529888      0.00840431     -0.00917917      0.00405314 
      4.4985366       0.0525715       0.0082851     -0.00905996       0.0036359 
      4.4978827       0.0522139      0.00834471     -0.00858313      0.00345708 
      4.4971328       0.0522735      0.00834471      -0.0082255       0.0036955 
      4.4964729       0.0525119      0.00834471      -0.0082255      0.00339748 
       4.495723       0.0526907      0.00858313     -0.00834471      0.00339748 
      4.4950691       0.0523331      0.00852352     -0.00840431      0.00357629 
      4.4944092       0.0517967      0.00882155     -0.00870234       0.0036955 
      4.4936593        0.051439      0.00900036     -0.00864273      0.00381473 
      4.4929094       0.0519755      0.00846392      -0.0082851      0.00357629 
      4.4922555       0.0522139      0.00804669     -0.00774866      0.00345708 
      4.4915056       0.0523927      0.00798708     -0.00756982      0.00375511 
      4.4908517       0.0524523      0.00798708     -0.00780827      0.00441077 
      4.4901018       0.0525715      0.00804669     -0.00798708      0.00506642 
      4.4894419       0.0529292      0.00834471      -0.0082851      0.00482801 
       4.488692       0.0527503       0.0082851     -0.00852352      0.00482801 
      4.4879421       0.0522735      0.00810629     -0.00870234      0.00464919 
      4.4872882       0.0520947      0.00745061     -0.00870234      0.00441077 
      4.4866343       0.0519159      0.00667575     -0.00876194      0.00458959 
      4.4859744       0.0519159      0.00661614     -0.00888115      0.00429156 
      4.4852245       0.0517967       0.0072718     -0.00900036      0.00464919 
      4.4845706       0.0518563      0.00816589     -0.00888115      0.00464919 
      4.4838207       0.0518563       0.0082851     -0.00858313      0.00464919 
      4.4830708       0.0516775      0.00816589     -0.00834471      0.00429156 
      4.4824109       0.0517967      0.00852352     -0.00858313      0.00387433 
       4.481661       0.0517967      0.00888115     -0.00858313      0.00357629 
      4.4810071       0.0516775      0.00911957     -0.00852352      0.00357629 
      4.4802572       0.0518563      0.00888115     -0.00846392      0.00387433 
      4.4796033       0.0520351      0.00876194     -0.00852352      0.00441077 
      4.4789434       0.0523331      0.00798708     -0.00870234      0.00482801 
      4.4781935       0.0526907      0.00721219     -0.00894075      0.00429156 
      4.4774436       0.0527503      0.00715259     -0.00882155       0.0036955 
      4.4766937       0.0528099      0.00721219     -0.00852352      0.00351669 
      4.4760398       0.0525119      0.00703338      -0.0082255      0.00345708 
      4.4753859       0.0522139      0.00715259      -0.0082851      0.00339748 
       4.474636       0.0522139      0.00780827     -0.00834471       0.0036359 
      4.4739761       0.0522139      0.00816589     -0.00786787      0.00375511 
      4.4732262       0.0516775      0.00786787     -0.00774866      0.00399354 
      4.4725723       0.0512602      0.00751021     -0.00768906      0.00405314 
      4.4718224       0.0515583      0.00709298     -0.00762945      0.00435117 
      4.4710725       0.0520351      0.00679496     -0.00816589      0.00423196 
      4.4704126       0.0523927      0.00655654     -0.00852352      0.00387433 
