> Measurement made Fri Aug 16 13:40:46 2024
> Main magnet sweep  0.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at    6.000 K, T1:   5.999 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.607880 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 18 degree from perp
Rotator Setting 030
6K 0-6T

>BEGIN
  
       
      4.1504697      -0.0259281       0.0104905       0.0180603       0.0322463 
      4.1511236       -0.026107       0.0103117       0.0175835       0.0320079 
      4.1518735       -0.026107       0.0100136       0.0168086       0.0318887 
      4.1526234      -0.0258089       0.0100136       0.0162722       0.0315907 
      4.1532773      -0.0256897       0.0104905       0.0166298       0.0314715 
      4.1539372      -0.0256301       0.0110865        0.017047       0.0319483 
      4.1545911      -0.0255705       0.0113845       0.0171066       0.0321271 
       4.155341      -0.0252129       0.0121594       0.0172259       0.0317099 
      4.1560009      -0.0250937       0.0124574       0.0174643       0.0316503 
      4.1566548      -0.0252129       0.0123382       0.0176431       0.0313523 
      4.1574047      -0.0253917       0.0120402       0.0181795       0.0308754 
      4.1580586      -0.0259281       0.0113845       0.0183583       0.0299813 
      4.1588085       -0.026107       0.0113249       0.0181199        0.029266 
      4.1594684      -0.0260473       0.0112057       0.0181795       0.0296236 
      4.1602183       -0.026107       0.0107289       0.0184776       0.0305178 
      4.1608722      -0.0260473       0.0103713       0.0184776       0.0307562 
      4.1615262      -0.0253321       0.0110269       0.0180603       0.0305774 
      4.1622761      -0.0252129        0.011623       0.0177623       0.0311735 
      4.1630259      -0.0252129       0.0120998       0.0173451       0.0318887 
      4.1636859      -0.0248553       0.0121594       0.0174047       0.0310543 
      4.1643398      -0.0246168        0.011921       0.0176431       0.0305774 
      4.1650897      -0.0244976       0.0121594       0.0181199       0.0303389 
      4.1658396      -0.0246764        0.012219       0.0180603       0.0301601 
      4.1664995      -0.0249745       0.0121594       0.0180603       0.0302793 
      4.1671534      -0.0251533       0.0120998       0.0179411       0.0303985 
      4.1679033      -0.0252129       0.0124574       0.0178815       0.0302793 
      4.1686532      -0.0248553       0.0129343       0.0181199       0.0305178 
      4.1693071      -0.0239016       0.0131727       0.0177027       0.0304581 
       4.169967      -0.0234843       0.0133515       0.0173451       0.0302793 
      4.1707169      -0.0237824       0.0134111       0.0169874       0.0299216 
      4.1714668      -0.0246764       0.0140071        0.016749       0.0297428 
      4.1721207       -0.024736       0.0145436       0.0166298       0.0293852 
      4.1727746      -0.0243188        0.014484       0.0168086       0.0296236 
      4.1735245      -0.0237824       0.0143052       0.0175239       0.0302197 
      4.1742744      -0.0230075       0.0136495       0.0177027       0.0308754 
      4.1749343      -0.0225307       0.0133515       0.0174643       0.0314119 
      4.1756842      -0.0226499       0.0130535       0.0175239       0.0319483 
      4.1763381      -0.0227691       0.0130535       0.0172855       0.0314715 
       4.177088      -0.0225903       0.0127555       0.0174643       0.0306966 
      4.1777479      -0.0224115       0.0129343       0.0174643        0.029862 
      4.1784018      -0.0222326       0.0128151       0.0169278        0.029266 
      4.1791517      -0.0219942       0.0135899       0.0165106       0.0298024 
      4.1798056      -0.0216366       0.0137091       0.0163914       0.0302793 
      4.1804655      -0.0212194       0.0129939        0.016749       0.0305774 
      4.1811194      -0.0212194       0.0118614       0.0173451       0.0302793 
      4.1817733      -0.0215174       0.0108481       0.0174643       0.0303389 
      4.1824332      -0.0218154       0.0103117       0.0171066       0.0304581 
      4.1831831      -0.0218154       0.0104309       0.0169874       0.0303389 
       4.183837      -0.0219346       0.0108481       0.0171066       0.0306966 
      4.1845869      -0.0220538       0.0109077       0.0172855       0.0307562 
      4.1852468       -0.021875       0.0110269       0.0169874       0.0306966 
      4.1859007      -0.0215174       0.0110865       0.0169278        0.030935 
      4.1866506      -0.0214578       0.0107885       0.0172259       0.0313523 
      4.1874005      -0.0214578       0.0106097       0.0175835       0.0315311 
      4.1880544      -0.0213386       0.0109077       0.0177623       0.0313523 
      4.1887143       -0.021279       0.0109077       0.0176431       0.0312927 
      4.1894642      -0.0213386       0.0104309       0.0175835       0.0311139 
      4.1902141      -0.0213386      0.00911957       0.0178219       0.0304581 
       4.190868      -0.0214578      0.00864273       0.0180007       0.0304581 
      4.1915219      -0.0215174      0.00864273       0.0180603        0.029862 
      4.1921819       -0.021577      0.00858313       0.0178219       0.0298024 
      4.1928358      -0.0216366      0.00858313       0.0178219       0.0300409 
      4.1935857       -0.021279      0.00846392       0.0178815        0.029862 
      4.1942456      -0.0209213      0.00804669       0.0178815       0.0299216 
      4.1949955      -0.0208617      0.00768906       0.0182987       0.0297428 
      4.1956494      -0.0209213      0.00774866       0.0184776       0.0296236 
      4.1963033      -0.0211002       0.0082255        0.018418       0.0296236 
      4.1969632      -0.0214578      0.00858313        0.018418       0.0295044 
