> Measurement made Wed Nov 13 12:53:53 2024
> Main magnet sweep 11.00000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 11.00000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.560100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 45 deg from perp plane (100)
seems correct oprientation now
-
-

>BEGIN
      10.999987      0.00190736      0.00202657      0.00417235     -0.00023842 
       10.99995      0.00214578      0.00190736      0.00417235      0.00059605 
      10.999898      0.00274183      0.00107289      0.00464919      0.00035763 
      10.999829      0.00226499      0.00035763       0.0047684               0 
      10.999728      0.00178815      0.00035763      0.00464919      0.00011921 
      10.999623      0.00166894      0.00059605      0.00452998     0.000715259 
      10.999482      0.00202657     0.000834469      0.00441077       0.0011921 
      10.999342      0.00202657     0.000953682      0.00452998     0.000953682 
      10.999188      0.00226499     0.000834469      0.00500682               0 
      10.999017      0.00274183     0.000476841       0.0047684               0 
      10.998806      0.00226499      0.00035763      0.00464919     0.000953682 
      10.998607      0.00154973       0.0011921      0.00488761     0.000953682 
      10.998363      0.00107289      0.00178815      0.00500682      0.00143052 
      10.998102       0.0011921      0.00143052      0.00512603      0.00143052 
      10.997861     0.000953682      0.00131131      0.00429156       0.0011921 
       10.99757     0.000953682       0.0011921      0.00393394      0.00107289 
      10.997264     0.000953682       0.0011921      0.00417235     0.000715259 
      10.996982       0.0011921      0.00154973       0.0047684      0.00059605 
      10.996608     0.000953682      0.00190736      0.00464919     0.000953682 
      10.996301     0.000953682      0.00178815      0.00417235     0.000953682 
       10.99594      0.00143052      0.00131131      0.00417235       0.0011921 
      10.995566      0.00202657     0.000953682      0.00417235      0.00107289 
