> Measurement made Thu Nov 14 14:54:33 2024
> Main magnet sweep  7.50000 to 10.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.50000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.112100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 216 deg from perp plane (150+1)
With preamp filter.(3k-100kHz)
-
-

>BEGIN
      7.5000096     -0.00250341    -0.000476841      0.00250341      0.00202657 
      7.5000382     -0.00250341    -0.000476841      0.00214578       0.0023842 
      7.5000933     -0.00262262     -0.00035763      0.00226499      0.00250341 
      7.5001715     -0.00202657    -0.000715259      0.00262262      0.00262262 
       7.500272     -0.00166894     -0.00107289      0.00298025      0.00286104 
      7.5003942     -0.00143052    -0.000834469      0.00309946      0.00286104 
      7.5005373     -0.00154973     -0.00035763      0.00298025      0.00274183 
      7.5007006     -0.00178815     -0.00023842      0.00250341       0.0023842 
      7.5008835     -0.00202657     -0.00023842      0.00202657       0.0023842 
      7.5010584     -0.00262262               0      0.00178815      0.00226499 
      7.5012472      -0.0023842     -0.00023842      0.00178815      0.00214578 
      7.5014515      -0.0023842     -0.00035763      0.00190736       0.0023842 
      7.5016671     -0.00226499     -0.00011921      0.00262262      0.00286104 
        7.50193     -0.00226499     -0.00035763      0.00321867      0.00286104 
      7.5022092     -0.00274183     -0.00059605      0.00333787      0.00298025 
      7.5024655      -0.0023842               0      0.00250341      0.00262262 
      7.5027736     -0.00226499      0.00035763      0.00190736      0.00226499 
      7.5030964     -0.00250341      0.00059605      0.00190736       0.0023842 
      7.5034334     -0.00250341     0.000953682      0.00214578      0.00250341 
      7.5037842     -0.00250341       0.0011921      0.00250341      0.00274183 
