> Measurement made Wed Nov 13 10:56:37 2024
> Main magnet sweep  8.00000 to 11.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at    0.000 K, T1: 288.800 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.130900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 18 deg from perp plane (250)
seems correct oprientation now
-
-

>BEGIN
      8.0000126       0.0023842     -0.00166894      0.00154973       0.0036955 
      8.0000497      0.00226499     -0.00190736      0.00154973      0.00309946 
       8.000102      0.00178815     -0.00190736      0.00202657       0.0023842 
      8.0001715      0.00178815     -0.00143052      0.00226499      0.00274183 
       8.000272       0.0011921     -0.00107289      0.00190736      0.00321867 
      8.0003784      0.00059605    -0.000953682      0.00190736      0.00321867 
      8.0004999               0      0.00011921      0.00190736      0.00405314 
      8.0006583     -0.00011921     0.000476841      0.00250341      0.00500682 
      8.0008363     0.000715259     0.000476841      0.00321867      0.00441077 
      8.0010072     0.000953682               0      0.00286104      0.00309946 
      8.0012204      0.00107289     -0.00059605      0.00226499      0.00298025 
      8.0014515      0.00143052    -0.000953682      0.00214578      0.00333787 
      8.0016998       0.0011921    -0.000476841      0.00190736      0.00452998 
      8.0019649      0.00059605     -0.00011921      0.00178815      0.00405314 
      8.0022115      0.00023842    -0.000476841      0.00154973      0.00345708 
      8.0025065      0.00011921    -0.000476841     0.000953682      0.00345708 
      8.0027761      0.00059605    -0.000953682     0.000834469      0.00345708 
      8.0030569     0.000715259      -0.0011921      0.00131131      0.00345708 
      8.0033513     0.000715259    -0.000715259      0.00178815       0.0036955 
      8.0036536      0.00059605    -0.000834469      0.00178815      0.00381473 
      8.0040128      0.00023842    -0.000953682      0.00190736      0.00393394 
