> Measurement made Thu Nov 14 14:44:07 2024
> Main magnet sweep 10.50000 to  7.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.50000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.742600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 198 deg from perp plane (250+1)
With preamp filter.(3k-100kHz)
-
-

>BEGIN
       10.49999     -0.00190736     -0.00023842      0.00262262      0.00262262 
      10.499956     -0.00202657      0.00011921      0.00357629      0.00226499 
      10.499907     -0.00202657     -0.00011921      0.00429156      0.00202657 
      10.499829     -0.00202657     -0.00035763      0.00417235      0.00226499 
      10.499728     -0.00202657     -0.00059605       0.0036955      0.00262262 
      10.499606     -0.00166894     -0.00143052      0.00298025      0.00226499 
      10.499463     -0.00154973     -0.00143052      0.00262262      0.00190736 
      10.499299     -0.00154973    -0.000953682      0.00286104      0.00190736 
      10.499117     -0.00166894    -0.000715259      0.00286104       0.0023842 
      10.498942     -0.00154973               0      0.00250341      0.00286104 
      10.498751     -0.00202657     -0.00035763      0.00262262      0.00286104 
      10.498518     -0.00250341    -0.000476841      0.00333787      0.00226499 
      10.498267     -0.00274183    -0.000715259      0.00333787       0.0023842 
      10.498035      -0.0023842     -0.00059605      0.00321867      0.00262262 
      10.497754     -0.00262262    -0.000476841      0.00333787      0.00226499 
      10.497457     -0.00274183      0.00011921      0.00309946      0.00190736 
      10.497186     -0.00214578     0.000476841      0.00309946      0.00226499 
      10.496861     -0.00214578     -0.00035763      0.00298025       0.0023842 
      10.496564     -0.00214578    -0.000476841      0.00214578      0.00274183 
       10.49617     -0.00214578     -0.00011921      0.00131131      0.00309946 
