> Measurement made Wed Nov 13 10:38:03 2024
> Main magnet sweep 11.50000 to  8.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 11.50000 T 
> ITC set at    0.000 K, T1: 288.900 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.750000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 9 deg from perp plane (300)
seems correct oprientation now
-
-

>BEGIN
       11.49999     0.000953682      0.00154973      0.00405314     0.000953682 
      11.499962       0.0011921      0.00154973      0.00429156     0.000953682 
      11.499899      0.00107289      0.00143052      0.00405314      0.00143052 
      11.499829     0.000834469       0.0011921       0.0036955      0.00154973 
      11.499729     0.000953682      0.00131131      0.00405314      0.00154973 
      11.499623       0.0011921      0.00143052      0.00452998      0.00131131 
      11.499501       0.0011921      0.00131131       0.0047684      0.00131131 
      11.499364       0.0011921      0.00059605       0.0047684      0.00131131 
      11.499189      0.00131131      0.00059605      0.00452998      0.00143052 
      11.499019      0.00154973      0.00131131      0.00452998       0.0011921 
      11.498808      0.00143052      0.00143052       0.0047684      0.00107289 
      11.498579      0.00107289      0.00154973      0.00488761     0.000834469 
      11.498333     0.000953682      0.00143052      0.00452998      0.00035763 
       11.49807      0.00059605      0.00178815       0.0047684       0.0011921 
      11.497791     0.000834469      0.00178815       0.0047684      0.00131131 
      11.497496      0.00107289      0.00190736      0.00405314      0.00166894 
      11.497186      0.00131131      0.00202657      0.00429156      0.00190736 
      11.496861      0.00131131      0.00178815      0.00488761      0.00178815 
      11.496522       0.0011921      0.00143052      0.00524524     0.000953682 
      11.496216       0.0011921      0.00131131       0.0047684       0.0011921 
      11.495852      0.00143052       0.0011921      0.00417235      0.00143052 
      11.495521      0.00143052      0.00143052      0.00405314      0.00131131 
