> Measurement made Thu Nov 14 11:50:06 2024
> Main magnet sweep 10.70000 to  7.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.58274 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.662800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 162 deg from perp plane (450)
seems correct oprientation now
-
-

>BEGIN
       10.69999      0.00274183      0.00107289       0.0036955      0.00214578 
      10.699956      0.00274183      0.00107289      0.00417235      0.00190736 
      10.699898      0.00214578     0.000715259      0.00429156     0.000834469 
      10.699829      0.00143052     0.000953682       0.0036955     0.000715259 
      10.699728     0.000834469       0.0011921      0.00405314     0.000953682 
      10.699606     0.000834469       0.0011921      0.00429156      0.00131131 
      10.699463      0.00131131      0.00107289      0.00405314      0.00178815 
      10.699321      0.00143052      0.00107289      0.00357629     0.000834469 
      10.699141      0.00154973     0.000953682      0.00357629     0.000476841 
      10.698967      0.00154973     0.000953682      0.00393394       0.0011921 
      10.698751      0.00178815     0.000953682       0.0036955      0.00154973 
      10.698518      0.00190736      0.00131131      0.00393394      0.00143052 
        10.6983      0.00190736      0.00154973      0.00417235      0.00131131 
         10.698      0.00202657       0.0011921      0.00393394      0.00154973 
      10.697754      0.00131131     0.000715259      0.00381473      0.00178815 
      10.697496     0.000953682     0.000715259      0.00417235      0.00178815 
      10.697224      0.00143052      0.00143052      0.00441077      0.00178815 
      10.696901       0.0023842      0.00190736      0.00417235      0.00143052 
      10.696564      0.00250341      0.00226499      0.00393394     0.000715259 
      10.696213      0.00250341      0.00202657      0.00405314      0.00059605 
      10.695849      0.00226499      0.00178815      0.00381473     0.000715259 
      10.695472      0.00214578      0.00143052       0.0036955     0.000834469 
