> Measurement made Thu Nov 14 10:56:39 2024
> Main magnet sweep  7.00000 to 10.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at    0.000 K, T1: 288.700 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.179000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 135 deg from perp plane (600)
seems correct oprientation now
-
-

>BEGIN
      7.0000126      0.00131131      0.00190736      0.00286104      0.00381473 
      7.0000436      0.00154973      0.00107289      0.00309946      0.00417235 
      7.0000933      0.00143052     0.000715259      0.00357629      0.00381473 
      7.0001602      0.00166894     0.000953682      0.00345708      0.00333787 
      7.0002442      0.00107289       0.0011921      0.00309946      0.00286104 
      7.0003609     0.000834469      0.00143052      0.00274183      0.00274183 
      7.0004987     0.000834469      0.00202657      0.00274183       0.0023842 
      7.0006369     0.000953682      0.00178815      0.00274183      0.00190736 
      7.0007889      0.00143052      0.00190736      0.00286104      0.00214578 
      7.0009812      0.00131131      0.00178815      0.00309946      0.00202657 
      7.0011921      0.00178815      0.00166894      0.00357629      0.00190736 
      7.0014209      0.00202657     0.000953682      0.00357629      0.00131131 
      7.0016671      0.00214578      0.00059605      0.00381473       0.0011921 
        7.00193      0.00226499     0.000834469      0.00417235      0.00143052 
      7.0022092      0.00226499      0.00154973      0.00357629      0.00143052 
      7.0025041      0.00226499      0.00202657      0.00298025      0.00214578 
      7.0028141      0.00166894      0.00178815      0.00321867      0.00298025 
      7.0031387      0.00131131      0.00154973      0.00381473      0.00298025 
      7.0034776      0.00154973      0.00166894      0.00321867      0.00262262 
      7.0038301      0.00131131      0.00178815      0.00286104      0.00226499 
      7.0041483      0.00107289      0.00178815      0.00298025      0.00143052 
