> Measurement made Fri Nov 15 17:06:19 2024
> Main magnet sweep  9.50000 to  6.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  9.50000 T 
> ITC set at    0.000 K, T1: 288.400 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.878400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 297 deg from perp plane (700+1)
With preamp filter.(3k-100kHz)  Next day
-
-

>BEGIN
      9.4999874     -0.00131131      0.00298025      0.00536445      0.00035763 
      9.4999503     -0.00131131      0.00345708      0.00512603    -0.000476841 
      9.4998895     -0.00131131      0.00393394      0.00500682    -0.000715259 
      9.4998057     -0.00107289      0.00357629      0.00524524     -0.00035763 
      9.4997135     -0.00131131      0.00298025      0.00536445               0 
      9.4996058     -0.00143052      0.00262262      0.00524524      0.00035763 
      9.4994821    -0.000953682      0.00262262      0.00488761       0.0011921 
      9.4993417     -0.00107289      0.00274183      0.00500682      0.00166894 
      9.4991637     -0.00143052      0.00321867      0.00488761      0.00107289 
      9.4989665     -0.00143052      0.00357629      0.00441077     0.000834469 
       9.498751     -0.00143052      0.00417235      0.00429156      0.00023842 
      9.4985177     -0.00107289      0.00381473      0.00405314      0.00035763 
      9.4983002     -0.00107289      0.00309946      0.00417235       0.0011921 
      9.4980351     -0.00131131      0.00298025      0.00464919     0.000953682 
      9.4977539    -0.000953682      0.00250341      0.00560287      0.00035763 
      9.4974571     -0.00131131      0.00226499      0.00584128      0.00011921 
      9.4971834     -0.00178815      0.00202657      0.00536445     -0.00059605 
       9.496901     -0.00190736      0.00226499      0.00512603     -0.00059605 
      9.4965638     -0.00190736      0.00262262      0.00452998     -0.00023842 
      9.4962586     -0.00143052      0.00262262       0.0047684      0.00059605 
