> Measurement made Wed Nov 13 17:53:40 2024
> Main magnet sweep  9.50000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  9.50000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.802800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 99 deg from perp plane (800)
seems correct oprientation now
-
-

>BEGIN
      9.4999903      0.00023842     -0.00381473      0.00357629      0.00846392 
       9.499956     -0.00011921      -0.0036955      0.00345708      0.00858313 
       9.499898     -0.00035763     -0.00333787      0.00321867      0.00882155 
      9.4998169     -0.00035763     -0.00381473      0.00429156      0.00870234 
      9.4997135      0.00035763     -0.00441077      0.00452998      0.00786787 
      9.4995886     0.000953682     -0.00488761      0.00417235      0.00739101 
      9.4994429       0.0023842     -0.00524524       0.0036955      0.00715259 
      9.4992994      0.00286104     -0.00441077      0.00417235       0.0072718 
      9.4990917      0.00274183     -0.00464919      0.00441077      0.00762945 
      9.4989148      0.00262262      -0.0047684      0.00512603      0.00810629 
      9.4986653      0.00226499     -0.00500682      0.00548366      0.00798708 
      9.4984572      0.00190736      -0.0047684      0.00488761      0.00751021 
      9.4982024      0.00131131     -0.00429156      0.00429156      0.00858313 
      9.4979312     0.000476841     -0.00417235       0.0036955      0.00894075 
      9.4976794      0.00059605     -0.00381473      0.00381473      0.00905996 
      9.4973786      0.00059605     -0.00381473      0.00417235      0.00810629 
       9.497063      0.00131131     -0.00393394      0.00429156      0.00703338 
      9.4967328      0.00178815     -0.00381473      0.00381473      0.00643733 
      9.4964335      0.00178815      -0.0036955      0.00321867      0.00739101 
       9.496031      0.00131131     -0.00393394      0.00286104      0.00786787 
