> Measurement made Thu Nov 14 15:56:15 2024
> Main magnet sweep  7.00000 to  9.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.092700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 252 deg from perp plane (950+1)
With preamp filter.(3k-100kHz)
-
-

>BEGIN
      7.0000126     -0.00345708     0.000476841      0.00548366     0.000476841 
      7.0000497     -0.00393394     0.000834469      0.00548366      0.00011921 
       7.000102     -0.00333787      0.00143052      0.00548366      0.00023842 
      7.0001831     -0.00262262      0.00178815      0.00560287     0.000953682 
      7.0002865     -0.00250341      0.00226499      0.00548366       0.0011921 
      7.0003942     -0.00262262      0.00190736      0.00584128       0.0011921 
      7.0005373     -0.00298025      0.00190736      0.00619891     0.000834469 
      7.0007006     -0.00274183      0.00226499      0.00619891      0.00059605 
      7.0008835     -0.00226499      0.00226499      0.00596049     0.000834469 
      7.0010852     -0.00250341      0.00202657      0.00560287       0.0011921 
      7.0013052      -0.0023842      0.00143052      0.00548366      0.00143052 
      7.0015428     -0.00250341     0.000953682      0.00572208      0.00143052 
      7.0017976     -0.00309946      0.00059605      0.00619891      0.00143052 
      7.0020688     -0.00321867      0.00059605       0.0060797      0.00154973 
      7.0023559     -0.00321867      0.00059605      0.00584128      0.00178815 
      7.0026585     -0.00321867     0.000476841      0.00572208      0.00166894 
      7.0029759     -0.00309946     0.000715259      0.00572208      0.00178815 
      7.0033078     -0.00262262     0.000953682      0.00572208     0.000953682 
      7.0036536     -0.00262262     0.000834469      0.00548366     0.000953682 
      7.0040128      -0.0023842     0.000953682      0.00512603      0.00143052 
