> Measurement made Wed Nov 13 15:40:10 2024
> Main magnet sweep 10.00000 to  6.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.851800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 63 deg from perp plane (000)
seems correct oprientation now
-
-

>BEGIN
      9.9999874    -0.000715259      0.00143052      0.00691417      0.00309946 
      9.9999503    -0.000476841      0.00143052      0.00643733      0.00309946 
      9.9998895     -0.00023842     0.000834469      0.00584128       0.0023842 
      9.9998169     -0.00059605      0.00059605      0.00584128       0.0023842 
      9.9997135      -0.0011921     0.000715259      0.00643733      0.00202657 
      9.9995886     -0.00190736     0.000953682      0.00631812      0.00226499 
      9.9994627     -0.00262262      0.00131131      0.00643733      0.00166894 
      9.9992994     -0.00298025       0.0011921      0.00715259      0.00190736 
      9.9991165     -0.00226499      0.00131131      0.00774866      0.00274183 
      9.9989148     -0.00166894      0.00178815      0.00762945      0.00345708 
      9.9986948     -0.00107289      0.00214578      0.00715259      0.00393394 
      9.9984572      -0.0011921      0.00250341      0.00691417      0.00357629 
      9.9982024      -0.0011921      0.00250341      0.00643733      0.00298025 
      9.9979312    -0.000953682      0.00131131      0.00619891      0.00274183 
      9.9976441    -0.000953682     0.000953682      0.00619891      0.00298025 
      9.9973415     -0.00143052     0.000715259      0.00584128      0.00381473 
      9.9970655     -0.00131131     0.000953682      0.00548366      0.00345708 
      9.9967758     -0.00131131      0.00143052      0.00548366      0.00262262 
      9.9964335     -0.00131131      0.00154973      0.00560287      0.00226499 
      9.9960775    -0.000834469      0.00131131      0.00584128      0.00226499 
