> Measurement made Wed Nov 13 10:10:04 2024
> Main magnet sweep  8.50000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.50000 T 
> ITC set at    0.000 K, T1: 288.500 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.283400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation perp plane (350)
seems correct oprientation now
-
-

>BEGIN
      8.5000096      0.00143052      0.00298025      0.00345708      0.00190736 
      8.5000436      0.00178815      0.00309946      0.00381473      0.00154973 
      8.5001015      0.00190736      0.00250341      0.00452998      0.00131131 
      8.5001824       0.0023842       0.0023842      0.00512603      0.00131131 
      8.5002856      0.00286104      0.00226499      0.00512603      0.00131131 
      8.5004103       0.0023842      0.00226499      0.00488761      0.00154973 
      8.5005559      0.00226499       0.0023842      0.00488761      0.00190736 
      8.5007216      0.00274183      0.00190736      0.00429156      0.00178815 
      8.5009067      0.00250341      0.00190736       0.0036955      0.00131131 
      8.5010852       0.0011921      0.00202657      0.00393394     0.000715259 
      8.5013328      0.00035763      0.00202657      0.00452998      0.00107289 
      8.5015725      0.00059605      0.00178815       0.0047684      0.00190736 
      8.5018292      0.00178815      0.00202657      0.00512603      0.00214578 
      8.5020688      0.00190736      0.00214578       0.0047684      0.00214578 
      8.5023914      0.00131131      0.00226499      0.00464919      0.00262262 
      8.5026958     0.000715259      0.00190736      0.00536445      0.00274183 
       8.503015     0.000476841      0.00250341      0.00548366      0.00214578 
      8.5033485      0.00143052      0.00286104      0.00548366      0.00166894 
       8.503696      0.00154973      0.00345708      0.00536445       0.0023842 
      8.5040568      0.00143052      0.00357629      0.00536445      0.00214578 
      8.5044306       0.0011921      0.00309946      0.00500682      0.00154973 
