> Measurement made Thu Nov 14 10:33:39 2024
> Main magnet sweep  6.50000 to 10.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at    0.000 K, T1: 288.700 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.234500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 117 deg from perp plane (700)
seems correct oprientation now
-
-

>BEGIN
      6.5000126     -0.00202657     0.000953682      0.00548366      0.00274183 
      6.5000497     -0.00143052      0.00107289      0.00548366      0.00298025 
      6.5001105      -0.0011921      0.00107289      0.00524524      0.00250341 
      6.5001943     -0.00107289      0.00131131      0.00500682      0.00250341 
      6.5003003     -0.00059605      0.00154973      0.00464919      0.00309946 
      6.5004278     -0.00035763      0.00190736      0.00464919      0.00381473 
      6.5005559    -0.000476841       0.0023842      0.00452998      0.00464919 
      6.5007006      -0.0011921      0.00190736      0.00452998      0.00452998 
      6.5008835     -0.00131131       0.0011921      0.00452998      0.00357629 
      6.5010852      -0.0011921      0.00035763      0.00429156      0.00357629 
      6.5013052     -0.00107289      0.00011921      0.00452998       0.0036955 
      6.5015428    -0.000476841     -0.00011921      0.00452998      0.00333787 
      6.5017976    -0.000715259     0.000476841      0.00500682      0.00298025 
      6.5020688      -0.0011921     0.000953682      0.00548366      0.00250341 
      6.5023559      -0.0011921     0.000953682      0.00548366       0.0023842 
      6.5026585    -0.000834469     0.000953682      0.00548366      0.00286104 
      6.5029759    -0.000715259     0.000715259      0.00500682      0.00274183 
      6.5033078    -0.000715259      0.00035763      0.00488761      0.00298025 
      6.5036085     -0.00023842     0.000715259      0.00464919      0.00333787 
      6.5039225     -0.00035763      0.00154973      0.00452998      0.00321867 
