> Measurement made Thu Nov 14 10:15:27 2024
> Main magnet sweep 10.00000 to  6.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at    0.000 K, T1: 288.700 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 31.874900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 108 deg from perp plane (750)
seems correct oprientation now
-
-

>BEGIN
      9.9999874      0.00190736     -0.00190736      0.00441077      0.00143052 
      9.9999503       0.0023842     -0.00262262      0.00464919       0.0011921 
      9.9998895      0.00274183     -0.00274183      0.00536445       0.0011921 
      9.9998057      0.00262262     -0.00214578       0.0060797      0.00166894 
      9.9996997      0.00226499     -0.00202657      0.00691417       0.0023842 
      9.9995722      0.00178815     -0.00262262      0.00643733      0.00309946 
      9.9994441      0.00190736     -0.00274183      0.00596049       0.0023842 
      9.9992784      0.00190736     -0.00262262      0.00524524      0.00190736 
      9.9990933      0.00202657     -0.00202657      0.00596049      0.00178815 
      9.9989165      0.00178815     -0.00143052      0.00655654      0.00226499 
      9.9986966       0.0011921    -0.000953682      0.00631812      0.00250341 
      9.9984591      0.00143052     -0.00035763      0.00572208      0.00250341 
       9.998236      0.00178815               0      0.00548366      0.00226499 
      9.9979669      0.00190736    -0.000715259      0.00572208      0.00226499 
      9.9976817      0.00154973     -0.00131131       0.0060797      0.00226499 
      9.9973811      0.00131131     -0.00143052      0.00584128      0.00262262 
      9.9971067      0.00143052     -0.00131131      0.00584128      0.00298025 
      9.9967785       0.0011921     -0.00202657       0.0060797      0.00202657 
      9.9964363      0.00154973     -0.00214578      0.00655654      0.00154973 
      9.9961238       0.0023842     -0.00190736      0.00619891      0.00131131 
