> Measurement made Fri Nov 15 12:33:34 2024
> Main magnet sweep  9.50000 to  6.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  9.50000 T 
> ITC set at    0.000 K, T1: 288.500 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.030900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 274.5 deg from perp plane (825+1)
With preamp filter.(3k-100kHz)  Next day
-
-

>BEGIN
      9.4999903     -0.00166894      0.00429156      0.00643733      0.00143052 
       9.499956     -0.00190736      0.00500682      0.00715259       0.0011921 
       9.499898     -0.00154973      0.00441077      0.00703338      0.00154973 
      9.4998169     -0.00131131      0.00309946      0.00679496      0.00190736 
      9.4997135      -0.0011921      0.00321867      0.00679496      0.00202657 
      9.4995886    -0.000834469      0.00345708      0.00703338      0.00166894 
      9.4994627     -0.00131131       0.0036955      0.00739101      0.00154973 
      9.4993214     -0.00166894      0.00309946      0.00679496      0.00131131 
      9.4991637     -0.00154973      0.00286104      0.00631812     0.000715259 
      9.4989665     -0.00131131      0.00250341      0.00691417     0.000476841 
       9.498751      -0.0011921      0.00202657      0.00679496     0.000715259 
      9.4985177    -0.000953682       0.0023842      0.00691417     0.000715259 
      9.4983002     -0.00107289       0.0023842      0.00762945     0.000476841 
          9.498     -0.00143052      0.00250341      0.00691417       0.0011921 
      9.4977168    -0.000715259      0.00309946      0.00679496      0.00143052 
       9.497418    -0.000476841      0.00298025      0.00691417       0.0011921 
      9.4971452    -0.000715259      0.00274183      0.00739101       0.0011921 
      9.4968586     -0.00131131      0.00309946      0.00751021      0.00143052 
      9.4965197      -0.0011921      0.00357629      0.00715259      0.00143052 
       9.496167    -0.000953682      0.00429156      0.00667575      0.00178815 
