> Measurement made Fri Nov 15 11:19:09 2024
> Main magnet sweep  6.50000 to  9.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00365 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 0.077600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 270 deg from perp plane (850+1)
With preamp filter.(3k-100kHz)  Next day
-
-

>BEGIN
      6.5000126     -0.00178815      0.00309946      0.00488761      0.00059605 
      6.5000436     -0.00166894      0.00321867      0.00524524     0.000953682 
      6.5001015     -0.00131131      0.00321867      0.00572208      0.00131131 
      6.5001824     -0.00143052      0.00262262      0.00584128      0.00154973 
      6.5002856     -0.00143052      0.00190736      0.00596049      0.00166894 
      6.5004278     -0.00107289      0.00250341      0.00619891      0.00154973 
      6.5005951     -0.00131131      0.00309946      0.00643733      0.00166894 
      6.5007657     -0.00154973      0.00357629      0.00655654       0.0011921 
      6.5009556     -0.00202657       0.0036955      0.00655654      0.00143052 
      6.5011641      -0.0023842      0.00309946      0.00679496      0.00202657 
      6.5013906     -0.00262262      0.00309946      0.00596049       0.0023842 
      6.5016346     -0.00214578      0.00298025      0.00512603      0.00214578 
      6.5018955     -0.00154973      0.00262262      0.00512603      0.00274183 
      6.5021726      -0.0011921      0.00262262      0.00524524      0.00298025 
      6.5024655    -0.000953682      0.00226499      0.00512603      0.00274183 
      6.5028141    -0.000715259      0.00250341      0.00488761      0.00298025 
      6.5031387    -0.000834469      0.00262262      0.00500682      0.00298025 
      6.5034776    -0.000953682      0.00286104      0.00536445      0.00250341 
      6.5038301     -0.00131131      0.00298025      0.00512603      0.00178815 
      6.5041958     -0.00166894      0.00345708      0.00488761      0.00154973 
